Abschluesse|Produkt|Werbeausgaben|Kampagne|Stueckpreis|Datum|Status|Umsatz|Kanal
400|MISC|$39,847.53|H2-23-New Year Promo|$1,902.72|12.29.2023|lead|$224,520.96|Direct Sales
117|Premium Onboarding|$18,267.58|FY-23-Brand Awareness|$4,868.33|02.06.2025|Negotiation|$1,927,858.68|field
61|Cloud Storage 1TB|$45,600.72|Q2-23-Black Friday|$262.32|TBD|open|$32,265.36|Telesales
462|Gadget Mini|$40,649.28|Q1-2024-Brand Awareness|$615.32|10.27.2023|Lost|$249,204.60|Phone
490|Widget B|$9,672.66|H2-2023-Product Launch|$2,404.60|05.25.2025|Closed Lost|null|Partner
415|Service Plan Enterprise|$1,802.72||$820.45|10.11.2024|CLOSED LOST|$9,024.95|DIRECT
309|Service Plan Basic|$1,684.81|H1-2024-Brand Awareness|$4,662.41|12.11.2024|PENDING|$205,146.04|direct
9|Support Tier 1|$43,656.36|Q2-24-Trade Show|$3,260.65|07.08.2025|In Progress|$1,578,154.60|retail
385|Analytics Dashboard|0|H1-2023-Holiday Sale|$3,831.92|03.19.2025|In Progress|$1,532,768.00|Retail
196|-|$26,958.00|H2-2023-Email Blast|$3,004.05|09.01.2024|Closed Won|$81,109.35|referral
46|Consulting Hours|null|Q1-23-Webinar Series|$593.75|02.16.2025|Open|$194,156.25|Social
74|Training Package|$21,570.42|FY-2024-Social Push|$4,777.71|08.04.2024|closed lost|$2,087,859.27|PARTNER
273|Security Bundle|$21,940.40|Q4-2023-Email Blast|$3,990.21|01.23.2025|Closed-Lost|$1,472,387.49|Affiliate
309|Security Bundle|$22,507.94|Q2-23-Retention|$2,550.32|01.24.2024|PENDING|$566,171.04|phone
123|ERP Add-on|$8,878.39|Q3-2024-Product Launch|$4,866.48|01.21.2024|qualified|$725,105.52|call center
237|Service Plan Basic|$5,958.77|Q4-2024-Upsell|$3,049.20||LOST|$509,216.40|web
188|Widget A|$37,378.44|Q2-2024-Fall Campaign|$389.65|N/A|pending|$85,333.35|Channel Partner
309|Cloud Storage 5TB|$4,505.95|Q2-23-Product Launch|$2,676.03|04.05.2025|CLOSED WON|$751,964.43|referral
307|API Access|$12,091.73|Q3-23-Product Launch|$1,549.18|04.08.2025|CLOSED LOST|$615,024.46|ecommerce
181|Analytics Dashboard|$5,695.92|Q3-24-Cross-sell|$382.30|08.31.2024|Proposal|$21,408.80|DIRECT
N/A|Hardware Unit|$6,572.76|Q2-23-Email Blast|$4,468.70|12.27.2024|Negotiation|$661,367.60|reseller
384|MISC|null|Q1-24-Product Launch|$1,477.33|08.06.2025|CL|$347,172.55|Affiliate
237|Security Bundle|$24,042.99|Q4-24-Upsell|$903.56|08.03.2024|closed won|$157,219.44|Telesales
83|Service Plan Basic|0||$1,106.99|10.12.2024|CLOSED WON|$392,981.45|
479|Software License|$44,351.17|H2-2024-Product Launch|$1,330.82|04.30.2024|Won|$167,760.75|Social
66|Software License|-|H2-24-Upsell|$3,897.19|04.01.2024|Proposal|$1,137,979.48|Referral
131|Software License|0|Q3-2023-New Year Promo|$1,859.75|01.21.2025|Closed Won|$103,125.97|social
336|CRM Module|$12,893.50|H2-23-Trade Show|missing|03.31.2024|closed lost|NA|field
441|CRM Module||Q2-2023-Retention|N/A|06.13.2024|Open|$154,290.66|field
|API Access|$39,868.92|Q3-2024-Email Blast|$4,920.27|10.12.2024|negotiation|$521,548.62|DIRECT
191|Premium Onboarding|$18,136.10||$2,136.74|04.26.2025|lead|$858,969.48|online
252|Software License|$3,224.54|Q4-23-Retention|$42.20|09.25.2025|CLOSED WON|$12,617.80|social
363|Support Tier 1|$32,226.47|FY-24-Product Launch|$4,840.02|07.16.2024|CLOSED WON|$69,982.21|Partner
110|Support Tier 1|$27,180.03|Q2-23-Summer Blitz|$638.13|06.26.2024|negotiation|$317,150.61|affiliate
-|Widget Pro|$33,072.86|FY-2024-Webinar Series|$2,853.53|06.20.2024|closed lost|$194,040.04|Email Campaign
459|Service Plan Pro|$22,354.52|FY-23-Holiday Sale|$567.94|04.01.2025|CW|$38,619.92|E-Commerce
147|Premium Onboarding|$10,542.10|Q4-2024-Spring Push|$479.95|12.14.2023|Won|$232,990.76|Reseller
156|Cloud Storage 1TB|$19,147.99|Q3-24-Spring Push|$1,100.88|07.07.2024|WON|$195,956.64|Brick & Mortar
396|Service Plan Enterprise|$23,599.30|FY-24-Cross-sell|$2,461.95|06.19.2024|in progress|$61,548.75|Store
481|N/A|$18,519.33|FY-2023-Retention|$1,882.60|05.10.2025|qualified|$745,509.60|Web
251|Security Bundle|$16,304.96|Q3-24-Webinar Series|$2,733.79|04.02.2024|In Progress|$1,011,502.30|Email
360|Service Plan Pro|$46,136.59|Q3-24-Trade Show|$3,652.74|07.20.2024|Won|$241,080.84|direct
60|API Access|$10,632.98|H1-23-Email Blast|$1,713.13|08.24.2024|closed won|$573,898.55|field
262|Consulting Hours|$45,442.18|H1-2023-Fall Campaign|$2,835.71|02.01.2025|open|$856,384.42|E-Commerce
311|Training Package|$22,177.19|Q1-2024-Product Launch|$290.67|12.05.2023|Closed Lost|$141,265.62|In-Store
69|-||Q4-2023-Fall Campaign|$4,506.94|12.13.2023|closed lost|$347,034.38|PARTNER
328|Premium Onboarding|$434.07|Q1-2024-Spring Push|$242.71|04.13.2024|PENDING|$1,456.26|PARTNER
67|Service Plan Pro|$15,789.87|Q4-24-Summer Blitz|NA|02.28.2025|CLOSED WON|$156,324.73|In-Store
383|Hardware Unit|0|Q4-23-Upsell|$4,578.69|02.11.2024|open|$370,873.89|web
