Campaign ID|Company Name|Marketing Leads|Marketing Spend|Deal Status|Transaction Date|Sales Channel|Price Per Unit|Geographic Region|Product / Service|Total Amount|Units Sold|Account Executive|Closed Deals|currency
H2-2024-Black Friday|Wonka Enterprises|4797|$32131|open|2024/11/22|field|$835|UK|Premium Onboarding|$84375|101.00|carol davis|139|CAD
Q1-23-Brand Awareness|Pinnacle Analytics|4988|$8038|lead|2024/05/24|Email Campaign|$2590|Middle East|Software License|$520658|201.00|mia clark|305|JPY
Q4-2024-Trade Show|AgriGrow Corp|1420|0|WON|2023/06/30|Website|$3043|UK|Widget Pro|$246506|81.0|E. Martinez|182|GBP
Q4-2024-Trade Show|Pinnacle Analytics|3143|0|CLOSED WON|2023/07/01|Telesales|$2167|EMEA|Widget A|$424683|196.0|david brown|334|JPY
H1-24-Fall Campaign|Pinnacle Analytics|2526|$21167|Closed Lost|2023/09/11|Partner|$2488|Australia|Support Tier 1|missing|null|jane doe|245|CAD
Q4-23-Product Launch|Pinnacle Analytics|3093|$11803|CLOSED LOST|2024/05/04||$2175|Britain|Software Subscription|$406789|187.0|F. Wilson|186|EUR
H1-2023-Brand Awareness|Pinnacle Analytics|4633|$6865|Lost|2023/12/02|Retail|$3013|SA|Support Tier 1|$849700|282.00|N/A|189|JPY
FY-2024-Cross-sell|Pinnacle Analytics|1013|$42546|Proposal|2023/11/02|Retail|$1128|Australia|Consulting Hours|$449107|398|David Brown|-|JPY
FY-24-New Year Promo||720|$5080|closed won|2023/07/23|reseller|$1121|Latin America|Premium Onboarding|$547131|488.00|Grace Lee|362|CAD
Q4-24-Spring Push|Pinnacle Analytics|1649|null|Qualified|2024/03/11|Call Center|$485|Asia|Software License|$52396|108.00|K. White|341|CAD
H2-2023-Holiday Sale|Pinnacle Analytics|2744|$17623|LOST|N/A|email campaign|$3177|Unknown|N/A|$962483|303|E. Martinez|33|EUR
H2-24-Spring Push|Pinnacle Analytics|753|$38156|CLOSED LOST|2023/09/26|email|$1200|Asia Pacific|Cloud Storage 1TB|$352768|294.00|Unassigned|252|
Q4-2023-Product Launch|Pinnacle Analytics|182|$43340|CL|2024/06/15|Direct Sales|$2697|N. America|Premium Onboarding|$595988|221.0|carol davis|486|JPY
Q3-24-Black Friday|Massive Dynamic|null|$26085|Open|2024/09/04|in-store|$1869|UK|Widget B|$805509|431.0|Iris Anderson|389|CAD
H2-23-Trade Show|Pinnacle Analytics|1367|$39689|pending|2024/07/05|ecommerce|$4431|Australia|Gadget Mini|$2100095|474.00|mia clark|258|CAD
Q3-23-Email Blast|Pinnacle Analytics|2075|$37058|Lost|2023/03/13|DIRECT|$1884|North America|CRM Module|$86646|46.00|J. Smith|382|
Q3-2023-Trade Show|SummitView Hotels|3955|$9505|CLOSED WON|2024/07/01|Partner|#N/A|N. America|Hardware Unit|N/A|#REF!|david brown|20|USD
FY-2023-Retention|Massive Dynamic|3400|$36500|Qualified|2024/01/11|web|$2806|LATAM|Cloud Storage 5TB|$628499|224|jake thomas|414|EUR
Q1-2023-Holiday Sale|Pinnacle Analytics|1933|$38570|Proposal|2023/09/10|Social|$2730|US|ERP Add-on|$526838|193|John Smith|289|JPY
H1-23-Webinar Series|Pinnacle Analytics|589|$7612|Closed Lost|2023/08/12|Website|$3146|ANZ|Hardware Unit|$1098024|349.0|grace lee|443|GBP
Q1-2023-Spring Push|Pinnacle Analytics|2881|$38027|Open|2023/02/04||$2867|USA|MISC|$928846|324.00|K. White|65|GBP
Q2-2024-Summer Blitz|Pinnacle Analytics|762|$35882|Lost|2024/07/14|in-store|$1147|Australia|Gadget Mini|$399253|348|H. Taylor|453|AUD
Q2-23-Product Launch|Genco Pura|4651|$38454|lead|2024/04/27|phone|$3178|EMEA|Security Bundle|$505316|159|Henry Taylor|116|
Q4-24-Spring Push|Pinnacle Analytics|1322|$20136|open|2023/05/12|Channel Partner|$1088|Africa|Marketing Suite|$302364|278.0|frank wilson|N/A|
Q2-24-Product Launch|Pinnacle Analytics|3239|null|In Progress|2023/11/27||$1934|United Kingdom|Marketing Suite|$88985|46|Jane Doe|191|GBP
Q2-2024-Summer Blitz|GreenLeaf Energy|987|$12180|pending|2023/08/04|direct|$2133|Australia|Software Subscription|$14931|7|leo harris|182|JPY
Q2-24-Holiday Sale|Pinnacle Analytics|4035|-|Qualified|2023/01/23|Online|$1320|EU|Widget B|$205967|156|Mia Clark|442|USD
Q2-23-Brand Awareness|Pinnacle Analytics|4540|$30312|qualified|2024/04/20|partner|$2070|Middle East|Service Plan Enterprise|$455468|220.00|M. Clark|300|GBP
Q1-2023-New Year Promo|GreenLeaf Energy|1478|$9378|CL|2024/01/20|Field Sales|$4890|ASIAPAC|CRM Module|$924184|189|A. Johnson||GBP
Q3-2023-Webinar Series|Pinnacle Analytics||$18751|open|2024/08/08|Telesales|$3550|APAC|Widget A|$3965|null|JANE DOE|472|EUR
FY-24-Email Blast|Pinnacle Analytics|870|$49574|negotiation|2023/07/11|ecommerce|$3149|APAC|CRM Module|$1420019|451.00|jane doe|370|
|Pinnacle Analytics|2867|$17177|CLOSED WON|2024/01/28|ONLINE|$559|MEA|Service Plan Enterprise|$231069|413.00|H. Taylor|472|GBP
Q3-24-Brand Awareness|Pinnacle Analytics|902|$14711|Closed Won|2024/07/23|In-Store|$1235|LATAM|Service Plan Pro|$457080|370.00|K. White|468|
Q4-2023-New Year Promo|Pinnacle Analytics||$26159|CW|2024/03/18|Web|$3894|US|Service Plan Basic|$1557632|400.0|John Smith|260|CAD
H1-23-Trade Show|Pinnacle Analytics|3283|-|proposal|2024/05/28|Referral|$3673|North America|Cloud Storage 1TB|$172056|N/A|B. Williams|436|AUD
Q3-2023-New Year Promo|Buy N Large|104|$31743|PENDING|2023/04/25|Store|$926|United Kingdom|API Access|$54623|59.00|david brown|294|AUD
Q2-2023-Holiday Sale|Pinnacle Analytics|2436|$39813|closed lost|2024/02/12|E-Commerce|$2508|N. America|Consulting Hours|$845031|337.0|J. Smith|466|GBP
Q2-2024-Retention|Acme Corp|907|$7798|LOST|2024/09/02|Phone|$4697|Asia Pacific|Software Subscription|$887659|189|Grace Lee|257|USD
H1-2024-Fall Campaign|Pinnacle Analytics|618|$22188|Negotiation|2024/12/05|ecommerce|$2520|Britain|Cloud Storage 5TB|$959960|381|grace lee|177|
Q4-24-Cross-sell|Pinnacle Analytics|3209|$7115|CLOSED LOST|2024/01/25|Brick & Mortar|$1137|NA|MISC|$567213|499.00|Jake Thomas|272|CAD
Q1-2023-Product Launch|Pinnacle Analytics|1970|N/A|In Progress|2024/03/13|Channel Partner|$597|NA|Widget B|$163785|#REF!|K. White|276|EUR
Q4-23-Summer Blitz|Pinnacle Analytics|N/A|$5823|Negotiation|2023/03/31|PARTNER|$788|United Kingdom|Hardware Unit|$277422|352.0|Iris Anderson|218|EUR
Q2-23-Product Launch|Cyberdyne Systems|2143|$46150|Closed Lost|2024/03/08|Web|$2079|N. America|Software License|$515572|248|leo harris|238|EUR
Q2-23-Spring Push|Pinnacle Analytics|4785|$31149|Qualified|2023/02/01|partner|$3035|ASIAPAC|Support Tier 1|$1044126|344.00|JANE DOE|232|CAD
Q2-24-Cross-sell|Buy N Large|527|N/A|CW|2024/09/14|Channel Partner|$2420|ASIAPAC|Gadget X|$871150|360|M. Clark|5|JPY
Q2-23-Black Friday|Pinnacle Analytics|2165|$39791|CL|2023/01/21|Telesales|$4285|United Kingdom|Gadget X|$1718317|401.00|Alice Johnson|441|JPY
Q4-23-Summer Blitz|Pinnacle Analytics|816|$23069|Won|2023/04/04|call center|$2974|SA|Cloud Storage 1TB|$511549|172.0|N/A|292|EUR
Q2-2024-Webinar Series|Pinnacle Analytics|2200|$42565|proposal|2023/02/20|retail|$3620|US|ERP Add-on|$1042701|288.00|JANE DOE||
H1-23-Webinar Series|Nakatomi Trading|4094|$13275|Lead|2024/10/19|DIRECT|$1142|Latin America|Marketing Suite|$445415|390.00|grace lee|111|
Q3-23-Trade Show|Nakatomi Trading||$4263|PENDING|2023/07/09|field|$4237|Africa|Widget B|$910903|215|E. Martinez|181|CAD
Q1-24-Brand Awareness||644|N/A|qualified|2023/02/05|social|$3815|Asia Pacific|CRM Module|$1789066|469|J. Doe||JPY
Q3-2023-Webinar Series|Pinnacle Analytics|-|$6392|Proposal|2023/02/21||$645|LATAM|Support Tier 1|$77411|120|E. Martinez|338|EUR
Q3-23-Holiday Sale|Pinnacle Analytics|4952|$11983|CW|2023/06/05|phone|$892|SA|Widget B|$173141|194|Frank Wilson|89|GBP
H2-2024-Retention|Pinnacle Analytics|2863|$49622|in progress|2024/11/01||NA|North America|API Access|$65546|23.0|John Smith|-|CAD
Q3-2024-Product Launch|Pinnacle Analytics|4680|$37861|Open|2023/03/13|direct|$3644|USA|CRM Module|$1191745|327.0|Frank Wilson|387|AUD
FY-23-Spring Push|Cogswell Cogs|3596|$23473|proposal|2024/10/30|reseller|$2599|Europe|Marketing Suite|$543279|209.0|grace lee||USD
Q2-23-Upsell|Hooli Inc||N/A|Negotiation|2024/04/23||$3363|United States|Service Plan Basic|$1331875|396|A. Johnson|430|JPY
H2-24-Cross-sell|Pinnacle Analytics|3202|$8878|CL|2024/05/07|Direct|$834|US|Hardware Unit|$351754|422|leo harris|320|JPY
H2-23-New Year Promo|Pinnacle Analytics|3064|$31017|Lost|2023/12/14|Telesales|$1355|Britain|Widget A|$73195|54.00|Karen White|249|GBP
H2-23-Cross-sell|Pinnacle Analytics|1276|N/A|CLOSED WON|2024/08/10|social media|$1264|Middle East|Training Package|$369228|292.0|A. Johnson|275|GBP
Q4-23-Retention|Pinnacle Analytics|3570|$2561|CLOSED WON|2024/07/11|ONLINE|$3316|EMEA|Software Subscription|$368052|111|TBD|224|JPY
Q4-2023-Brand Awareness|Pinnacle Analytics|3982|$9291|closed won|N/A|social media|$2397|Australia|MISC|$798211|333|G. Lee|287|GBP
Q3-23-Trade Show|Pinnacle Analytics|777|$26773|Won|2023/03/03|Online|$537|ASIAPAC|Security Bundle|$256030|477.00|C. Davis|N/A|EUR
FY-2024-Webinar Series|Pinnacle Analytics|2499|$10974|Open|2023/04/10|in-store|$1836|Africa|ERP Add-on|$435080|237|alice johnson|58|
FY-23-Webinar Series|CloudNine SaaS|3777|$44105|closed lost|2024/07/15|In-Store|$3267|United Kingdom|CRM Module|$117627|36|alice johnson|443|CAD
Q4-24-Upsell|Pinnacle Analytics|1458|$15699|Negotiation|2024/11/08|Retail|$3750|Britain|Premium Onboarding|$1458661|389.0|jake thomas|205|JPY
FY-2024-New Year Promo|Pinnacle Analytics|2437|$26870|Proposal|2023/02/21|Telesales|N/A|N/A|Security Bundle|NA|399|JOHN SMITH|160|USD
H2-2023-Trade Show|Pinnacle Analytics|1228|$14596|closed lost|2023/08/04|field|$3945|Asia Pacific|Consulting Hours|$11723|N/A|leo harris|210|CAD
Q4-2023-New Year Promo|Pinnacle Analytics|761|$38229|CL|2023/11/25|direct|$3939|ANZ|Support Tier 1|$1512515|384|A. Johnson|8|JPY
FY-23-Email Blast|Pinnacle Analytics|3369|$12543|in progress|2023/09/07|reseller|$2455|NA|Service Plan Pro|$1097412|447.00|Carol Davis||USD
H2-2023-New Year Promo|Pinnacle Analytics|4394|$21000|Lead|2023/08/05|direct|$1867|UK|Service Plan Enterprise|$291179|156.00|G. Lee|437|CAD
Q2-23-Spring Push|Nakatomi Trading|4447|$40270|CW|TBD|affiliate|$1382|Europe|Service Plan Pro|$405072|293|Leo Harris||
Q2-2023-Summer Blitz|Pinnacle Analytics|3280|$42414|pending|2024/07/13|Email Campaign|$1407|ANZ|Software License|$92890|66|jake thomas|319|AUD
Q3-23-Cross-sell|Spacely Sprockets|985|$32630|Qualified|2024/12/29|Direct Sales|$3431|EU|Training Package|$487164|142.00|TBD|223|GBP
H2-2023-Summer Blitz|Pinnacle Analytics|2224|0|PENDING|2023/12/16|social media|$740|Unknown|Gadget Mini|$56977|77|J. Smith|182|EUR
Q2-23-Cross-sell|Pinnacle Analytics|202|$29040|In Progress|2023/12/29|PARTNER|$2829|Britain|Widget A|$670366|237|jake thomas|93|
Q2-24-Social Push|Pinnacle Analytics|4901|$41647|CW|2024/11/01|Web|$3482||Cloud Storage 5TB|$104457|30.0|Unassigned|372|USD
Q3-24-Spring Push|Pinnacle Analytics|177|$17435|proposal|2023/09/16|phone|$3103|Britain|Cloud Storage 1TB|$282374|91|G. Lee|309|
Q1-2024-Spring Push|Pinnacle Analytics|3021|$43425|negotiation|2023/03/26|PARTNER|$2893|NA|Support Tier 1|$211163|73.00|JOHN SMITH|382|CAD
Q3-2024-Holiday Sale|Pinnacle Analytics|4565|$41653|Pending|2024/02/09|Web|$3175|Unknown|Consulting Hours|$1317538|415|L. Harris|431|USD
FY-24-Upsell|Tyrell Corporation|4864|N/A|pending|2024/09/12|email|$1139|N. America|Other|$133255|117|leo harris|48|USD
Q3-2023-Cross-sell|Pinnacle Analytics|163|$19280|Negotiation|2024/04/06|Social|$1796|UK|Training Package|$360934|201|Eva Martinez|N/A|GBP
Q2-24-Spring Push|Pinnacle Analytics|1157|-|Negotiation|TBD|PARTNER|$4943|United Kingdom|Widget A|$1502538|304.00|A. Johnson|58|CAD
Q3-24-Upsell|Pinnacle Analytics|650|$31845|CLOSED WON|2024/09/20|Partner|$2761|Africa|ERP Add-on|$394760|143.0|Mia Clark|140|AUD
|Pinnacle Analytics|2066|$42955|proposal|2023/12/24|Brick & Mortar|$629|Middle East|Analytics Dashboard|$191313|304|eva martinez|239|AUD
|Pinnacle Analytics|108|$18156|CLOSED LOST|2024/04/17|Web|$640|United Kingdom|ERP Add-on|$314377|491|E. Martinez|-|USD
Q2-2024-Cross-sell|Wayne Corp|1158|$25223|WON|2023/03/05|affiliate|$3513|MEA|ERP Add-on|$1598456|455|J. Thomas|488|EUR
|Tyrell Corporation|2377|$44434|closed won|2023/07/26|social media|$48|ASIAPAC|CRM Module|$36692|#REF!|JANE DOE|298|JPY
H1-2024-Upsell|Pinnacle Analytics|4898|$7720|CL|2023/09/04|Email Campaign|$4432|US||$695870|157|F. Wilson|47|USD
