Campaign ID|Company Name|Deal Status|Product / Service|Marketing Spend|Transaction Date|Total Amount|Marketing Leads|Sales Channel|notes
|Massive Dynamic|CLOSED WON|Service Plan Pro|0|2024/07/20|2261008,98|359|ecommerce|
|Cybertruck Co|closed won|Data Pipeline|15417,81|2024/12/05|427746,64|1245|Social Media|
H2-23-Cross-sell|QuickShip Logistics|CLOSED WON|-|36950,22|2024/01/12|1069556,99|2069|call center|new customer
Q2-24-Upsell|Cybertruck Co|Won|API Access|null|2024/08/27|1285145,40|3217|reseller|
H2-23-Cross-sell|Cybertruck Co|pending|Cloud Storage 5TB|27063,17|2023/12/14|83283,75|1227||
|Cybertruck Co|Proposal|Software Subscription||2024/05/03|45314,57|4614|social|partial payment
H1-2023-Email Blast|Cybertruck Co|in progress|Service Plan Enterprise|19497,32|2023/05/20|287812,00|4366|referral|
H2-23-Retention|Cybertruck Co|Pending|Gadget X|N/A|2023/08/05|386826,00|2354|partner|
Q2-2024-Holiday Sale||Lead|Widget B|26247,60|2023/12/13|177246,30|3637|Email|returned
Q4-2023-Holiday Sale|Soylent Corp|WON|CRM Module||2024/06/07|729354,99|159|Email|
H1-2024-Black Friday|Cybertruck Co|CLOSED LOST|Data Pipeline|39358,62|2023/04/18|1831371,75|3604|web|CEO referral
FY-2024-New Year Promo|Cybertruck Co|Proposal|Software Subscription|1683,38|2023/05/04|NULL|4222|Brick & Mortar|NET30 terms
Q2-23-Spring Push|Genco Pura|WON|Support Tier 2|32660,78|2025/01/16|245448,57|1812|email campaign|returned
FY-2024-Cross-sell|Cybertruck Co|Won|Service Plan Basic|40199,00|2023/09/22|777701,64|643|in-store|
H1-2024-Upsell|Soylent Corp|open|Premium Onboarding|35518,72|2025/01/21|6326,12|1885|Brick & Mortar|
H1-24-Holiday Sale|Cybertruck Co|Lead|Service Plan Pro|24055,46|2024/06/05|234814,38|2118|referral|
Q1-2023-Trade Show|Cybertruck Co|proposal|CRM Module|30320,83|2024/04/04|1328447,56|4501|Telesales|
Q4-24-Product Launch|Cybertruck Co|Closed Lost|Analytics Dashboard|7954,41|2023/11/05|1777716,28||RETAIL|
Q4-24-Retention|Sterling Cooper|Lost|Widget Pro|27497,48|2023/12/13|103808,32|4089|Retail|
|Cybertruck Co|CL|Support Tier 2|24051,52|2023/04/24|163001,87|1692|ecommerce|NET30 terms
Q3-23-Trade Show|Cybertruck Co|pending|Cloud Storage 5TB||2023/04/14|16311,85|3184||
H1-2024-Cross-sell||lead|CRM Module|43453,51|2023/08/23|null|N/A|Store|
Q3-2023-Brand Awareness|Cybertruck Co|Won|API Access|39888,91|2024/01/05|33379,64||call center|
H2-2024-Social Push|Cybertruck Co|Closed-Lost|Cloud Storage 1TB|22849,06|2024/10/08|319083,52|3461|Store|new customer
Q4-24-Upsell|Cybertruck Co|lead|Other|34941,92|2024/07/24|189963,75|3679|phone|
FY-23-Brand Awareness|CloudNine SaaS|WON|Cloud Storage 1TB|6049,99|2024/03/21|221526,36|2955|direct|
Q3-24-Cross-sell|Cybertruck Co|LOST|CRM Module|39033,71|2024/12/19|15684,53||Affiliate|
H1-24-Summer Blitz|Cybertruck Co|qualified|Service Plan Pro|24548,96|2025/01/14|1672783,20|null|Referral|
H1-24-Trade Show|SummitView Hotels|PENDING|Security Bundle|47265,62|2024/04/30|83936,63|3471|Social Media|pending approval
Q1-24-Retention|AgriGrow Corp|open|MISC|45686,21|2023/10/08|156938,04|447|web|
FY-2023-Social Push|Cybertruck Co|pending|Software License|10658,35|2024/02/06|1444694,01|455|ecommerce|VIP client
Q1-2023-Product Launch|Cybertruck Co|Closed-Lost|Hardware Unit|13065,85|2024/04/29|66939,20|727|Retail|
Q3-24-Social Push|Cybertruck Co|Closed-Lost|Support Tier 1|22742,16|2024/02/02|419729,28|2428|Reseller|partial payment
FY-2023-Fall Campaign|Cybertruck Co|closed lost|Software Subscription|556,72|2024/12/18|263793,04|286|Brick & Mortar|escalated
|Cybertruck Co|LOST|Hardware Unit|9804,96|2024/02/02|110036,57|3740|social media|
H1-24-Fall Campaign|Prestige Worldwide|In Progress|Support Tier 1|9160,63|2024/06/21|192730,00|2943|PARTNER|
Q2-2024-Product Launch|Cybertruck Co|in progress|Support Tier 2|41762,08|2024/05/13|91244,22|291|Social|
H2-2024-Social Push|Cybertruck Co|CLOSED LOST|Analytics Dashboard|-|2023/12/21|1342860,72|2115|referral|
Q1-2024-Holiday Sale|Cybertruck Co|proposal|Analytics Dashboard|16404,31|2024/06/16|83673,75|4435|PARTNER|
H2-23-New Year Promo|Cybertruck Co|Closed-Lost|Cloud Storage 1TB|5897,25|2024/09/12|155295,46|1313|social|partial payment
Q3-24-Spring Push|Cybertruck Co|closed won|Software Subscription|36501,58|2024/10/04|1469870,64|664|Call Center|
Q2-2024-Spring Push|Cybertruck Co|proposal|Data Pipeline|23407,36|2025/01/02|118201,76|2969|Website|renewal
FY-23-Summer Blitz|Cybertruck Co|negotiation|Hardware Unit|25886,64|2025/03/18|1091265,11|1429|In-Store|
|Cybertruck Co|proposal|Security Bundle|12176,27|2024/01/04|69577,38|3241|partner|
|Cybertruck Co|CW|Software License|38569,20|2024/12/17|645875,22|1291|Field Sales|
FY-23-Cross-sell|Cybertruck Co|CL|Hardware Unit|0|2024/12/18|408393,60|1365|RETAIL|
H2-2023-Spring Push|Cybertruck Co|CL|Marketing Suite|16944,19|2023/06/15|144854,81|2035|Direct|
Q3-2024-Product Launch|Dunder Mifflin|Closed Lost|Analytics Dashboard|45853,36|2023/10/20|448988,97|2773|ecommerce|renewal
FY-24-Brand Awareness|Cybertruck Co|open|Analytics Dashboard|5233,51|2023/09/10|320089,00|3143|Affiliate|
FY-2024-Product Launch|Cybertruck Co|open|Service Plan Basic|13017,30|2023/05/15|230099,64|38|Reseller|
FY-2024-Trade Show|Stark Industries|closed lost|Support Tier 2|12045,26|2023/07/26|3094,31|1821|web|
Q4-2024-Webinar Series|Cybertruck Co|CW|Gadget X|18793,48|2024/05/10|821643,75|1980||
Q1-2023-Upsell|Acme Corp|Negotiation|Service Plan Pro|11391,30|TBD|847040,04|607|retail|
FY-24-Webinar Series|Cybertruck Co|In Progress|Cloud Storage 5TB|N/A|2025/03/15|200516,82|N/A|Partner|
Q2-24-Black Friday|Brawndo Corp|CW|Premium Onboarding|22664,95|2023/12/29|9922,45|321|in-store|
|Globex Industries|Lost|Cloud Storage 1TB|30864,94||227743,90|1523|ONLINE|
Q3-2024-Upsell|Cybertruck Co|Closed Lost|Premium Onboarding|33683,28|2023/11/11|375795,75|11|Telesales|
|Cybertruck Co|qualified|Gadget Mini|40808,33|2025/02/27|338609,04|2236|e-comm|pending approval
Q4-23-Cross-sell|Cybertruck Co|Closed Won|Premium Onboarding|40928,03|2023/08/22|961121,28|null|call center|discount applied
Q1-24-Black Friday|Stratton Oakmont|closed won|Consulting Hours|27456,67|2023/12/22|152378,87|3890|web|
FY-24-Webinar Series|Cybertruck Co|Closed Lost|Other|-|2023/07/22|423853,08|350|Reseller|CEO referral
Q1-2024-Black Friday|Cybertruck Co|PENDING|Premium Onboarding|20811,28|2023/06/03|1140118,52|829|PARTNER|new customer
Q3-2023-Fall Campaign|Dunder Mifflin|Open|Hardware Unit|38483,15|2023/12/09|886378,24|4335|ecommerce|follow up needed
Q3-23-Summer Blitz|Cybertruck Co|Closed Lost|CRM Module|24249,01|2024/12/01|2306848,32|4918|Field Sales|
Q4-23-Email Blast|Cybertruck Co|PENDING|Software Subscription|15267,29|2023/08/07|305679,98|1558|Online|
|Cybertruck Co|proposal|Service Plan Pro|8982,38|2024/10/10|271040,37|4316|Phone|
Q2-2024-Holiday Sale|Cybertruck Co|Proposal|Gadget Mini|27083,98|2023/07/08|701773,90|4227|PARTNER|
H2-24-Trade Show|Cybertruck Co|Pending|Hardware Unit|877,00|2023/10/10|338846,45|2880|web|
Q1-2023-Brand Awareness|Cybertruck Co|LOST|Marketing Suite|35867,04|2024/08/17|495402,88|-|Partner|
FY-23-Cross-sell|Cybertruck Co|Pending|N/A|41465,31|2023/09/20|1354250,88|3799|Retail|new customer
H1-23-Black Friday|Cybertruck Co|Qualified|Training Package|1162,13|2024/07/13|451731,15|3305|e-comm|pending approval
Q3-2024-Email Blast|GreenLeaf Energy|closed lost|Widget B|31615,09|2023/06/02|38482,46|2599|e-comm|
Q3-2024-Fall Campaign|Cybertruck Co|Closed Lost|Widget Pro|48733,99|null|1066987,60|4612|Telesales|
|Cybertruck Co|CLOSED WON|Security Bundle|7477,65|2023/05/12|136385,71|721|social|renewal
H1-24-Product Launch|Soylent Corp|CW|Gadget Mini|8660,37|2025/02/21|429066,00|124|e-comm|
H2-2024-Holiday Sale|DataWave Inc|CLOSED LOST|Cloud Storage 5TB|24329,97|2024/07/16|554637,32|497||
H1-2024-Cross-sell|Cybertruck Co|Proposal|API Access|37780,43|N/A|1389713,98|1510|RETAIL|
H2-24-Upsell|Stark Industries|closed lost|Premium Onboarding|48241,56|2024/12/09|1694440,34|4692|PARTNER|VIP client
FY-2024-Social Push|Cybertruck Co|closed won|Security Bundle||2024/08/02||2436|Brick & Mortar|
Q4-23-Social Push|Cybertruck Co|Proposal||null|2023/08/22|27359,98|4753|Reseller|follow up needed
FY-23-Product Launch|Cybertruck Co|Pending|Data Pipeline|15914,78|2024/09/05|496396,80|1934|Online|
H1-24-Email Blast|Cybertruck Co|Closed-Won|Service Plan Pro|8570,45|2023/10/13|449522,25|4548|Social|pending approval
Q4-2023-New Year Promo|Cybertruck Co|PENDING|Premium Onboarding|36397,79|2025/03/22|393166,93|1621||
Q4-2024-Retention|Cybertruck Co|in progress|Support Tier 1|4405,21|2024/07/21|578387,68|2580|phone|
|Vandelay Ind|Lost|CRM Module|44065,85|2023/06/04|721209,12|3001||
Q1-24-New Year Promo|Cybertruck Co|LOST|Service Plan Pro|43678,93|2024/08/10|1206238,74|1370|Referral|
Q1-23-Cross-sell|SummitView Hotels|open|Analytics Dashboard|43618,06|2025/04/09|406576,08|957||
Q3-2023-Product Launch|Cybertruck Co|Qualified|Training Package|6712,73|2023/08/04|193182,30|3527|email|
H1-23-Summer Blitz|Brawndo Corp|Closed-Won|Training Package|8694,27|2024/07/27|NULL|4605|Call Center|
Q4-2023-Trade Show|Cybertruck Co|Pending|Premium Onboarding|31490,84|2024/06/18|389961,00|4354|Email|
Q3-2023-Black Friday|Cybertruck Co|LOST|Service Plan Pro|21771,20|2023/08/23|773646,79|4987|Direct Sales|
Q3-2024-Email Blast|Cybertruck Co|CLOSED WON|Marketing Suite|29282,74|2023/07/13|709500,22|-|retail|
Q2-24-Fall Campaign|Cybertruck Co|CLOSED LOST|Hardware Unit|13242,54|2024/06/02|1281555,99|3727||follow up needed
Q3-2023-Black Friday||CL|Data Pipeline|42914,69|2023/08/31|237050,24|1578|In-Store|
FY-2024-Holiday Sale|Cybertruck Co|closed lost|Gadget X|20199,51|2024/10/07|395607,03|1304|Reseller|pending approval
H2-24-Upsell|Cybertruck Co|proposal|Support Tier 1|0|2023/04/23|407390,40|2734|Phone|
Q3-23-Upsell|Cybertruck Co|LOST|ERP Add-on|39460,95|2024/11/09|6815,61|4236|PARTNER|
Q2-24-Upsell|Cybertruck Co|closed lost|Service Plan Pro|2747,63|2024/08/27|600126,14|3275|email campaign|
FY-2024-New Year Promo|Cybertruck Co|Closed Won|Software License|null|2023/05/21|457880,97|2164|RETAIL|
Q2-2024-New Year Promo|Buy N Large|negotiation|Consulting Hours|27039,30|2024/04/11|1379522,43|N/A|ecommerce|new customer
Q2-2024-Product Launch|Cybertruck Co|Closed Lost|Gadget X|2668,58|2023/11/16|680410,50|1773|referral|new customer
FY-24-Cross-sell|Hooli Inc|Closed Lost|Cloud Storage 1TB||2023/04/26|1602167,38|1130|call center|CEO referral
Q4-2024-Brand Awareness|Cybertruck Co|Closed-Won|Gadget X|10164,46|2024/05/06|515417,04|3734|Channel Partner|CEO referral
FY-2024-Webinar Series|Cybertruck Co|pending|-|12541,98|2023/12/30|1729823,54|3156|Social|
Q2-2023-New Year Promo|Cybertruck Co|Lead|Support Tier 1|30910,93|2023/04/19|536592,80|840|Email Campaign|partial payment
Q2-2024-Retention|Cybertruck Co|CL|Security Bundle|40801,73|2024/01/30|NULL|999|web|bulk order
Q3-23-Webinar Series|Cybertruck Co|Proposal|Cloud Storage 5TB|-|2023/06/04|597811,59|4170|Direct|
H2-23-New Year Promo|Cybertruck Co|qualified|Data Pipeline|904,61|2024/03/20|1217058,07|257|field|
H2-2024-Holiday Sale|Omni Consumer Products|CLOSED WON|Security Bundle|9407,15|2024/06/22|411767,40|2449|Referral|new customer
H1-2023-Summer Blitz|Dunder Mifflin|closed won|Widget A|29549,37|2025/02/02|399617,82|2962|online|
H2-23-Webinar Series|Cybertruck Co|open|Security Bundle|46140,82|2024/07/12|1157756,64|2031||NET30 terms
Q4-2024-Email Blast|Cybertruck Co|Open|Software Subscription|37219,54|2023/11/16|161622,03|3834|Social Media|
|Cybertruck Co|negotiation|Data Pipeline|49859,74|2024/06/06|766860,18|4010|DIRECT|renewal
Q4-2023-New Year Promo|Cybertruck Co|proposal|Software Subscription|24590,30|2024/01/02|2149186,84|467|E-Commerce|
Q2-2023-Retention|Dunder Mifflin|CLOSED WON|Marketing Suite|1084,53|2024/07/05|NA|278|reseller|
Q1-2024-Cross-sell|Cybertruck Co|negotiation|Support Tier 2|39547,21|2024/11/02|102749,74|2105|Email Campaign|pending approval
Q2-23-New Year Promo|Soylent Corp|Pending|Security Bundle|28224,20|2024/05/03|1163138,52|4156|call center|
Q2-24-Holiday Sale|Cybertruck Co|Lost|Data Pipeline|27598,62|2024/03/21|705835,00|3964|Reseller|CEO referral
Q4-2024-Upsell|Cybertruck Co|CL|Support Tier 2|-|2023/10/29|111605,72|null|Reseller|
Q2-23-Holiday Sale|SummitView Hotels|qualified|Service Plan Pro|29434,51|2023/08/20|120882,33|4400|Email Campaign|
Q3-2024-Upsell|Cybertruck Co|closed lost|Training Package|N/A|2025/02/17|127026,40|4415|affiliate|
Q4-2024-Trade Show|Cybertruck Co|closed won|Service Plan Basic|32729,26|2025/03/30|91961,48|4704|web|
H2-2023-Trade Show|Cybertruck Co|Won|Software Subscription|33341,22|2023/04/19|-|321|call center|
FY-23-Brand Awareness|Cybertruck Co|Negotiation|Widget A|5793,31|2024/11/23|65250,48|4142|Call Center|
H2-23-Retention|Hooli Inc|lead|Analytics Dashboard|26561,46|2023/08/22|1387109,25|252|email|CEO referral
|Cybertruck Co|pending|ERP Add-on|26147,99||1011470,25||partner|discount applied
FY-24-Social Push|Cybertruck Co|LOST|Service Plan Pro|1254,44|2025/02/12|471124,47|995|reseller|renewal
Q4-24-Spring Push|Cybertruck Co|closed won|Cloud Storage 5TB|28409,68|2024/10/29|51312,87|4646|DIRECT|
Q1-2024-New Year Promo|Cybertruck Co|negotiation|Cloud Storage 5TB|48237,58|2023/08/18|237473,78|778|PARTNER|
H2-23-Trade Show|TrueNorth Financial|LOST|Marketing Suite|-|2024/01/26|137498,31|2843|Retail|
Q3-2023-New Year Promo|Cybertruck Co|Pending|Widget Pro|35488,75|2023/12/09|1332177,99|236|field|pending approval
Q2-2024-Fall Campaign|MomCorp|qualified|Cloud Storage 5TB|40187,40|2023/07/06|819903,04|4404|social|
FY-2024-Cross-sell|Cybertruck Co|Lost|Service Plan Basic|18563,16|2024/11/25|1122952,80|2347|Referral|
H2-2024-New Year Promo|Cybertruck Co|CL|MISC|19650,83|2025/03/02|280809,26|-||
Q1-24-Brand Awareness|Cybertruck Co|qualified|Cloud Storage 1TB|37134,56|2023/07/23|957589,34|1292|DIRECT|
Q1-23-Trade Show|Stark Industries|lead|Support Tier 1|41444,76|2024/11/21|434383,52|null|retail|
FY-23-Product Launch|Cyberdyne Systems|CLOSED WON|ERP Add-on|2604,88|2024/11/22|681861,50|1760|online|CEO referral
Q2-23-Social Push|Cybertruck Co|open|Support Tier 2|17004,82|2024/10/16|341848,98|4611|Call Center|
FY-24-New Year Promo|Omni Consumer Products|CLOSED WON|Hardware Unit|49614,19|2023/10/11|1448583,45|1784|partner|
Q3-23-Trade Show|Cybertruck Co|closed won|Cloud Storage 5TB|N/A|2023/10/27|279667,38|1001|social media|pending approval
Q2-24-Spring Push|Cybertruck Co|CW|-|29599,43|2024/05/06|171437,12|546|email campaign|
H2-23-New Year Promo|Cybertruck Co|WON|Training Package|48779,07|2025/02/03|1555226,01|-|email|new customer
Q1-2023-Brand Awareness|Cybertruck Co|open|Premium Onboarding||2023/09/27|33710,16|4577|social media|
H2-23-Email Blast|Acme Corp|Lost|Training Package|18898,10|2023/06/06|101173,16|1186|Retail|
Q2-23-Holiday Sale|HealthPlus Pharma|CLOSED WON|Service Plan Basic|7516,20|2024/06/14|180603,24|3680|e-comm|
Q1-24-Product Launch|Cybertruck Co|Lead|Service Plan Basic|46926,99|2023/05/15|1745,29|2975|Store|
Q4-2023-Email Blast|Cybertruck Co|Lead|Cloud Storage 1TB|37862,95|2025/02/27|196316,58|1954|E-Commerce|
Q1-23-Spring Push|CloudNine SaaS|Open|Support Tier 1|45782,89|2023/09/02|18994,50|1401|In-Store|
Q2-2023-Retention|Cybertruck Co|Open|Widget B|null|2024/12/15|348261,66|986|in-store|
H2-2024-Email Blast|Cybertruck Co|Negotiation|Widget B|31035,03|2023/04/16|816621,60|3004|Direct|NET30 terms
H1-2023-Spring Push|Cyberdyne Systems|In Progress|Gadget X|34771,70|2024/12/20|765605,28|2296|Website|renewal
FY-2024-Cross-sell|Cybertruck Co|Closed Won|Data Pipeline|20602,91|2024/05/16|1800175,89|4666|Phone|pending approval
|Cybertruck Co|Won|Support Tier 2|2118,50|2025/01/09|572573,82|4653|PARTNER|
|Cybertruck Co|Open|Gadget Mini|31879,70|2023/12/10|568903,65|4013|in-store|
Q2-24-Trade Show|Cybertruck Co|LOST|Analytics Dashboard|192,15|2023/04/26|558913,90|2718|DIRECT|
Q2-2023-Trade Show|Cybertruck Co|CL|Premium Onboarding|-|2025/02/08|769252,50|-|referral|follow up needed
Q4-23-Cross-sell|Cybertruck Co|Proposal|Training Package|10699,42|2024/11/06|687111,90|-|DIRECT|
|Cybertruck Co|Lost|ERP Add-on|33854,78|2023/06/26|96139,20|4148|DIRECT|
Q4-24-Brand Awareness|Cybertruck Co|Open|Support Tier 1|29799,15|2023/12/19|440756,45|3054|e-comm|escalated
H1-2023-Black Friday|Cyberdyne Systems|in progress|Gadget X|34935,04|2024/03/12|13179,65|722|online|new customer
Q4-23-New Year Promo|Cybertruck Co|in progress|Marketing Suite|29694,27|2024/02/14|1146488,64|3549|Channel Partner|escalated
FY-2024-Trade Show|Globex Industries|closed lost|Software License|8222,54|2024/07/04|292063,20|1863|web|
Q2-24-Brand Awareness|Virtucon|Proposal||0|2024/11/16|45708,40|1040|Direct Sales|
H2-2024-Summer Blitz||proposal|Training Package|25014,59|2023/05/04|195767,16|-|Direct|
Q1-24-Holiday Sale|Cybertruck Co|open|Software License|38211,20|2025/01/03|1069486,07|4246|Store|
H1-23-Fall Campaign|Cybertruck Co|open|-|26405,83|2024/09/13|1201215,85|631|Social|
