dt|cmpgn|qty|spend|conv|stat|rgn|lds|prod|rep|ch|price|rev
30-Sep-2024|Q1-23-Spring Push|108|$21,058.70|51|LOST|UK|3556|ERP Add-on|Mia Clark|Social Media|$3,999.96|$431,995.68
25-Nov-2024|FY-2024-Fall Campaign|129|-|240|CLOSED WON|North America|1537|Gadget X|E. Martinez|Email Campaign|$1,057.03|$136,356.87
16-May-2025|H1-23-Webinar Series|100|$41,568.79|56|negotiation|US|3541|Widget Pro|David Brown|ecommerce|NULL|$6,541.75
14-Jun-2025|Q4-24-Webinar Series|96.00|$13,251.51|460|Closed Lost|Britain|N/A|Data Pipeline|iris anderson|E-Commerce|$2,906.57|$279,030.72
03-Feb-2024|Q3-2023-Brand Awareness|116.0|$49,164.79|115|Pending|EMEA|2431|Widget A|H. Taylor|reseller|$208.66|$24,204.56
10-May-2024|H2-2023-Black Friday|68|$13,946.16|335|In Progress|United Kingdom|2592|Service Plan Basic|jake thomas|partner|$4,171.15|$283,638.20
09-May-2025|H2-2024-Cross-sell|118.0|$37,580.10|482|In Progress|EMEA|3283|Cloud Storage 5TB|H. Taylor|e-comm|$4,985.89|$588,335.02
01-Jul-2024|H2-2023-Retention  |null|-|220|negotiation|USA|966|Training Package|E. Martinez|Web|$3,869.20|$133,593.05
06-Apr-2025|Q3-24-Retention|124|$42,125.34|484|in progress|Africa|3581|Cloud Storage 1TB|carol davis|Call Center|$1,889.66|$234,317.84
05-Jul-2024|H2-23-Trade Show|414|$3,190.14|19|Lead|Asia|4968|Widget A|Eva Martinez|Referral|$3,979.05|$1,647,326.70
18-Oct-2025|H2-2024-Retention|32.0  |$48,367.20|458|Negotiation|USA|2546|Widget A|K. White|ecommerce|$2,925.16|$93,605.12
21-Jul-2025|Q4-23-Spring Push|267|$24,237.60|120|qualified|EU|3597|CRM Module|A. Johnson|RETAIL|$1,025.45  |$273,795.15
13-Oct-2024|H1-2023-Black Friday|340|$29,947.57|41|lead|USA|341|Cloud Storage 1TB|Leo Harris|Affiliate|$316.33|$107,552.20
29-Aug-2025|H1-2024-Trade Show|98|$31,310.99|291|CLOSED WON|LATAM|966|Widget B|E. Martinez||$2,854.00|$279,692.00
|Q2-2023-Summer Blitz||$9,111.61|N/A|In Progress|Europe|1062|Cloud Storage 1TB|L. Harris|Direct Sales|$3,764.08|$134,100.77
N/A|H2-24-Social Push|451.00|$1,521.06||lead  |ANZ|3339|MISC|mia clark|retail|$3,933.85|$1,774,166.35
13-Sep-2025|Q4-24-Spring Push|22.0|$42,806.39|178|lead|APAC|1429|Training Package|J. Thomas|e-comm|$1,776.86|$39,090.92  
28-Mar-2025|FY-2023-Retention|171.0|$42,330.34|N/A|In Progress|EMEA|3530|Hardware Unit|A. Johnson  |web|$3,673.50|$628,168.50
26-Jun-2025|Q2-23-Holiday Sale|58.00||363|pending|Australia|2419|Consulting Hours|Mia Clark|direct|$1,835.49|$106,458.42
08-Sep-2024||178.0|$47,068.36|99|WON|Europe|1627|Training Package|A. Johnson|phone|$2,183.64|$388,687.92
13-Apr-2024|FY-24-Retention|294.00|$7,109.33|445|Qualified  |ANZ|2959|Hardware Unit|bob williams|referral|$444.59|$130,709.46
10-Jan-2024||49|$40,021.90|191|Lead|N/A|4081|Service Plan Pro|jane doe|Retail|$4,818.18|$236,090.82
TBD|Q4-2024-Product Launch|290.0|$47,446.07|202|CW|US|1463|Premium Onboarding|frank wilson|Partner|$4,979.15|$1,443,953.50
30-May-2025|Q4-24-Fall Campaign|370|$49,631.39|464|Closed Won|Middle East|700|Premium Onboarding|E. Martinez|ONLINE|$1,440.66|$533,044.20
16-Mar-2024|FY-24-Spring Push|300|$26,259.62|306|pending|Asia|1022|CRM Module|Jane Doe|field|$763.47|$229,041.00
14-Oct-2025|H1-24-New Year Promo|149.00|$40,470.62|133|closed won|ANZ|373|Support Tier 2|alice johnson  |email campaign|$1,079.46|$160,839.54
31-Jul-2024  |Q2-24-New Year Promo|381.0|$2,536.68|110|proposal|EU|1521|Security Bundle|Unassigned|Social|$4,185.08|$1,594,515.48
19-Apr-2024|FY-23-Upsell|#REF!|$31,262.60|130|Open|Middle East|4854|API Access  |Bob Williams|E-Commerce|$4,417.30|$3,630.96
22-Sep-2024|  |73.0|$8,686.21|94|Closed Lost|Asia Pacific|N/A|Analytics Dashboard|Frank Wilson||$2,296.27|$167,627.71
12-Oct-2025|Q3-24-Fall Campaign|209|$25,034.12|205|CW|MEA|2782|Gadget X|J. Smith|Web|$2,374.67|$496,306.03
15-Apr-2025|Q2-24-Trade Show|459|$24,715.34|-|lead|LATAM|3495|Support Tier 1|Bob Williams|ONLINE|-|$168,509.38
01-May-2024|Q3-2024-Product Launch|58|$4,618.06|448|Negotiation|EU|2786|Support Tier 1|F. Wilson|Direct|$1,556.09|$90,253.22
18-Jul-2025|Q3-24-Email Blast|324.0|$33,924.34|320|Pending|Australia|3994|-|alice johnson|Channel Partner|$2,538.93|$822,613.32
05-Oct-2025|H1-2023-Product Launch|21|$47,703.70|14|Closed-Won|UK|4293|Marketing Suite|Alice Johnson|Web|$4,387.78|$92,143.38
23-Jun-2025|FY-2023-Trade Show|396.0|$47,737.56|161|Closed Lost|EMEA|3475  |Service Plan Enterprise|bob williams|online|$1,545.87|$612,164.52
06-Nov-2024|H1-2023-Holiday Sale|23.0|$18,630.83|212|CLOSED WON|UK|2675|Training Package|Grace Lee|partner|$1,751.90|$40,293.70
07-Dec-2023|H2-23-Email Blast|93.00|$34,182.28|494|Closed Lost|NA|2155|Service Plan Basic|Jake Thomas|Reseller|NULL|$24,791.17
21-Mar-2024|Q1-2024-Retention|115.00|$37,030.64|366|negotiation|Latin America|4670|Premium Onboarding|B. Williams|Call Center|$576.33|$66,277.95
26-Jun-2024|H1-23-Fall Campaign|34|$23,527.40|65|Lost|Britain|789|API Access|J. Thomas|Store|$2,381.07|$80,956.38
22-Dec-2023|H2-23-Trade Show|457.00|$5,242.20|308|In Progress|Europe|4051|Support Tier 2|karen white|direct|$3,136.36|$1,433,316.52
28-Jan-2024|Q2-2023-Webinar Series  |0|$9,794.78|159|Qualified|LATAM|2475|Service Plan Pro|Leo Harris|PARTNER|$3,813.12|$3,783.97
03-Jan-2025|Q2-23-Trade Show|181|$41,408.27|473|Open|Asia Pacific|1131|Software Subscription|JANE DOE|reseller|$386.84|$70,018.04
07-Mar-2025|Q1-2024-Retention|N/A|$23,543.65|-|Qualified|ANZ|3044|Service Plan Basic|Bob Williams|Retail|$3,649.50|$11,437.84
02-Jan-2024|Q1-2024-Upsell|325|$579.16|463|Won|Asia|1595|ERP Add-on|Henry Taylor|Direct Sales|$2,394.10|$778,082.50
02-Sep-2025|H2-24-Summer Blitz|408.0|$23,437.64||PENDING|United States|3827|Training Package|L. Harris|ONLINE|$1,714.19|$699,389.52
21-Aug-2024|Q4-23-Holiday Sale|316.0|$45,892.88|385|Won|Middle East|786|Cloud Storage 5TB|J. Smith|ONLINE|$1,739.99|$549,836.84
05-Apr-2024|Q2-2024-New Year Promo|43.0|$15,125.30|236|Negotiation|LATAM|2185|Gadget Mini|Frank Wilson|Email|$3,587.75|$154,273.25
14-Sep-2025|H2-2023-Upsell|262|$13,831.55|409|Won|Asia Pacific|2321|Marketing Suite|jake thomas|Social Media|$2,735.67|$716,745.54
09-Mar-2025|H1-23-Email Blast|433|$16,922.07|302|closed lost|SA|3727|Hardware Unit|JANE DOE|referral|$1,827.48|$791,298.84
15-Jun-2025|FY-23-Black Friday|448.00|$7,152.44|333|Pending|Australia|3376|N/A|alice johnson|phone|$3,921.71|$1,756,926.08
