totalRevenue|companyName|saleDate|salesChannel|leadCount|quantity|productName|conversionCount|adSpend|Notes
1054652.27|BrightPath Media|July 04, 2023|affiliate|372|329|Marketing Suite|383|37409.83|
1711269.00|QuickShip Logistics|April 19, 2024|retail|996|420|Widget B|157|5072.05|
5290.46|QuickShip Logistics|May 18, 2024|Social Media|N/A|31|-|181|47805.19|
43619.04|QuickShip Logistics|October 26, 2024|email|2155|216|Marketing Suite|500|N/A|
1252132.56|QuickShip Logistics|December 07, 2023|Social|2733|252|Security Bundle|88|8879.00|
1444057.44|QuickShip Logistics|December 23, 2024|phone|2870|294.00|ERP Add-on|8|45913.88|
676452.78|QuickShip Logistics|March 25, 2023|Email|2369|159|ERP Add-on|384|19925.13|
1215478.92|Vandelay Ind|July 07, 2024|Web|4941|449|Support Tier 2|244|39068.37|
846615.51|QuickShip Logistics|April 05, 2023|email|4329|207.00|Widget Pro|141|33440.71|
27977.30|Cybertruck Co|May 21, 2024|retail|343|26|Cloud Storage 1TB|27|48685.73|
1956411.34|QuickShip Logistics|July 25, 2024|Affiliate|1976|442.00|ERP Add-on|27|585.46|discount applied
175448.28|Planet Express|July 14, 2023|DIRECT|3601|133.0|Security Bundle|227|-|CEO referral
1941672.06|Prestige Worldwide|null|referral|453|402.0|API Access||48139.28|
308211.56|QuickShip Logistics|July 20, 2024|Retail|4611|131|Hardware Unit|64|28625.33|
306798.90|QuickShip Logistics|April 13, 2023|email|N/A|82.00|Data Pipeline|471|5025.93|
244385.86|Cyberdyne Systems|June 28, 2024|field|17|0|Data Pipeline|350|24769.08|CEO referral
95842.08|QuickShip Logistics|May 28, 2024|Website||228.0|Gadget X|196|34095.07|
218586.40|QuickShip Logistics|October 01, 2023|in-store|4374|N/A|Gadget X|407|47075.70|new customer
640983.20|Rekall Inc|February 18, 2024||2902|286|Cloud Storage 1TB|78|26578.82|
199071.44|QuickShip Logistics|July 23, 2024|E-Commerce|739|92|ERP Add-on|312|5987.38|
426875.62|QuickShip Logistics|April 20, 2024||173|179|Premium Onboarding|157|29017.91|
489811.65|QuickShip Logistics|null|retail|3120|255.00|API Access|380|11098.04|
502582.08|BlueOcean Retail|August 08, 2024|Field Sales||132.00|Software Subscription|353|23842.67|pending approval
1244307.60|TrueNorth Financial|January 26, 2024|Email|4179|360.00|Widget Pro|437|21866.38|
357531.46|Virtucon|September 10, 2023|call center|4790|286|Widget A|499|43911.02|bulk order
315984.00|Cybertruck Co|July 23, 2024|Web|4882|64.0|Training Package|118|-|returned
|QuickShip Logistics|March 08, 2025|online|4506|312|Service Plan Basic|53|34402.50|
556484.16|QuickShip Logistics|January 13, 2024|Social|4442|304.0|Premium Onboarding||39778.56|pending approval
186944.49|QuickShip Logistics|September 22, 2024|Referral|778|20|Premium Onboarding|300|218.00|
568946.70|QuickShip Logistics|October 10, 2024|web|2103|189|Security Bundle|486|42852.15|pending approval
5180.96|QuickShip Logistics|May 25, 2024|e-comm|468|16|Gadget Mini|38|43516.47|
2427380.40|QuickShip Logistics|February 22, 2025|Direct|3575|492.0|Premium Onboarding|64|42163.65|
228977.42|QuickShip Logistics|August 02, 2023|email campaign|-|322.0|Hardware Unit|36|9488.55|
427897.96|QuickShip Logistics|February 06, 2025|call center|1767|124|Service Plan Basic|375|26445.81|discount applied
739887.03|QuickShip Logistics|June 16, 2024|affiliate|991|201.00|Premium Onboarding|1|21822.99|
missing|Planet Express|June 10, 2024|reseller|4595||Widget A|320|19048.42|
1532809.60|QuickShip Logistics|May 17, 2024|social media|650|410|Service Plan Basic|N/A|46334.70|
391016.52|QuickShip Logistics|March 20, 2024|Direct Sales|230|214.0|Cloud Storage 5TB|192|4980.96|
|QuickShip Logistics|May 10, 2023|direct|2035|147|N/A|224|5074.56|
46095.48|QuickShip Logistics|October 26, 2023||-|324.0|N/A|200|13588.04|returned
817120.24|QuickShip Logistics|TBD|Website|1637|388.0|Widget A|222|8790.06|follow up needed
2145557.49|QuickShip Logistics|January 15, 2024|reseller|4042|453|Security Bundle|109|11723.11|
824342.44|Dunder Mifflin|February 25, 2025|Referral|1266|337|Hardware Unit|219|21777.42|
824034.80|QuickShip Logistics|February 17, 2024|Store|2704|230.0|Service Plan Pro|294|33982.18|partial payment
3895.29|QuickShip Logistics|January 09, 2024|Email|3326|9||348|4390.93|
696140.77|QuickShip Logistics|July 21, 2023|email campaign|236|299|Data Pipeline|N/A|22104.71|pending approval
|QuickShip Logistics|April 13, 2023|online|2087|-|Training Package|131||
601726.32|QuickShip Logistics|N/A|web|2431|156.0|ERP Add-on|401|41507.11|
1078106.22|QuickShip Logistics|December 21, 2023|Social Media|1894|279|Service Plan Pro|343|13402.47|
4231.68|MomCorp|February 20, 2024|Channel Partner|1432|256|Software License|N/A|24890.57|bulk order
187867.68|QuickShip Logistics|May 29, 2023||1683|357|Software License|117|31176.17|follow up needed
136858.40|QuickShip Logistics|March 14, 2024|Retail|1702|80.00|Data Pipeline|37|28824.41|
137711.81|Krusty Burger LLC|December 07, 2023|Brick & Mortar|4144|0|Software Subscription|137|2700.39|
1054997.28|QuickShip Logistics|June 07, 2024|In-Store|1340|222|Gadget Mini|336|10608.68|
647348.99|QuickShip Logistics|June 19, 2023|Store|4279|199|Widget A|493|29397.85|
686940.24|Genco Pura|July 28, 2023|field|4714|287|Service Plan Enterprise|468|31251.16|
28084.70|QuickShip Logistics|June 21, 2024|ONLINE|2703|70.00|Support Tier 2|310|43109.56|
20713.25|Cogswell Cogs|May 27, 2024|ONLINE|2150||Support Tier 2|495|33013.94|discount applied
