Ad Spend,Channel,Date,Campaign,Region,Company,Leads,Status,Revenue
-,In-Store,2024-10-05,Q3-23-Social Push,USA,Stratton Oakmont,924,Closed Won,552586
21782,RETAIL,2025-02-09,FY-2023-Brand Awareness,Britain,Stratton Oakmont,,negotiation,187624
29997,E-Commerce,2025-10-13,Q2-23-Summer Blitz,US,Stratton Oakmont,192,open  ,157902
20221,ONLINE,2025-01-04,Q1-2023-Black Friday,North America,Stratton Oakmont,4334,Closed Won,634935
N/A,in-store,2025-04-05  ,Q4-2024-Upsell,South America,Stratton Oakmont,1854,Closed Lost,1074178
24038,email campaign,2024-12-27,H2-24-Retention,N/A,Bluth Company,17,In Progress,134349
46284,phone,2025-10-05,Q3-2024-Trade Show,Asia Pacific,Stratton Oakmont,217,Closed Lost,104675
48840,online,2024-06-15,Q1-23-Social Push,Britain,Stratton Oakmont,3927,Won,526222
14271,PARTNER,2024-02-14,H1-2024-Fall Campaign,EU,Stratton Oakmont,771,lead,1238782
14087,Online,2025-09-02,FY-23-Trade Show,Latin America,Buy N Large,145,Closed-Lost,29533
19193,ONLINE,2025-05-13,FY-2024-Trade Show,N. America,Stratton Oakmont,52,WON,417850
31814,retail,2025-06-04,H1-24-Holiday Sale  ,N. America,Stratton Oakmont,4592,Proposal,21522
N/A,Online,2025-09-10,Q3-23-Black Friday,Africa,Stratton Oakmont,4773,Open,214420  
46043,ecommerce,2025-04-08,FY-2024-New Year Promo,Middle East,Stratton Oakmont,393,Negotiation,388029
12966,Call Center,2024-04-23,,SA,Stratton Oakmont,4172,Won,131475  
4946,Telesales,2025-02-16,Q1-2024-Spring Push,United Kingdom,Nakatomi Trading,346,PENDING  ,704088
-,in-store,2024-09-29,H1-23-Fall Campaign,Africa,Initech Solutions,2819,CLOSED LOST,208005
12483,Reseller,2025-01-26,Q1-2024-Product Launch,Unknown,Stratton Oakmont,null  ,Pending,88295
33969,Social Media,2024-09-12,Q4-24-Spring Push,US,Hooli Inc,2783,closed lost,229823
33259,Social,2025-05-14,Q4-2024-Holiday Sale,N. America,Stratton Oakmont,2923  ,Closed Won,592471
22262,email,2025-02-04,H1-24-Email Blast,Latin America,Stratton Oakmont,2356,PENDING,1723996
48254,Direct,2024-05-15,H2-2024-Product Launch,NA,Stratton Oakmont,N/A,Closed-Lost,1227404
28782,Social Media,2025-06-03,H2-24-Social Push,LATAM,Stratton Oakmont,2161,Closed-Won,1154817
44777,Store,2024-07-05,H1-2023-Upsell,Australia,Stratton Oakmont,3831,Closed-Won,869436
30217,Direct Sales,2024-11-05,H1-2024-Black Friday,N. America,Stratton Oakmont,4994,Proposal,109424
3432,Direct,2025-04-10,H2-2023-New Year Promo,United States,Hooli Inc,3962,Negotiation,61980
6622,partner  ,TBD,Q4-23-Spring Push,EMEA,HealthPlus Pharma,3375,LOST,943927
3627,,2024-03-23,FY-2024-New Year Promo,United States,Stratton Oakmont,827,in progress,596415
24076,referral,2025-04-13,Q2-2024-Trade Show,SA,Stratton Oakmont,1281,Closed-Won,368957
42085,Store,2024-09-27,H2-24-Brand Awareness,USA,Stratton Oakmont,2759,Lead,87260
33972,email,2024-03-26,Q4-23-Brand Awareness,USA,Stratton Oakmont,3738,Lost,1801450
37567,In-Store,2024-10-12,,SA,Acme Corp,1526,WON,2096526
-,retail,2025-07-22,Q1-2024-Trade Show,-,Stratton Oakmont,2199,proposal,796052
33336,Social Media,2025-07-18,H2-2023-Retention,EMEA,Stratton Oakmont,899,CLOSED LOST,323641
46625,Email,2025-07-27,Q1-23-Holiday Sale,Africa,Oscorp Technologies,3571,Closed Won,893883  
,online,2025-11-04,Q3-23-Retention,SA,Vandelay Ind,3865,In Progress,120827
24358,Referral,2024-09-20,H2-2024-Email Blast,South America,Stratton Oakmont,1401,closed won,682699  
13596  ,Field Sales,2025-02-16,Q2-24-Trade Show,Middle East,Stratton Oakmont,1005,WON,578695
34292,Store,2025-05-09,H2-2023-Summer Blitz,Britain,Stratton Oakmont,2371,Pending,missing
21107,Retail,2025-11-10,,United States,Stratton Oakmont,4302,LOST,966488
41850,online,2024-04-19,Q1-24-Social Push,SA,,-,qualified,905370
48828,email,2025-02-22,Q3-2023-Cross-sell,South America,Stratton Oakmont,1678,Lead,227815
47599,In-Store  ,2025-10-22,,Britain,Stratton Oakmont,1202,open,1373407
29820,in-store,2025-11-08,Q1-23-Black Friday,MEA,Massive Dynamic,2111,Closed-Lost  ,58569
1930,Brick & Mortar,2025-07-29,Q4-2024-Summer Blitz,ANZ,Stratton Oakmont,3902,Lead,1893870
46960,online,2024-12-30,Q3-2024-New Year Promo,Asia,Cogswell Cogs,698,WON,866212
37746,RETAIL,2024-03-21,H1-23-Upsell,Unknown,QuickShip Logistics,2081,Closed-Won,98888
-,ecommerce,2024-05-14  ,Q1-2024-Holiday Sale,Asia Pacific,Stratton Oakmont,4795,Lead,796713
,call center,2024-01-16,FY-2023-New Year Promo,Britain,Stratton Oakmont,-,open,506648  
28170,Partner,2025-03-03,H2-2023-Spring Push,N. America,Stratton Oakmont,4324,CLOSED LOST,484516
49071,,2025-09-04  ,Q1-23-Brand Awareness,Asia Pacific,Stratton Oakmont,2050,proposal,678826
46829,Online,2025-04-16,Q4-2023-Social Push,South America,Stratton Oakmont,700,Lost,678900
21046,online,2025-03-27,Q1-2023-Spring Push,Britain,Stratton Oakmont,2465,Pending,1860537
31530,Web,2025-05-29,H2-23-Trade Show,MEA,Stratton Oakmont,2461,Lost,1565037
37730,Website,2024-11-06,Q4-24-Trade Show,EMEA,Stratton Oakmont,2915,CW,11448
-,ecommerce,2024-08-18,Q4-24-Social Push,,Stratton Oakmont,4344,qualified,2185439
24324,online,2024-12-26,Q3-23-Fall Campaign,LATAM,Stratton Oakmont,4085,WON,1316226
20713,social media,2024-04-25,Q3-24-Summer Blitz,??,Oceanic Airlines,2615,PENDING,
36797,Affiliate,,FY-2023-Social Push,USA,Stratton Oakmont,3997,CLOSED LOST,28449
46949,Direct,2024-04-21,H1-2023-Social Push,Latin America,Stratton Oakmont,4635,Qualified,1052798
31540,,null,FY-2023-Product Launch,SA,Stratton Oakmont,1279,open,539762
33619,,2025-11-05,Q3-2023-Retention,Europe,Stratton Oakmont,N/A,Qualified,709362
4093,phone  ,2024-12-12,H2-2024-Retention,UK,,229,In Progress,373995
16438,Web,2024-12-18,Q1-2023-New Year Promo,EU,Stratton Oakmont,4057,Closed-Lost,575919
29752,web,2024-08-06,H1-24-Summer Blitz,Asia,Stratton Oakmont,2742,Pending,418307
25162,Retail,2024-07-31,H1-24-Email Blast,Africa,Stratton Oakmont,4896,in progress  ,2136301
16152,field,2025-10-03,Q1-24-Spring Push,LATAM,,2640,pending,810435
27466,Phone,2024-01-28,Q1-24-Black Friday,ASIAPAC,Stratton Oakmont,2252,qualified,861026
22071,Direct Sales,2025-10-02,H1-24-Brand Awareness,LATAM  ,Stratton Oakmont,3749,CLOSED WON,1236514
34467,Partner,2025-12-02,Q4-23-New Year Promo,United Kingdom,Stratton Oakmont,N/A,PENDING,7322
14146  ,ecommerce,2024-12-09,Q2-2023-Webinar Series,ANZ,Stratton Oakmont,2247,CLOSED LOST,31980
42057,Telesales,2025-10-06,,Asia Pacific,Genco Pura,2594,Won,59702
33686,reseller,2025-09-08,Q1-24-New Year Promo,North America,Stratton Oakmont,-,Closed Won  ,160812
15531,,2025-11-16,Q4-2023-Black Friday,Asia Pacific,Stratton Oakmont,null,Closed Lost,769083
26582,Social,2023-12-27,Q4-2023-Summer Blitz,USA,Cybertruck Co  ,4123,CLOSED WON,652465
34728  ,call center,2025-03-20,Q2-2023-Cross-sell,North America,Stratton Oakmont,79,lead,395497
1105,Email Campaign,2024-05-21,,N/A  ,Cogswell Cogs,691,In Progress,101143
48288,PARTNER,2025-09-27,Q4-2024-Product Launch,N/A,Stratton Oakmont,3029,WON,632733
22112,web,2025-11-21,H1-2023-Cross-sell  ,UK,Stratton Oakmont,2730,pending,84042
23109,,2025-09-25,Q1-2024-Email Blast,Europe,Bluth Company,626  ,CL,449565
