,,,,,,,,,
num_conversions,sales_region,unit_price,company_name,num_leads,product_name,campaign_name,qty,total_revenue,sale_date
84,APAC,"USD 4,323.93",Brawndo Corp,4552,Cloud Storage 1TB,Q3-2024-Spring Push,249,"USD 1,076,658.57",2023-09-03
252,South America,USD 889.84,BrightPath Media,4624,CRM Module,H2-24-Fall Campaign,389,"USD 346,147.76",2024-09-11
152,LATAM,"USD 4,563.58",BrightPath Media,4418,Cloud Storage 5TB,H1-24-Brand Awareness,391,"USD 1,784,359.78",2023-09-30
343,Asia Pacific,"USD 3,598.55",BrightPath Media,2571,Gadget X,Q3-24-Cross-sell,413,"USD 1,486,201.15",2023-01-05
441,EMEA,"USD 2,016.09",BrightPath Media,2281,Widget Pro,FY-2023-Spring Push,331,"USD 667,325.79",2023-02-28
332,LATAM,"USD 1,562.02",BrightPath Media,,Service Plan Enterprise,Q1-2023-Webinar Series,354,"USD 552,955.08",2024-07-09
313,ASIAPAC,"USD 1,305.15",BrightPath Media,N/A,Hardware Unit,FY-24-Cross-sell,61.00,"USD 79,614.15",2024-02-04
229,N. America,"USD 2,383.09",BrightPath Media,4764,Analytics Dashboard,Q4-24-Black Friday,389,"USD 927,022.01",2024-02-24
487,EU,"USD 4,398.80",BrightPath Media,426,Training Package,Q1-2023-Trade Show,168,"USD 738,998.40",2023-12-05
196,SA,"USD 1,222.44",Soylent Corp,3399,Cloud Storage 5TB,Q1-24-Webinar Series,248.00,"USD 303,165.12",2023-10-10
305,MEA,"USD 3,970.53",BrightPath Media,3516,Other,Q4-2024-Cross-sell,#REF!,"USD 27,803.39",2023-05-08
-,Britain,"USD 3,958.43",Oscorp Technologies,1169,Security Bundle,Q1-2024-Summer Blitz,141.0,"USD 558,138.63",2024-09-24
442,North America,"USD 1,265.73",BrightPath Media,1536,CRM Module,H2-23-Trade Show,,-,2024-07-20
43,US,"USD 4,056.65",BrightPath Media,1848,Support Tier 1,Q4-24-Email Blast,28,"USD 113,586.20",2024-08-16
345,Latin America,"USD 1,131.95",Acme Corp,1012,Security Bundle,Q3-23-Email Blast,73.00,"USD 82,632.35",2024-04-27
245,USA,"USD 3,424.99",Brawndo Corp,N/A,N/A,Q3-24-Retention,90,"USD 308,249.10",2023-12-16
258,US,"USD 2,988.97",BrightPath Media,4516,Service Plan Pro,Q2-23-Black Friday,167,"USD 499,157.99",2024-08-25
170,Latin America,"USD 2,235.50",Hooli Inc,1956,Service Plan Enterprise,Q4-2023-Black Friday,251,"USD 561,110.50",2024-08-19
124,Australia,"USD 2,962.53",BrightPath Media,4636,Training Package,H2-24-Summer Blitz,367.00,"USD 1,087,248.51",null
356,Australia,"USD 1,437.96",BrightPath Media,,N/A,H1-23-Summer Blitz,75.00,"USD 107,847.00",2024-10-30
461,Britain,"USD 4,904.73",BrightPath Media,3725,Service Plan Pro,H1-2023-Spring Push,438.00,"USD 2,148,271.74",2024-04-03
-,Europe,"USD 2,426.14",BrightPath Media,null,Gadget X,Q1-2024-Brand Awareness,225.00,"USD 545,881.50",2023-05-18
399,Unknown,USD 959.56,Spacely Sprockets,3602,Support Tier 1,Q2-23-Webinar Series,19,"USD 18,231.64",2024-07-13
89,Latin America,USD 43.61,BrightPath Media,2901,API Access,,149,"USD 6,497.89",2023-05-24
239,Latin America,"USD 1,926.91",BrightPath Media,4398,Premium Onboarding,Q1-24-Product Launch,217.0,"USD 418,139.47",2023-06-16
41,United States,USD 500.67,BrightPath Media,4864,Widget B,H2-24-Webinar Series,null,"USD 156,416.21",2024-09-30
113,MEA,"USD 2,809.23",Stratton Oakmont,955,Widget B,Q4-2023-Summer Blitz,318.0,"USD 893,335.14",2023-08-31
493,??,"USD 2,609.65",BrightPath Media,3633,Widget Pro,Q2-2023-Fall Campaign,466.00,"USD 1,216,096.90",2023-02-17
426,UK,"USD 3,892.67",BrightPath Media,1794,CRM Module,FY-2024-Cross-sell,,"USD 227,663.18",2023-10-12
65,Latin America,"USD 3,397.31",,4623,Widget Pro,Q2-23-Fall Campaign,,"USD 41,344.68",2024-05-15
390,EMEA,USD 602.18,BrightPath Media,4297,Gadget X,Q3-2024-Black Friday,370.0,"USD 222,806.60",2023-09-18
39,US,"USD 1,136.58",BrightPath Media,4313,Other,H1-2024-Upsell,393,"USD 446,675.94",2023-08-11
485,Asia,"USD 3,027.45",BrightPath Media,3260,Software License,Q1-2023-Webinar Series,487.0,"USD 1,474,368.15",2024-01-14
354,N. America,"USD 4,846.17",Omni Consumer Products,2594,Premium Onboarding,H1-2023-Upsell,39,"USD 189,000.63",2024-11-04
214,EMEA,"USD 3,891.73",BrightPath Media,3936,Analytics Dashboard,H2-2023-New Year Promo,237,"USD 922,340.01",2024-08-10
223,ASIAPAC,"USD 1,394.39",BrightPath Media,2630,Service Plan Basic,H2-23-New Year Promo,334,"USD 465,726.26",2023-07-02
276,South America,"USD 1,395.99",BrightPath Media,3334,Gadget X,Q3-23-Product Launch,37,"USD 51,651.63",2023-02-05
435,SA,"USD 4,597.34",Oceanic Airlines,4666,CRM Module,,,"USD 14,314.21",2023-03-03
208,ANZ,"USD 3,901.68",Oscorp Technologies,1450,Widget A,Q3-23-Trade Show,342.0,"USD 1,334,374.56",2023-08-07
472,N. America,"USD 1,874.63",BrightPath Media,-,Analytics Dashboard,,161.00,"USD 301,815.43",2023-04-11
317,ASIAPAC,USD 399.45,BrightPath Media,2080,Security Bundle,,93,"USD 37,148.85",2024-08-05
240,??,"USD 2,539.10",BrightPath Media,,API Access,Q1-24-Fall Campaign,,"USD 138,582.57",2024-01-08
382,South America,"USD 3,726.22",BrightPath Media,4174,Premium Onboarding,,136,"USD 506,765.92",2024-10-23
176,UK,"USD 1,081.77",BrightPath Media,2526,MISC,Q1-2023-Holiday Sale,227.00,"USD 245,561.79",2024-03-13
78,ANZ,"USD 4,458.42",BrightPath Media,4408,Hardware Unit,H2-24-Black Friday,492.0,"USD 2,193,542.64",2024-05-19
179,Europe,-,,2689,Widget Pro,Q3-24-Cross-sell,447,"USD 49,973.25",2024-12-22
-,North America,"USD 1,950.44",BrightPath Media,3432,API Access,H1-2024-Brand Awareness,N/A,"USD 236,520.90",2024-03-04
,Africa,"USD 2,141.30",BrightPath Media,4771,Support Tier 2,Q3-24-Social Push,227,"USD 486,075.10",2023-09-29
288,Asia,USD 635.47,Oscorp Technologies,938,Service Plan Basic,Q1-2023-Social Push,319.00,"USD 202,714.93",2023-07-27
148,North America,"USD 2,025.09",BrightPath Media,3769,Training Package,,295,"USD 597,401.55",2023-03-24
-,US,"USD 2,172.69",BrightPath Media,376,Widget B,Q3-23-Fall Campaign,117.0,"USD 254,204.73",2024-12-04
367,ASIAPAC,"USD 4,431.25",BrightPath Media,873,Service Plan Enterprise,H2-23-Spring Push,38.0,"USD 168,387.50",2024-09-20
383,SA,"USD 3,326.32",BrightPath Media,2489,Support Tier 2,H1-24-Brand Awareness,66,"USD 219,537.12",2024-12-17
306,??,"USD 2,702.21",BrightPath Media,N/A,Marketing Suite,Q1-24-Upsell,483,"USD 1,305,167.43",2023-11-11
101,Latin America,"USD 2,951.00",BrightPath Media,1165,Service Plan Basic,H1-24-Brand Awareness,404,"USD 1,192,204.00",2023-08-31
175,N. America,USD 521.99,BrightPath Media,3586,Cloud Storage 5TB,Q2-24-Black Friday,491.00,"USD 256,297.09",2024-05-05
,APAC,"USD 3,238.29",QuickShip Logistics,4937,Consulting Hours,,27.0,"USD 87,433.83",2023-12-16
