Account Executive;Geographic Region;Company Name;Deal Status;Total Amount;Product / Service;Marketing Leads;Units Sold;Campaign ID;Marketing Spend;Price Per Unit;Transaction Date;Closed Deals
JANE DOE;Europe;Vandelay Ind;Proposal;181,189.08 USD;Service Plan Basic;4391;216.0;FY-23-Summer Blitz;29,925.48 USD;null;pending;198
Jane Doe;;Vandelay Ind;LOST;1,342,636.44 USD;Widget B;1327;438;Q3-24-Brand Awareness;null;3,065.38 USD;TBD;28
Karen White;United States;Vandelay Ind;pending;571,770.99 USD;CRM Module;158;171.00;H1-24-Black Friday;-;3,343.69 USD;08-Jun-2025;235
JANE DOE;Africa;Vandelay Ind;closed lost;962,823.94 USD;Widget Pro;4610;194;H1-23-Holiday Sale;46,571.16 USD;4,963.01 USD;29-Jun-2025;279
leo harris;United Kingdom;Pinnacle Analytics;in progress;87,027.20 USD;Gadget X;4245;320;Q1-24-Product Launch;;271.96 USD;12-Jul-2024;269
Iris Anderson;NA;Vandelay Ind;Won;618,950.52 USD;Service Plan Pro;3759;157.00;H1-2024-Holiday Sale;40,382.24 USD;3,942.36 USD;28-Jul-2025;217
John Smith;MEA;Vandelay Ind;Open;228,589.67 USD;CRM Module;2083;47;Q3-24-Black Friday;49,073.89 USD;4,863.61 USD;06-Jun-2024;369
Jake Thomas;Asia;Vandelay Ind;open;1,192,055.80 USD;Consulting Hours;null;260;Q1-2023-Brand Awareness;672.55 USD;4,584.83 USD;07-Aug-2024;290
Mia Clark;NA;Vandelay Ind;CW;1,320,710.67 USD;Software Subscription;2549;353.0;Q2-24-Black Friday;49,423.10 USD;3,741.39 USD;31-May-2024;9
Henry Taylor;UK;Globex Industries;LOST;225,425.63 USD;Gadget Mini;1548;47.00;;41,427.87 USD;4,796.29 USD;08-Jan-2025;-
jake thomas;Africa;Vandelay Ind;closed won;458,534.85 USD;Widget B;N/A;487.00;;null;941.55 USD;16-Feb-2025;201
E. Martinez;LATAM;Vandelay Ind;in progress;215,647.38 USD;Cloud Storage 1TB;2861;459;Q3-2023-Email Blast;null;469.82 USD;04-Jul-2024;2
frank wilson;South America;Vandelay Ind;lead;476,385.80 USD;Gadget Mini;1850;158;H2-23-New Year Promo;21,223.51 USD;3,015.10 USD;19-May-2025;347
John Smith;Middle East;Vandelay Ind;lead;134,424.32 USD;Data Pipeline;1528;128.0;H1-2023-Product Launch;23,549.82 USD;1,050.19 USD;11-Feb-2025;38
Henry Taylor;United States;Vandelay Ind;WON;551,758.50 USD;Service Plan Enterprise;4511;150.00;H2-2023-Retention;12,049.92 USD;3,678.39 USD;12-Oct-2024;224
K. White;Latin America;Vandelay Ind;Open;111,483.57 USD;Widget B;872;293.0;Q1-2023-Cross-sell;43,072.97 USD;380.49 USD;12-Apr-2024;402
Eva Martinez;US;SummitView Hotels;Closed Lost;383,806.42 USD;Hardware Unit;462;262.00;Q3-24-Brand Awareness;19,536.30 USD;1,464.91 USD;11-Aug-2024;5
Frank Wilson;Europe;Wayne Corp;Closed-Won;66,308.00 USD;Consulting Hours;713;44;Q3-23-Summer Blitz;47,224.48 USD;1,507.00 USD;07-May-2024;449
leo harris;EMEA;Vandelay Ind;pending;281,189.22 USD;Marketing Suite;3317;78.0;Q2-23-Brand Awareness;28,261.94 USD;3,604.99 USD;03-Jun-2024;377
A. Johnson;SA;Weyland Corp;open;945,117.36 USD;Support Tier 1;3439;198.00;Q4-23-Brand Awareness;10,446.70 USD;4,773.32 USD;01-Jun-2024;298
J. Smith;UK;HealthPlus Pharma;Won;1,861,404.48 USD;Hardware Unit;2123;416.0;Q3-2024-New Year Promo;35,545.48 USD;4,474.53 USD;16-Jan-2025;228
leo harris;SA;Vandelay Ind;proposal;51,752.64 USD;Cloud Storage 5TB;3267;12;Q3-24-Product Launch;27,505.70 USD;4,312.72 USD;10-Dec-2024;79
frank wilson;EMEA;Vandelay Ind;Closed-Lost;1,178,256.79 USD;Service Plan Basic;3170;307;FY-23-Brand Awareness;13,864.02 USD;3,837.97 USD;21-Dec-2023;159
Karen White;MEA;Vandelay Ind;in progress;#N/A;Analytics Dashboard;521;#REF!;Q2-24-Upsell;6,358.34 USD;995.73 USD;01-May-2025;264
Mia Clark;MEA;Vandelay Ind;qualified;1,138,523.45 USD;Service Plan Pro;2696;251.0;Q1-24-Cross-sell;;4,535.95 USD;28-Aug-2024;287
Iris Anderson;UK;Vandelay Ind;CL;595,381.86 USD;Service Plan Pro;4197;318;H2-23-Retention;3,173.78 USD;1,872.27 USD;30-Nov-2023;225
David Brown;South America;Vandelay Ind;pending;1,227,626.40 USD;Widget A;1549;364;H1-24-Fall Campaign;35,539.30 USD;3,372.60 USD;28-Sep-2023;302
Jane Doe;North America;;proposal;226,630.75 USD;MISC;3904;67.00;FY-2023-Email Blast;29,106.04 USD;missing;09-Feb-2024;
grace lee;North America;Vandelay Ind;Closed-Lost;1,675,147.68 USD;Service Plan Enterprise;4801;376;Q1-23-Spring Push;17,311.76 USD;4,455.18 USD;17-Jan-2024;N/A
Eva Martinez;Australia;Vandelay Ind;closed won;2,183,358.64 USD;Data Pipeline;36;479;Q1-24-Social Push;42,230.09 USD;4,558.16 USD;04-Feb-2024;214
Karen White;EMEA;Stratton Oakmont;closed won;136,552.28 USD;ERP Add-on;601;265;Q4-24-Summer Blitz;0;NULL;01-Jan-2025;323
leo harris;Latin America;;Lost;1,075,151.43 USD;Marketing Suite;626;397;H1-2024-Email Blast;;2,708.19 USD;11-Jun-2024;314
K. White;N/A;BrightPath Media;LOST;1,150,847.10 USD;Gadget Mini;null;390;FY-2023-Holiday Sale;0;2,950.89 USD;N/A;427
D. Brown;Middle East;Vandelay Ind;LOST;170,905.18 USD;Security Bundle;4732;46;Q4-24-Webinar Series;5,110.12 USD;3,715.33 USD;25-Jun-2025;242
J. Thomas;ANZ;Vandelay Ind;negotiation;110,779.70 USD;Widget A;774;269.00;Q1-2024-Social Push;15,397.56 USD;null;21-Nov-2023;0
G. Lee;Australia;MomCorp;Closed-Won;1,140,423.72 USD;Service Plan Pro;3440;276.00;Q3-2023-Fall Campaign;35,406.19 USD;4,131.97 USD;24-Feb-2025;350
M. Clark;Asia Pacific;;Closed-Lost;1,493,758.56 USD;Service Plan Basic;3740;496.00;FY-24-Social Push;49,341.40 USD;3,011.61 USD;25-Oct-2024;77
Unassigned;Unknown;Vandelay Ind;CW;66,514.80 USD;Data Pipeline;2410;132;Q2-2023-Email Blast;8,909.67 USD;503.90 USD;29-Dec-2023;72
Grace Lee;Europe;DataWave Inc;Proposal;65,333.52 USD;Consulting Hours;4991;36;FY-2024-Product Launch;33,871.97 USD;1,814.82 USD;16-Aug-2025;484
John Smith;South America;Vandelay Ind;closed won;1,550,533.90 USD;Gadget X;4745;410;H2-2023-Black Friday;35,897.65 USD;3,781.79 USD;02-Nov-2024;366
iris anderson;APAC;Vandelay Ind;CW;97,079.18 USD;API Access;321;187.00;Q4-2023-Upsell;1,761.78 USD;519.14 USD;13-Jul-2025;414
J. Doe;ANZ;Vandelay Ind;proposal;60,707.27 USD;ERP Add-on;1020;127;H1-2024-Fall Campaign;9,727.51 USD;478.01 USD;null;375
JANE DOE;Australia;Rekall Inc;Lead;902,257.80 USD;Cloud Storage 1TB;-;345.00;Q4-2023-Social Push;39,534.05 USD;2,615.24 USD;;107
bob williams;Africa;Vandelay Ind;Closed-Lost;146,109.60 USD;Consulting Hours;null;78.0;Q4-23-Black Friday;25,151.48 USD;1,873.20 USD;11-Apr-2025;282
Bob Williams;North America;Vandelay Ind;Qualified;26,580.05 USD;Cloud Storage 1TB;3917;19.0;Q2-2023-New Year Promo;11,648.52 USD;1,398.95 USD;18-Jul-2024;
Grace Lee;Britain;Vandelay Ind;Closed-Lost;1,455,911.25 USD;Gadget X;3034;375;Q4-2024-Black Friday;12,022.66 USD;3,882.43 USD;22-May-2024;352
J. Smith;North America;Vandelay Ind;closed lost;387,274.56 USD;Software License;1219;296.0;Q2-23-Social Push;30,392.61 USD;1,308.36 USD;12-Jan-2025;N/A
Carol Davis;ANZ;GreenLeaf Energy;Lost;476,178.51 USD;Widget Pro;1481;123.00;FY-23-Black Friday;644.53 USD;3,871.37 USD;06-Sep-2025;446
karen white;ANZ;Prestige Worldwide;CL;74,312.15 USD;Support Tier 1;1225;121.0;H2-24-Social Push;11,855.36 USD;614.15 USD;11-Jun-2025;432
L. Harris;Europe;Vandelay Ind;CLOSED WON;659,790.24 USD;Consulting Hours;3406;498;Q2-24-New Year Promo;;1,324.88 USD;21-Jan-2025;16
grace lee;Europe;Vandelay Ind;Open;163,582.04 USD;Widget Pro;3333;#REF!;Q3-2023-Fall Campaign;N/A;1,227.48 USD;17-Oct-2024;226
Carol Davis;USA;Vandelay Ind;Proposal;415,493.50 USD;Widget B;N/A;106.0;Q4-23-Holiday Sale;6,084.79 USD;3,919.75 USD;04-Jun-2024;151
henry taylor;SA;Vandelay Ind;Closed Won;129,448.75 USD;Security Bundle;2557;125.0;;39,184.26 USD;1,035.59 USD;15-Nov-2023;N/A
A. Johnson;MEA;Vandelay Ind;Closed-Won;1,429,154.16 USD;Data Pipeline;676;399;Q2-2023-Upsell;27,831.14 USD;3,581.84 USD;26-Jan-2025;499
N/A;N/A;Vandelay Ind;CLOSED LOST;750,724.80 USD;Marketing Suite;3761;168.00;FY-23-New Year Promo;40,008.53 USD;4,468.60 USD;05-Jul-2025;16
;Middle East;Vandelay Ind;Proposal;529,596.12 USD;Gadget Mini;4868;436.00;H1-2023-Email Blast;-;1,214.67 USD;17-Oct-2023;465
jake thomas;APAC;Vandelay Ind;PENDING;146,830.32 USD;Marketing Suite;2295;216;FY-23-Fall Campaign;42,964.69 USD;679.77 USD;22-Jun-2025;416
henry taylor;Australia;Vandelay Ind;pending;335,905.88 USD;Data Pipeline;4400;317.0;H1-24-Fall Campaign;43,585.98 USD;1,059.64 USD;16-Mar-2025;289
bob williams;UK;Dharma Initiative;PENDING;16,002.09 USD;Premium Onboarding;-;#REF!;FY-23-Cross-sell;15,860.13 USD;657.77 USD;04-Jun-2024;352
Alice Johnson;EMEA;Vandelay Ind;qualified;1,633,020.17 USD;Service Plan Pro;336;347.0;Q3-2024-Email Blast;null;4,706.11 USD;29-Sep-2024;253
frank wilson;US;Vandelay Ind;pending;39,325.84 USD;MISC;1401;8.0;H1-2023-Retention;;4,915.73 USD;19-Feb-2025;31
John Smith;LATAM;Stratton Oakmont;WON;903,050.72 USD;Other;4664;319.00;Q4-23-Black Friday;3,671.43 USD;2,830.88 USD;28-Jun-2024;398
TBD;N/A;Vandelay Ind;PENDING;1,785,811.20 USD;Data Pipeline;3954;384;Q4-23-Fall Campaign;12,722.09 USD;4,650.55 USD;06-Jan-2024;498
TBD;;QuickShip Logistics;Negotiation;508,127.52 USD;Security Bundle;1331;137;Q4-2023-Trade Show;5,418.66 USD;3,708.96 USD;18-Aug-2024;447
J. Smith;N/A;QuickShip Logistics;lead;616,794.43 USD;CRM Module;4368;139.00;Q1-2023-Spring Push;45,899.53 USD;4,437.37 USD;28-Feb-2025;120
D. Brown;NA;TrueNorth Financial;In Progress;593,070.98 USD;Security Bundle;N/A;401;Q3-2023-Social Push;0;1,478.98 USD;14-Dec-2024;25
Carol Davis;North America;QuickShip Logistics;proposal;158,500.95 USD;CRM Module;3300;435;H2-23-Retention;8,938.88 USD;364.37 USD;21-Dec-2023;419
N/A;South America;Vandelay Ind;Lost;101,477.53 USD;Widget B;3204;77;;16,788.81 USD;1,317.89 USD;21-Jun-2024;474
F. Wilson;UK;Vandelay Ind;lead;341,673.75 USD;Widget A;963;75.0;Q1-24-Trade Show;1,473.28 USD;4,555.65 USD;31-Jul-2024;106
alice johnson;NA;Vandelay Ind;closed won;797,364.48 USD;Security Bundle;817;439;Q4-2024-Holiday Sale;46,048.20 USD;1,816.32 USD;19-Jun-2025;434
leo harris;United Kingdom;BrightPath Media;CL;578,056.38 USD;Marketing Suite;2652;418.00;FY-2024-Spring Push;38,102.60 USD;1,382.91 USD;13-Jan-2024;245
eva martinez;South America;Vandelay Ind;qualified;774,472.30 USD;Service Plan Pro;614;190.00;H2-2023-Social Push;3,433.08 USD;4,076.17 USD;13-May-2025;216
Bob Williams;North America;MomCorp;negotiation;486,018.70 USD;Widget B;2404;197.00;Q1-23-Retention;23,591.76 USD;2,467.10 USD;04-May-2025;436
bob williams;Africa;Vandelay Ind;PENDING;888,386.01 USD;Gadget X;3496;181;Q4-2024-Retention;46,330.37 USD;4,908.21 USD;06-Aug-2025;224
K. White;Africa;Vandelay Ind;CLOSED WON;469,809.78 USD;Cloud Storage 1TB;2215;309;Q4-2023-Webinar Series;2,816.23 USD;1,520.42 USD;03-Mar-2024;432
Frank Wilson;MEA;;Won;189,782.83 USD;Service Plan Basic;648;77.0;Q4-24-Fall Campaign;;missing;12-Nov-2023;214
bob williams;NA;Initech Solutions;Won;942,205.44 USD;Gadget X;2425;264.0;Q3-2024-Brand Awareness;36,248.08 USD;3,568.96 USD;28-Jun-2025;311
jake thomas;SA;Vandelay Ind;Proposal;832,683.12 USD;Gadget X;2523;408.00;H1-2023-Webinar Series;30,694.66 USD;2,040.89 USD;19-Oct-2024;383
eva martinez;MEA;Weyland Corp;Qualified;1,069,715.79 USD;Premium Onboarding;843;429;Q3-23-Product Launch;15,873.59 USD;2,493.51 USD;04-Aug-2025;46
G. Lee;Australia;TrueNorth Financial;CLOSED LOST;848,509.63 USD;CRM Module;-;353.00;Q4-2023-Summer Blitz;19,626.58 USD;2,403.71 USD;02-Mar-2025;301
bob williams;Britain;Vandelay Ind;closed won;137,223.52 USD;Marketing Suite;4413;184.0;H1-2024-Cross-sell;32,312.13 USD;745.78 USD;08-Jul-2024;440
JOHN SMITH;APAC;Vandelay Ind;CLOSED WON;N/A;ERP Add-on;99;0;FY-2023-Retention;null;1,931.72 USD;10-Feb-2025;90
C. Davis;Asia Pacific;Vandelay Ind;In Progress;2,318,050.80 USD;Software License;838;468;H1-2023-Black Friday;13,603.71 USD;4,953.10 USD;24-Aug-2024;238
Jake Thomas;South America;Vandelay Ind;In Progress;NA;Gadget Mini;3906;172.00;Q3-2024-Holiday Sale;26,581.78 USD;;17-Jul-2025;N/A
M. Clark;NA;Vandelay Ind;CLOSED WON;1,539,301.89 USD;Support Tier 1;3490;357;H2-24-Webinar Series;34,032.28 USD;4,311.77 USD;22-Jan-2024;448
J. Thomas;UK;Vandelay Ind;Won;273,115.14 USD;Premium Onboarding;2535;194.00;H2-2023-Black Friday;1,837.89 USD;1,407.81 USD;TBD;305
bob williams;Europe;Vandelay Ind;qualified;1,582,008.93 USD;CRM Module;3656;471;Q2-2023-Summer Blitz;42,583.65 USD;3,358.83 USD;14-Dec-2023;85
Mia Clark;LATAM;Vandelay Ind;WON;212,554.80 USD;Service Plan Pro;15;135;;40,453.76 USD;1,574.48 USD;25-May-2024;-
L. Harris;MEA;Cyberdyne Systems;Proposal;1,573,573.59 USD;Cloud Storage 1TB;3354;339;H2-2023-Retention;46,893.48 USD;4,641.81 USD;21-Feb-2025;327
jake thomas;Africa;Brawndo Corp;Qualified;157,766.80 USD;Analytics Dashboard;3275;136.0;Q2-2024-Spring Push;6,476.37 USD;1,160.05 USD;17-Jan-2025;67
JOHN SMITH;LATAM;Vandelay Ind;closed won;7,109.06 USD;Cloud Storage 1TB;4878;238;Q3-24-Holiday Sale;30,484.94 USD;29.87 USD;N/A;479
;SA;GreenLeaf Energy;pending;1,063,819.68 USD;Cloud Storage 1TB;1624;231.0;Q2-2024-Social Push;21,252.72 USD;4,605.28 USD;03-Nov-2024;75
F. Wilson;NA;Pinnacle Analytics;open;133,717.44 USD;Analytics Dashboard;1441;57;Q4-2023-Summer Blitz;6,989.08 USD;2,345.92 USD;04-Nov-2023;30
Karen White;LATAM;Tyrell Corporation;Closed Won;779,266.54 USD;Analytics Dashboard;4168;362.0;Q1-2024-Spring Push;11,937.03 USD;2,152.67 USD;22-Dec-2023;480
K. White;Asia Pacific;Vandelay Ind;closed lost;745,312.02 USD;Security Bundle;2281;402;;760.68 USD;1,854.01 USD;17-Feb-2024;208
Alice Johnson;Latin America;Vandelay Ind;WON;264,617.70 USD;API Access;-;215.0;Q1-2023-Trade Show;39,779.62 USD;1,230.78 USD;13-Jan-2024;87
G. Lee;Unknown;Vandelay Ind;Lost;271,135.30 USD;Data Pipeline;1775;149;Q4-2024-Cross-sell;N/A;1,819.70 USD;21-Jan-2024;-
jane doe;ANZ;Vandelay Ind;Open;113,701.56 USD;-;1310;196;FY-2024-New Year Promo;14,177.96 USD;580.11 USD;18-Feb-2024;283
karen white;USA;Vandelay Ind;LOST;48,770.20 USD;Security Bundle;836;10.00;H2-23-Spring Push;5,494.00 USD;4,877.02 USD;28-Jul-2025;0
I. Anderson;Britain;Vandelay Ind;Closed Won;153,885.21 USD;Widget Pro;1882;248.0;H1-2023-Fall Campaign;40,697.70 USD;#N/A;12-Sep-2024;247
M. Clark;UK;Vandelay Ind;Proposal;89,734.95 USD;CRM Module;1544;45;FY-24-Trade Show;23,567.47 USD;1,994.11 USD;29-Dec-2024;
Karen White;APAC;Vandelay Ind;PENDING;607,103.25 USD;Widget Pro;2278;213.0;Q1-2023-Holiday Sale;30,737.05 USD;2,850.25 USD;TBD;476
Alice Johnson;-;Vandelay Ind;WON;57,852.70 USD;Security Bundle;;17;H2-2024-Retention;18,618.88 USD;3,403.10 USD;18-Dec-2024;81
A. Johnson;N. America;Vandelay Ind;Won;1,472,501.52 USD;Consulting Hours;772;399;Q1-2023-Trade Show;8,580.89 USD;3,690.48 USD;07-Mar-2025;7
Unassigned;LATAM;Vandelay Ind;closed won;67,237.61 USD;Software License;1533;127.00;H2-23-Email Blast;47,090.42 USD;529.43 USD;23-Jan-2025;312
J. Doe;Britain;Wayne Corp;Proposal;319,674.12 USD;ERP Add-on;N/A;204.0;Q1-23-Email Blast;1,846.97 USD;1,567.03 USD;17-Aug-2025;295
leo harris;LATAM;FreshCart;qualified;2,348.72 USD;Data Pipeline;119;44;H1-2023-Upsell;23,329.16 USD;53.38 USD;N/A;382
Unassigned;ASIAPAC;Vandelay Ind;Closed Won;205,999.20 USD;API Access;4975;374;Q1-2024-Webinar Series;35,562.88 USD;550.80 USD;31-Mar-2025;118
JANE DOE;NA;Vandelay Ind;Lost;397,312.26 USD;Consulting Hours;1417;129;Q1-24-Social Push;;3,079.94 USD;14-Oct-2023;432
Eva Martinez;APAC;Vandelay Ind;Lost;362,023.50 USD;Widget Pro;3207;102.00;;37,314.88 USD;3,549.25 USD;14-Feb-2024;205
jake thomas;ANZ;Vandelay Ind;Open;821,405.15 USD;Software Subscription;2399;323;H1-2024-Retention;N/A;2,543.05 USD;15-Aug-2025;1
Jake Thomas;USA;Oscorp Technologies;qualified;13,236.30 USD;Widget Pro;2243;42.0;H2-2024-Black Friday;47,341.43 USD;315.15 USD;22-Oct-2023;56
John Smith;LATAM;MomCorp;Closed Lost;105,898.08 USD;Service Plan Enterprise;3501;24;FY-2024-Email Blast;21,183.37 USD;4,412.42 USD;21-Sep-2025;237
alice johnson;NA;Vandelay Ind;Closed-Lost;1,169,314.02 USD;Hardware Unit;;483;Q1-23-Social Push;12,285.83 USD;2,420.94 USD;29-May-2024;385
Carol Davis;ANZ;Vandelay Ind;Qualified;204,795.10 USD;Analytics Dashboard;1283;290.00;H1-23-Fall Campaign;47,934.73 USD;706.19 USD;22-Aug-2025;198
Iris Anderson;MEA;Vandelay Ind;Pending;99,824.37 USD;Cloud Storage 1TB;2385;199;Q2-2023-Cross-sell;16,271.50 USD;501.63 USD;06-Nov-2024;499
Carol Davis;ASIAPAC;Vandelay Ind;PENDING;34,706.65 USD;Marketing Suite;2321;55;H2-2024-Brand Awareness;24,613.95 USD;631.03 USD;05-May-2024;400
David Brown;N. America;Soylent Corp;Won;448,793.58 USD;Premium Onboarding;1562;394;H2-2023-Social Push;10,420.55 USD;1,139.07 USD;27-Mar-2024;204
Frank Wilson;MEA;Nakatomi Trading;closed lost;306,101.18 USD;Gadget X;4958;113;Q3-2024-Black Friday;36,630.17 USD;2,708.86 USD;14-Jan-2024;278
jake thomas;North America;Hooli Inc;Open;507,181.29 USD;Premium Onboarding;871;203;Q4-24-Black Friday;13,433.00 USD;2,498.43 USD;null;487
;Australia;Buy N Large;Open;649,226.65 USD;Data Pipeline;N/A;335;;38,093.64 USD;1,937.99 USD;15-Jan-2024;195
A. Johnson;EMEA;Vandelay Ind;CL;748,666.03 USD;Service Plan Basic;-;203;H1-23-Spring Push;32,114.18 USD;3,688.01 USD;14-Feb-2024;282
karen white;EU;Vandelay Ind;CLOSED LOST;223,782.80 USD;API Access;4001;155.0;Q4-24-New Year Promo;15,633.41 USD;1,443.76 USD;07-Aug-2025;-
G. Lee;APAC;Vandelay Ind;Lost;640,183.96 USD;Analytics Dashboard;2734;278;FY-2023-Spring Push;N/A;2,302.82 USD;28-Jun-2024;446
N/A;SA;Vandelay Ind;CLOSED LOST;1,670,830.74 USD;Widget Pro;3176;342.00;H1-24-Email Blast;17,427.81 USD;4,885.47 USD;30-Jul-2024;162
