CONVERSIONS,CHANNEL,SALES_REP,CAMPAIGN,REGION,DATE,LEADS,REVENUE,AD_SPEND
275,e-comm,Mia Clark,Q2-24-Product Launch,Asia,24-Nov-2023,4330,"$522,344.90","$26,914.81"
400,Online,Iris Anderson,H1-2023-Black Friday,ASIAPAC,30-Jan-2025,4773,"$130,921.14","$35,607.34"
358,web,jane doe,Q2-23-Social Push,North America,03-Jan-2025,4993,"$1,847,586.18","$34,027.06"
23,Phone,D. Brown,FY-23-Webinar Series,Latin America,15-Sep-2024,1034,"$177,951.05","$32,371.83"
179,social media,K. White,Q1-23-Email Blast,N. America,09-Dec-2024,2695,"$127,459.08","$25,293.93"
223,Retail,Iris Anderson,Q2-2023-Summer Blitz,EMEA,04-Apr-2024,4265,"$1,592,303.45","$9,685.44"
22,In-Store,Unassigned,H1-23-Retention,US,21-Apr-2024,497,"$267,960.80","$47,663.06"
78,Retail,john smith,Q3-24-Black Friday,MEA,13-Jan-2024,4058,"$86,772.81",N/A
399,retail,Frank Wilson,H1-23-Cross-sell,US,TBD,4455,"$71,983.84",0
100,ONLINE,K. White,Q2-2024-Spring Push,APAC,06-Jun-2025,3507,"$206,126.54","$30,843.05"
5,reseller,A. Johnson,Q2-24-Black Friday,Asia,22-Feb-2024,60,"$135,840.46",null
189,partner,karen white,Q2-2023-Spring Push,UK,21-Jan-2024,1658,"$117,350.64","$42,660.51"
429,retail,Henry Taylor,Q3-2023-Retention,Asia,06-Jul-2024,450,"$181,377.77","$12,389.59"
321,retail,Eva Martinez,H1-2023-Webinar Series,Asia,15-Jan-2024,1511,"$455,255.13","$26,609.15"
315,affiliate,Henry Taylor,Q4-23-Black Friday,LATAM,22-Feb-2025,624,"$90,663.45","$17,191.80"
471,Website,leo harris,FY-23-Brand Awareness,APAC,N/A,4368,"$214,125.60","$6,668.49"
90,In-Store,Frank Wilson,H2-2024-Upsell,Britain,07-Jan-2024,1034,"$49,323.04",0
465,Partner,A. Johnson,Q3-23-Webinar Series,United States,23-Aug-2024,4846,"$91,857.70","$3,748.45"
42,in-store,David Brown,Q4-2024-Product Launch,Asia Pacific,15-Feb-2025,,"$521,344.10","$15,039.91"
55,direct,alice johnson,Q4-2024-Upsell,Asia,20-Dec-2023,165,"$113,392.70","$5,239.48"
48,Brick & Mortar,eva martinez,H1-24-Email Blast,SA,17-Nov-2023,3716,"$64,156.50","$32,624.50"
82,Online,Jane Doe,,NA,24-Aug-2023,3976,"$52,922.56","$48,668.92"
393,referral,karen white,Q1-23-Cross-sell,,13-Feb-2024,2197,"$298,816.80","$20,574.51"
276,In-Store,L. Harris,H1-2024-Email Blast,Asia Pacific,14-Nov-2024,N/A,null,"$13,732.69"
164,In-Store,Bob Williams,H2-24-Spring Push,MEA,03-Aug-2025,4264,"$568,944.67","$14,468.43"
39,retail,carol davis,H2-23-Black Friday,US,29-Jan-2025,-,"$1,391,170.86","$45,404.82"
N/A,call center,K. White,FY-23-Summer Blitz,N. America,24-Dec-2024,3618,"$1,755,318.24","$41,735.56"
387,Reseller,J. Doe,Q4-23-Holiday Sale,USA,21-Sep-2023,3138,"$223,907.23","$18,490.51"
390,Online,M. Clark,Q4-2023-Upsell,SA,31-Jul-2025,2748,"$1,084,874.84","$41,331.59"
354,Channel Partner,H. Taylor,Q3-2023-Retention,Europe,13-Jul-2024,176,"$11,048.57","$32,538.49"
156,Social Media,jake thomas,Q3-24-Cross-sell,N. America,12-Dec-2024,2971,"$137,332.21","$32,191.79"
,Website,F. Wilson,H1-24-Black Friday,US,28-Dec-2023,1064,"$126,030.85","$39,885.47"
2,Retail,J. Smith,Q4-2024-Upsell,APAC,17-Oct-2024,3176,"$529,290.90","$49,271.63"
55,ecommerce,Bob Williams,Q1-2024-Cross-sell,United States,12-Aug-2023,505,"$2,208,020.00",N/A
23,Store,Jake Thomas,H1-23-New Year Promo,EMEA,09-Aug-2025,4170,"$41,255.27","$38,770.65"
419,partner,frank wilson,Q4-23-New Year Promo,N/A,08-Dec-2024,4167,"$443,520.90","$22,436.02"
171,PARTNER,Henry Taylor,Q4-2023-Holiday Sale,US,10-Jul-2025,1363,"$525,136.92","$28,129.90"
-,Field Sales,JOHN SMITH,,Latin America,18-Oct-2024,2002,"$136,656.54","$24,060.06"
189,Website,Bob Williams,,ASIAPAC,05-Jul-2024,564,"$84,039.04","$26,786.69"
N/A,web,A. Johnson,FY-24-Trade Show,North America,01-Sep-2024,null,"$1,092,955.07","$39,911.47"
N/A,ONLINE,frank wilson,H1-2023-Holiday Sale,NA,12-Mar-2024,3580,"$1,403,388.50","$30,843.72"
361,field,Iris Anderson,Q3-23-Fall Campaign,Britain,11-Mar-2024,718,"$114,825.12",-
413,direct,F. Wilson,,MEA,08-Sep-2024,,"$51,890.35","$16,461.14"
424,Email Campaign,M. Clark,Q1-24-Social Push,NA,05-May-2024,2466,"$650,862.08","$23,105.80"
241,affiliate,Henry Taylor,FY-23-Social Push,Asia,28-Sep-2024,,"$169,928.92","$29,805.21"
34,referral,Iris Anderson,,MEA,28-Sep-2023,517,"$1,064,040.28","$42,626.04"
333,Call Center,TBD,FY-2024-Upsell,LATAM,30-Dec-2024,881,"$512,920.32",$432.15
-,Direct Sales,N/A,Q1-2023-Summer Blitz,LATAM,21-Dec-2024,1246,"$1,109,791.43","$45,151.99"
305,E-Commerce,Mia Clark,H2-2024-Retention,Europe,04-Oct-2024,2492,"$76,289.43","$16,010.51"
222,Web,TBD,Q1-24-Cross-sell,Latin America,24-Nov-2023,3329,"$148,955.16","$17,462.03"
384,Phone,John Smith,Q3-2024-Social Push,Europe,30-Jan-2025,651,"$450,765.00","$34,468.56"
435,email,JOHN SMITH,Q4-2023-Brand Awareness,Asia Pacific,10-Mar-2024,2567,"$245,533.64",$149.88
82,referral,bob williams,H2-23-Black Friday,Europe,26-Feb-2024,1082,"$552,084.00","$40,640.95"
441,In-Store,B. Williams,Q2-2024-Product Launch,NA,01-Jun-2025,2451,"$1,019,252.61","$28,145.50"
200,Web,J. Doe,FY-24-Holiday Sale,N. America,pending,2434,"$1,713,945.06","$39,543.36"
50,ONLINE,H. Taylor,H1-23-Trade Show,EU,11-Nov-2024,-,"$953,966.98","$19,270.18"
165,Social Media,david brown,Q1-23-Upsell,N. America,18-Jun-2025,869,"$1,336,010.77","$32,807.76"
170,DIRECT,grace lee,Q3-23-Upsell,US,28-Feb-2024,4915,"$166,795.20","$22,165.66"
466,E-Commerce,john smith,Q1-24-Summer Blitz,Africa,19-Aug-2023,990,"$914,371.44","$15,971.29"
160,Phone,john smith,Q1-23-Fall Campaign,Asia Pacific,25-Jan-2024,538,"$187,101.60","$39,305.12"
482,,D. Brown,H2-24-Email Blast,Africa,18-Aug-2024,1147,"$194,087.12",$972.95
454,Direct Sales,jane doe,Q3-2023-Upsell,LATAM,03-Nov-2023,3432,"$407,769.18","$39,500.28"
390,Phone,bob williams,H1-2024-Brand Awareness,Europe,13-Aug-2024,2155,"$552,333.60","$16,898.96"
119,Email,Alice Johnson,,Middle East,11-Oct-2023,2106,null,"$41,366.75"
412,call center,H. Taylor,Q3-23-Holiday Sale,APAC,10-Jul-2025,287,"$578,550.00","$46,786.20"
198,ONLINE,M. Clark,Q4-2023-Webinar Series,ASIAPAC,28-Mar-2025,4908,"$258,214.08","$40,676.73"
71,in-store,David Brown,,N. America,09-Nov-2023,2823,"$798,720.54","$49,339.38"
23,E-Commerce,eva martinez,H1-24-Holiday Sale,ANZ,05-Jun-2025,3968,"$1,375,091.80","$25,449.37"
N/A,Retail,J. Thomas,Q1-23-Holiday Sale,LATAM,28-Jul-2025,2779,"$2,223,052.80","$36,011.88"
269,E-Commerce,Mia Clark,Q3-24-Social Push,USA,25-Aug-2024,1152,"$566,808.72","$28,708.07"
57,reseller,K. White,,United States,19-Jul-2024,960,"$240,245.16","$5,346.92"
162,Social,JOHN SMITH,Q1-2024-Social Push,EU,30-Nov-2023,N/A,N/A,"$42,277.89"
303,ONLINE,jane doe,,Middle East,25-Dec-2023,,"$550,941.39","$20,436.80"
329,Email Campaign,Mia Clark,Q3-24-Summer Blitz,LATAM,12-Dec-2023,2612,"$50,433.46","$14,144.87"
173,web,Henry Taylor,Q2-23-Webinar Series,ASIAPAC,03-Oct-2024,458,"$74,032.05","$38,275.05"
-,Telesales,Bob Williams,H2-2024-Spring Push,United Kingdom,07-Aug-2025,3877,"$617,465.52","$20,401.95"
236,Social,B. Williams,H1-23-Summer Blitz,APAC,,954,"$1,251,231.66","$48,408.31"
190,Affiliate,J. Smith,Q4-24-Brand Awareness,Asia Pacific,26-Jun-2025,3783,"$1,332,917.98",-
261,Store,,FY-23-Email Blast,-,null,1803,"$1,401,814.08","$11,543.90"
353,Email Campaign,Karen White,H2-2023-Summer Blitz,N/A,pending,4819,"$81,537.75","$17,988.00"
310,,john smith,Q2-23-Cross-sell,United States,03-Oct-2024,3387,"$1,059,018.30","$22,369.59"
499,Social,henry taylor,H1-24-Brand Awareness,North America,05-Jan-2025,3422,#N/A,"$28,657.98"
35,in-store,C. Davis,Q1-2023-Spring Push,Latin America,09-Mar-2024,369,"$682,362.76","$14,209.53"
255,Referral,john smith,Q1-24-Social Push,EMEA,06-Jul-2025,4840,"$269,664.12","$6,303.36"
32,DIRECT,bob williams,Q1-2024-Trade Show,MEA,07-Nov-2024,4147,"$952,000.32","$49,271.44"
344,Brick & Mortar,bob williams,,Europe,19-Oct-2024,3500,"$20,367.49","$22,114.58"
299,web,C. Davis,Q4-24-Retention,EMEA,21-Nov-2023,2165,"$1,216,536.36","$46,838.31"
-,Direct Sales,Eva Martinez,H2-23-New Year Promo,US,07-Mar-2025,1941,"$128,833.80","$13,181.65"
N/A,Direct Sales,TBD,Q4-24-Cross-sell,Middle East,06-May-2025,2379,"$350,605.08","$49,352.30"
304,Retail,Henry Taylor,Q4-2023-Summer Blitz,South America,07-Sep-2024,1888,"$1,714,277.43","$14,096.81"
