										
rgn	rev	prod	co	price	stat	dt	lds	qty	cmpgn	ch
Africa	$127489	Security Bundle	Dharma Initiative	$4250	CLOSED LOST	09-04-2024	86	30.00		Retail
SA	$359118			$1056	negotiation	06-24-2024	3274	340.00	H1-2024-Social Push	online
Africa	$50164	Service Plan Enterprise	NovaTech Solutions	$1929	Won	03-26-2024	N/A	26.0		partner
EMEA	$1017120	Widget B	Dharma Initiative	$2712	CLOSED LOST	02-06-2024	271	375.0	Q3-2024-Black Friday	email campaign
NA	$813246	MISC	FreshCart	$3873	LOST	01-25-2025	1126	210.0	Q3-24-Product Launch	E-Commerce
N. America	$229156	Service Plan Pro	Genco Pura	$589	Closed Won	02-15-2024	-	389.0	Q2-24-Retention	Referral
North America	$1156406	Service Plan Enterprise	Dharma Initiative	$4739	closed won	08-10-2024	1373	244.0		
ASIAPAC	$264985	Gadget Mini	Dharma Initiative	$2573	Pending	02-11-2025	915	103.0	FY-23-Upsell	affiliate
United Kingdom	$27660	ERP Add-on	BlueOcean Retail	$589	CL	09-19-2024	389	47	FY-23-Product Launch	ecommerce
Middle East	$1312429	ERP Add-on	Dharma Initiative	$3718	CLOSED LOST	12-01-2023	3806	353	Q4-2024-Trade Show	
Britain	$260672	Gadget Mini	Dharma Initiative	$896	Closed Lost	09-19-2024	1997	291.0	Q3-2023-Black Friday	Phone
EMEA	$240819	Premium Onboarding	Dharma Initiative	-	Lost	04-21-2025	4877	null	H2-2024-Black Friday	Website
EMEA	$1089139	API Access	Dharma Initiative	$3876	open	03-31-2024	4266	281	H1-24-Fall Campaign	PARTNER
United States	$631995	Gadget Mini	Dharma Initiative	$3472	proposal	11-22-2024	3224	182		email campaign
Middle East	$1312429	ERP Add-on	Dharma Initiative	$3718	CLOSED LOST	12-01-2023	3806	353	Q4-2024-Trade Show	
US	$281222	Gadget Mini	Dharma Initiative	$1217	CW	02-17-2024	1507	231	FY-2023-New Year Promo	
Asia Pacific	$1126519	Widget Pro	Dharma Initiative	$2980	CLOSED WON	03-01-2024	1687	378	FY-24-Upsell	Reseller
ASIAPAC	NULL	-	NovaTech Solutions	missing	Lost	07-07-2024	2536	427	Q4-23-Holiday Sale	Partner
EMEA	$1575325	Widget A	Dharma Initiative	$4620	lead	08-04-2024	1150	341.0	H2-23-Trade Show	Email
US	$1391470	ERP Add-on	Dharma Initiative	$4865	WON	12-04-2023	3080	286.0	H2-2023-Webinar Series	Brick & Mortar
EMEA	$321992	Widget B	Cyberdyne Systems	$4472	Closed Won	11-01-2025	3225	72		
Asia Pacific	$1186760	Data Pipeline	Dharma Initiative	$3059	CW	05-25-2025	1761	388.0	Q1-24-Holiday Sale	Email
N. America	$135609	Software Subscription	Virtucon	$1356	negotiation	12-12-2023	-	100	FY-23-Fall Campaign	RETAIL
Asia	$1221764	Software License	Dharma Initiative	$2535	Proposal	08-25-2024	4849	482	H1-2023-Fall Campaign	Social
Middle East	$231241	Gadget X	Dharma Initiative	$707	Lost	02-04-2025	2428	327.00	H1-2024-Holiday Sale	social media
Unknown	$140352	Service Plan Enterprise	Hooli Inc	#N/A	PENDING	05-20-2025	345	82.0	Q1-23-Trade Show	e-comm
Britain	$22787	Widget A	Dharma Initiative	$600	In Progress	08-13-2025	3276	38.00	FY-24-Webinar Series	Social Media
Britain	$35365	Data Pipeline	Dharma Initiative	$241	proposal	04-05-2025	3907	147	Q4-2024-Fall Campaign	Retail
United States	$1042823	Widget B	Dharma Initiative	$3634	WON	03-11-2024	297	287	H1-23-Summer Blitz	Referral
USA	NA	Consulting Hours		#N/A	closed lost	07-14-2024	200	#REF!	H1-24-Retention	Online
ASIAPAC	$173048	Widget Pro	BlueOcean Retail	$3265	lead	12-12-2024	1335	53	Q1-2023-Social Push	e-comm
United Kingdom	$114031	Security Bundle	Dharma Initiative	$2570	Closed Won	12-02-2024	3612	0	FY-24-Holiday Sale	Email
Europe	$1202842	Hardware Unit	Dharma Initiative	$2450	Closed Won	02-01-2025	N/A	491.00	H2-2023-Trade Show	social
Asia	$8903	Consulting Hours	Dharma Initiative	$2968	Won	04-22-2024	859	3.0	H1-2024-Email Blast	PARTNER
ASIAPAC	$709241	Hardware Unit	Dharma Initiative	$2259	negotiation	10-03-2024	463	314	Q4-2024-Email Blast	Referral
