Exported from Buy N Large CRM on 2026-03-08										
Price Per Unit	Closed Deals	Transaction Date	Total Amount	Marketing Leads	Account Executive	Units Sold	Company Name	Geographic Region	Product / Service	Campaign ID
2,087.44 USD	429	2024-08-20	876,724.80 USD	1774	leo harris	420	Buy N Large	United States	Analytics Dashboard	H1-2024-Cross-sell
2,480.85 USD	498	2023-05-03	994,820.85 USD	4065	Carol Davis	401	Buy N Large	ANZ	Service Plan Basic	Q4-2024-Social Push
3,509.33 USD	251	2024-09-20	1,421,278.65 USD	1024	I. Anderson	405	Buy N Large	SA	Premium Onboarding	FY-24-Product Launch
2,240.28 USD	433	2023-03-05	362,925.36 USD	2093	I. Anderson	162	Buy N Large	APAC	Software Subscription	Q2-23-Webinar Series
4,148.33 USD	36	2023-08-16	286,234.77 USD	1840	eva martinez	69.0	Buy N Large	N. America	Service Plan Basic	H2-23-Upsell
596.99 USD	325	2023-10-05	121,785.96 USD	3898	frank wilson	204.0	Buy N Large	NA	Marketing Suite	H1-24-Black Friday
4,741.47 USD	203	2024-10-04	1,261,231.02 USD	2013	E. Martinez	266.0	Dunder Mifflin	Australia	Cloud Storage 5TB	H1-2023-New Year Promo
NA	152	2024-04-28	24,366.76 USD	1492	Grace Lee	52	Spacely Sprockets	United States	Software Subscription	Q4-24-Retention
330.11 USD	481	2023-06-25	100,683.55 USD	759	J. Thomas	305.00	Pinnacle Analytics	South America	Training Package	
66.05 USD	274	2023-09-24	14,002.60 USD	1991	M. Clark	212	Buy N Large	N. America	Analytics Dashboard	FY-23-Product Launch
null	205	2024-07-09	NULL	3232	iris anderson	252.0	Buy N Large		ERP Add-on	Q3-24-Social Push
2,241.44 USD	236	2024-10-23	195,005.28 USD	3798	G. Lee	87	HealthPlus Pharma	MEA	Cloud Storage 1TB	H1-24-Trade Show
177.46 USD	356	2023-05-30	45,607.22 USD	1262	john smith	257.00	Brawndo Corp	South America	Cloud Storage 1TB	Q3-2024-Upsell
4,467.94 USD	13	2024-09-10	647,851.30 USD	658	Eva Martinez	145.0	Vandelay Ind	North America	MISC	FY-24-Cross-sell
NULL	313	2023-09-30	241,373.19 USD	null	J. Thomas	437.00	Buy N Large		CRM Module	H1-2023-Brand Awareness
1,372.62 USD	468	2024-06-28	218,246.58 USD	234	TBD	159.00	Buy N Large	N. America	Cloud Storage 5TB	Q3-2024-Holiday Sale
1,336.67 USD	483	2023-07-27	N/A	705	Mia Clark	0	Buy N Large	??	Hardware Unit	FY-2024-Brand Awareness
4,458.00 USD	245	2024-07-12	1,399,812.00 USD	338	grace lee	314	Buy N Large	US	Cloud Storage 5TB	Q2-23-Black Friday
1,671.13 USD	224	2024-01-31	715,243.64 USD	4372	B. Williams	428	Buy N Large	LATAM	Widget B	Q2-2024-Summer Blitz
4,622.94 USD	3	null	892,227.42 USD	2919	G. Lee	193.00	Buy N Large	South America	Premium Onboarding	Q3-2023-Webinar Series
NA	442	2023-11-18	NA		Eva Martinez	79.00	Buy N Large	Latin America	Service Plan Enterprise	Q1-23-Fall Campaign
2,259.18 USD	393	2023-05-18	646,125.48 USD	-	eva martinez	286	Weyland Corp	Europe	Cloud Storage 1TB	Q1-2024-Social Push
NULL	486	2024-08-24	173,148.37 USD	2556		435	BrightPath Media	MEA	Consulting Hours	Q4-2024-Cross-sell
1,857.90 USD	390	2023-04-16	804,470.70 USD	2627	Unassigned	433	Buy N Large	N/A	Hardware Unit	H2-2024-Spring Push
3,237.22 USD	257	2024-07-22	1,366,106.84 USD	584	david brown	422.00	Buy N Large	SA	Software License	Q2-24-Brand Awareness
481.47 USD	139	2023-11-13	134,330.13 USD	1972	Mia Clark	279	Buy N Large	Asia	Gadget Mini	Q1-2024-Cross-sell
857.42 USD	292	2024-11-27	222,071.78 USD	3730	Carol Davis	259.0	Buy N Large	Britain	Cloud Storage 5TB	Q2-2023-Spring Push
3,407.30 USD	12	2024-04-09	1,005,153.50 USD	52	A. Johnson	295.00	Buy N Large	APAC	Software License	Q3-2024-Brand Awareness
1,258.80 USD	197	2023-06-11	163,644.00 USD	1753	J. Doe	130.00	Planet Express	LATAM	Widget Pro	Q1-23-Webinar Series
2,268.90 USD	421	2023-10-08	539,998.20 USD	881	N/A	238.0	BlueOcean Retail	United States	Service Plan Basic	H1-2023-Cross-sell
2,962.58 USD	201	2024-10-25	530,301.82 USD		Mia Clark	179.00	Buy N Large	NA		Q2-2024-Product Launch
1,988.94 USD	68	2024-09-19	214,805.52 USD	2946		108	Buy N Large	??	Cloud Storage 5TB	Q4-24-Webinar Series
631.57 USD	239	2023-09-23	214,733.80 USD	2251	J. Smith	340	Buy N Large	APAC	Support Tier 1	Q1-2023-Black Friday
378.33 USD	451	2024-05-23	6,053.28 USD	62	Carol Davis	16.00	Buy N Large	United States	Other	Q2-23-Fall Campaign
NA	442	2023-11-18	NA		Eva Martinez	79.00	Buy N Large	Latin America	Service Plan Enterprise	Q1-23-Fall Campaign
4,629.58 USD	98	2023-12-12	55,554.96 USD	null	jane doe	12.00	Buy N Large	Britain	Consulting Hours	FY-2024-Webinar Series
794.85 USD	432	2024-06-06	327,478.20 USD	2101	carol davis	412	HealthPlus Pharma	USA	Software Subscription	Q2-2024-Black Friday
2,968.35 USD	252		8,905.05 USD	2862	Iris Anderson	3.0	Pied Piper	UK	-	Q3-2024-New Year Promo
4,787.90 USD	72	2024-04-15	1,694,916.60 USD	1195	Jake Thomas	354	Buy N Large	N/A	Gadget X	Q4-24-Webinar Series
1,084.88 USD	116	2023-04-25	5,424.40 USD	1857	Iris Anderson	5	Pinnacle Analytics	United States	Security Bundle	FY-2023-Black Friday
3,891.22 USD	475	2024-12-06	1,914,480.24 USD	4753	Alice Johnson	492.00	Buy N Large	ANZ	Consulting Hours	FY-24-Email Blast
3,675.43 USD	2	2024-08-27	N/A	65	frank wilson		Buy N Large	Asia	Cloud Storage 5TB	H2-2024-Cross-sell
4,351.13 USD	406	2024-06-14	1,857,932.51 USD	429	Leo Harris	427	Buy N Large	EMEA	CRM Module	H1-24-Black Friday
312.80 USD	484	2024-05-19	123,556.00 USD	2932	A. Johnson	395	Vandelay Ind	Africa	API Access	Q4-2024-Email Blast
93.90 USD	35	2023-04-26	27,700.50 USD	1495	Jake Thomas	295	Prestige Worldwide	N. America	Software License	Q3-2023-Fall Campaign
2,459.70 USD	65	2024-06-02	713,313.00 USD	214	grace lee	290.0	Buy N Large	MEA	Service Plan Pro	Q1-23-Retention
2,878.70 USD	154	2024-07-11	898,154.40 USD	1521	E. Martinez	312	Buy N Large	United Kingdom	Support Tier 1	
3,924.37 USD	127	2023-09-02	1,663,932.88 USD	1167	H. Taylor	424.00	Pied Piper	USA	Service Plan Pro	Q2-24-Retention
2,681.32 USD	268	2023-07-26	882,154.28 USD	4631	mia clark	329.00		South America	Gadget Mini	FY-2024-Upsell
316.10 USD	239	2024-08-12	2,844.90 USD	4057	mia clark	9.00	Initech Solutions	Latin America	API Access	Q2-23-Upsell
4,461.92 USD	143	2023-10-19	1,481,357.44 USD	4440	D. Brown	332.0	Buy N Large	UK	Software Subscription	H1-2024-Trade Show
2,884.37 USD	394	2024-07-17	184,599.68 USD	3601	frank wilson	64.00	Oscorp Technologies	Asia	Widget A	Q2-2023-Summer Blitz
1,731.83 USD	109	2023-06-27	819,155.59 USD	4784	JANE DOE	473	HealthPlus Pharma	UK	Training Package	Q3-24-Webinar Series
724.37 USD	469	2024-10-23	154,290.81 USD	2074	eva martinez	213.00	Krusty Burger LLC	N/A	Training Package	H2-24-Product Launch
2,333.42 USD	118	2024-03-15	763,028.34 USD	2589	N/A	327	Buy N Large	USA	Support Tier 1	Q3-2024-Upsell
1,452.58 USD	347	2024-08-14	25,546.29 USD	4982	JOHN SMITH	0	Buy N Large	Europe	CRM Module	
2,802.97 USD	2	TBD	1,199,671.16 USD		Henry Taylor	428	Rekall Inc	NA	Software Subscription	Q3-2024-Webinar Series
1,765.96 USD	82	2023-11-17	301,979.16 USD	3030	jane doe	171	Buy N Large	Asia	Service Plan Pro	Q4-2023-Black Friday
2,681.32 USD	268	2023-07-26	882,154.28 USD	4631	mia clark	329.00		South America	Gadget Mini	FY-2024-Upsell
3,215.27 USD	77	2023-08-06	945,289.38 USD	3429	iris anderson	294	Buy N Large	Asia Pacific	Marketing Suite	Q1-24-Product Launch
2,480.85 USD	498	2023-05-03	994,820.85 USD	4065	Carol Davis	401	Buy N Large	ANZ	Service Plan Basic	Q4-2024-Social Push
4,388.91 USD	241	2023-07-18	965,560.20 USD	-	D. Brown	220	Sterling Cooper	South America	Marketing Suite	
NA	-	2023-07-18	172,497.78 USD	682	David Brown	431	BrightPath Media	N. America	Software Subscription	Q1-24-Social Push
1,033.43 USD	376	2023-11-07	246,989.77 USD	4892	Grace Lee	239	Buy N Large	United Kingdom	API Access	H1-24-Spring Push
4,193.45 USD	372	2024-09-18	1,165,779.10 USD	2458	J. Doe	278.0		US	API Access	Q4-23-Cross-sell
3,965.77 USD	244	2024-05-12	753,496.30 USD	4520	Henry Taylor	190.00	Tyrell Corporation	US	Widget Pro	H2-23-Webinar Series
3,778.54 USD	308	2024-06-16	340,068.60 USD	1511	C. Davis	90.00	FreshCart	APAC	Marketing Suite	FY-2024-Spring Push
2,666.02 USD	279	2024-10-28	1,303,683.78 USD	1696	B. Williams	489	Buy N Large	ASIAPAC	Service Plan Pro	Q1-2024-Webinar Series
4,086.11 USD	155	2024-12-23	935,719.19 USD	2866	TBD	229	Buy N Large	South America	ERP Add-on	H2-23-Cross-sell
1,893.83 USD	350	2025-01-29	520,803.25 USD	2933	Iris Anderson	275	Buy N Large	South America	Widget A	Q1-2024-Product Launch
3,486.05 USD	177	2024-06-20	550,795.90 USD	3385	N/A	158	Buy N Large	South America	Widget B	Q2-24-Upsell
2,360.02 USD	159	2024-03-02	2,360.02 USD	4005	grace lee	1.0	Buy N Large	MEA	Support Tier 1	Q1-2024-New Year Promo
20.07 USD	355	2023-03-18	4,756.59 USD	3582	F. Wilson	237.00	Buy N Large	Britain	Cloud Storage 5TB	FY-2024-Product Launch
3,924.37 USD	127	2023-09-02	1,663,932.88 USD	1167	H. Taylor	424.00	Pied Piper	USA	Service Plan Pro	Q2-24-Retention
4,790.71 USD	337	2024-01-30	1,437,213.00 USD	4566	K. White	300	Buy N Large	APAC	Hardware Unit	H2-24-Brand Awareness
386.68 USD	-	2024-09-11	146,551.72 USD	2771	J. Smith	379	Buy N Large	North America	Widget A	Q3-23-Holiday Sale
4,086.11 USD	155	2024-12-23	935,719.19 USD	2866	TBD	229	Buy N Large	South America	ERP Add-on	H2-23-Cross-sell
141.49 USD		2023-06-21	39,475.71 USD	920	M. Clark	279	Spacely Sprockets	Africa	Widget Pro	Q4-2023-Fall Campaign
2,255.74 USD	183	2024-02-14	106,019.78 USD	2431	Grace Lee	47	Buy N Large	UK	Marketing Suite	Q2-2024-Black Friday
3,138.57 USD	177	2024-05-30	1,258,566.57 USD	1757	TBD	401	Prestige Worldwide	MEA	Data Pipeline	Q1-2023-Email Blast
4,324.08 USD	348	2023-03-14	2,162,040.00 USD	2513	I. Anderson	500.00	Stark Industries	-		Q3-24-Webinar Series
3,933.24 USD	-	2024-12-14	798,447.72 USD	1724	bob williams	203	SummitView Hotels	Unknown	Gadget X	
237.00 USD	394	2024-03-21	50,481.00 USD	1850	eva martinez	213	Buy N Large	Middle East	Support Tier 2	H2-24-New Year Promo
2,427.97 USD	-	2024-11-19	82,869.92 USD	604	H. Taylor	-	Buy N Large	United States	Data Pipeline	Q3-24-Upsell
2,503.68 USD	447	2023-11-05	327,982.08 USD	4964		131	Buy N Large	EMEA	Data Pipeline	FY-2023-Product Launch
4,790.93 USD	248	2023-08-16	795,294.38 USD	4274	eva martinez	166	Umbrella Ltd	US	Widget A	Q3-24-Brand Awareness
1,336.67 USD	483	2023-07-27	N/A	705	Mia Clark	0	Buy N Large	??	Hardware Unit	FY-2024-Brand Awareness
595.85 USD	249	2023-12-16	209,739.20 USD	2533	david brown	352	Soylent Corp	USA	API Access	H1-24-New Year Promo
2,205.81 USD	393	2024-01-10	509,542.11 USD	1017	Unassigned	231.00	Bluth Company	United Kingdom	Cloud Storage 1TB	FY-23-Webinar Series
2,205.81 USD	393	2024-01-10	509,542.11 USD	1017	Unassigned	231.00	Bluth Company	United Kingdom	Cloud Storage 1TB	FY-23-Webinar Series
2,953.53 USD	376	2024-01-31	543,449.52 USD	1438	J. Thomas	184	Buy N Large	NA	Widget B	Q4-2023-Retention
595.85 USD	249	2023-12-16	209,739.20 USD	2533	david brown	352	Soylent Corp	USA	API Access	H1-24-New Year Promo
45.08 USD	394	2024-11-26	17,896.76 USD	-	John Smith	397	Buy N Large	North America	Data Pipeline	Q1-2024-Fall Campaign
2,418.84 USD	170	2024-02-13	406,365.12 USD	3523	leo harris	168.0	Buy N Large	North America	Data Pipeline	FY-2023-Holiday Sale
90.54 USD	182	2023-04-17	3,440.52 USD	4347	alice johnson	38.0	Buy N Large	ANZ	Security Bundle	Q1-23-Brand Awareness
2,244.69 USD	46	2023-08-17	197,532.72 USD	1794	K. White	88.00	BrightPath Media	Middle East	CRM Module	H2-2024-Email Blast
3,433.31 USD	299		875,494.05 USD	4950	John Smith	255.00	Buy N Large	South America	Data Pipeline	
774.03 USD	166	2023-12-28	245,844.37 USD	1425	E. Martinez	0	Buy N Large	Africa	Software Subscription	
2,760.77 USD	26	2023-05-26	19,325.39 USD	4408	Jake Thomas	7	Buy N Large	US	Consulting Hours	H2-23-New Year Promo
3,169.49 USD	461	2023-04-04	786,033.52 USD	2561	Carol Davis	248	BlueOcean Retail	North America	Support Tier 2	Q1-23-Email Blast
4,185.25 USD	339	2024-04-06	31,920.36 USD	1357	alice johnson	#REF!	Spacely Sprockets	Asia Pacific	Widget A	H1-24-Email Blast
3,407.30 USD	12	2024-04-09	1,005,153.50 USD	52	A. Johnson	295.00	Buy N Large	APAC	Software License	Q3-2024-Brand Awareness
2,282.90 USD	465	2023-09-30	239,704.50 USD	721	bob williams	105	Buy N Large	NA	Widget Pro	Q3-23-Spring Push
4,690.15 USD	132	2024-08-21	2,082,426.60 USD	4042	grace lee	444	Buy N Large	LATAM	Premium Onboarding	H1-24-Spring Push
389.68 USD	16	2023-12-12	7,403.92 USD	3246	David Brown	19	Virtucon	Unknown	Service Plan Pro	Q1-2024-Fall Campaign
4,624.07 USD	347	2023-11-19	739,851.20 USD	1225	J. Thomas	160	Buy N Large	United States	Cloud Storage 1TB	H2-2023-Email Blast
1,381.71 USD	444	2023-12-27	135,407.58 USD	3398	alice johnson	98	Hooli Inc	Britain	Service Plan Basic	FY-23-Summer Blitz
2,087.44 USD	429	2024-08-20	876,724.80 USD	1774	leo harris	420	Buy N Large	United States	Analytics Dashboard	H1-2024-Cross-sell
4,784.80 USD	227	2023-09-25	1,267,972.00 USD	3543	Jane Doe	265.00	Vandelay Ind	North America	Support Tier 1	FY-23-Webinar Series
456.77 USD	66	2023-10-14	217,422.52 USD	471	John Smith	476.00	GreenLeaf Energy	LATAM	Hardware Unit	Q4-2024-Upsell
