lds|qty|conv|rev|stat|cmpgn|prod|rgn|co|rep|dt
2144|112.00|395|108179|Closed Won|FY-2024-New Year Promo|Widget B|Asia Pacific|Tyrell Corporation|Iris Anderson|June 27, 2025
711|35.0|91|14796|Negotiation|Q1-2023-Fall Campaign|Service Plan Pro|MEA|Tyrell Corporation|alice johnson|August 16, 2025
-|-|162|199440|CL|H2-23-Retention|Security Bundle|United Kingdom|Tyrell Corporation|J. Doe|August 17, 2024
2265|392|297|361921|Lost|Q4-23-Cross-sell|Consulting Hours|Asia Pacific||henry taylor|December 01, 2024
3883|56.00|311|210918|Closed Won|FY-2023-Black Friday|ERP Add-on|APAC|BlueOcean Retail|N/A|June 22, 2025
192|13|247|1028|negotiation|Q3-2023-Trade Show|Hardware Unit|Australia|Tyrell Corporation|karen white|May 06, 2024
null|244|224|1161437|WON|Q2-2024-Cross-sell|Training Package|ASIAPAC|Tyrell Corporation|Jake Thomas|December 14, 2024
4605|169|263|460594|CLOSED WON||Training Package|-|Tyrell Corporation|Unassigned|April 02, 2024
1763|376|92|1240788|Qualified|Q3-2023-Black Friday|Widget A|Britain|Tyrell Corporation|frank wilson|November 10, 2024
3438|290.0|155|1369701|CLOSED LOST|Q3-2024-Social Push|N/A|Unknown|Stark Industries|Jake Thomas|December 13, 2024
null|476.0|194|866824|Pending|FY-2024-Black Friday|Premium Onboarding|United Kingdom|Tyrell Corporation|Karen White|July 06, 2025
291|149.00||274611|negotiation||Consulting Hours|Unknown|SummitView Hotels|M. Clark|March 08, 2025
1564|438|375|711386|CL|Q1-23-Holiday Sale|Training Package|SA|Tyrell Corporation|grace lee|January 04, 2024
2331|23.0|42|12622|PENDING|Q4-23-Webinar Series|Support Tier 2|ASIAPAC|Cogswell Cogs|mia clark|September 08, 2025
736|52|-|157499|Pending|Q2-2023-Fall Campaign|Support Tier 2|ANZ|CloudNine SaaS|Frank Wilson|October 11, 2024
3282|347.0|286|481868|open|H1-24-Spring Push|Software Subscription|ANZ|Krusty Burger LLC|Mia Clark|November 27, 2023
1406|183.0|489|247747|In Progress|Q2-24-Email Blast|Gadget X|NA|NovaTech Solutions|frank wilson|June 23, 2025
3550|442|322|245469|Lost|Q3-24-Black Friday|Premium Onboarding|Britain|Tyrell Corporation|leo harris|December 25, 2024
4575|431.00|111|727946|qualified|Q2-23-Product Launch|Widget Pro|Britain|Tyrell Corporation|leo harris|September 12, 2024
2436|220|44|688516|Closed-Won|Q2-2023-New Year Promo|Marketing Suite|USA|Sterling Cooper|Jane Doe|August 26, 2024
3282|131|214|597604|open||Support Tier 2|Africa|Sterling Cooper|L. Harris|January 16, 2024
2618|85.0|20|287356|LOST|FY-24-New Year Promo|Widget Pro|Asia|Tyrell Corporation|John Smith|August 15, 2024
4698|38.0|270|25745|Lead|Q2-23-Spring Push|CRM Module|ASIAPAC|Dunder Mifflin|J. Thomas|April 17, 2024
2893|34.00|407|8355|WON|Q4-24-Product Launch|Service Plan Enterprise|UK|Oscorp Technologies|grace lee|April 14, 2024
837|-|229|#N/A|LOST||Widget B|Asia|Tyrell Corporation|E. Martinez|October 25, 2024
2623|267|335|1094910|Closed-Lost|Q3-2024-Black Friday|Consulting Hours|North America|Genco Pura|E. Martinez|July 05, 2025
-|204|N/A|270367|Lost|H1-23-Cross-sell|Hardware Unit|ANZ||jane doe|November 23, 2024
2026|201.00|301|527815|Negotiation|FY-24-Cross-sell||UK|Tyrell Corporation|jane doe|March 30, 2025
4139|2.00|279|3805|pending|H1-2024-Summer Blitz|Service Plan Pro|USA||David Brown|May 01, 2025
2313|451.0|47|100969|WON|H2-24-Cross-sell|Software Subscription|Africa|AgriGrow Corp|Bob Williams|July 16, 2024
1861|428.0|494|1805107|qualified|Q2-23-New Year Promo|Widget Pro|US|Tyrell Corporation|Unassigned|
617|81.00|118|68320|Proposal|Q4-24-Holiday Sale|Service Plan Enterprise|Latin America|Tyrell Corporation|Unassigned|December 07, 2024
203|306|432|260617|Qualified|Q4-23-Email Blast|N/A|Unknown|Weyland Corp|N/A|January 31, 2024
72|173.00|32|122542|CLOSED WON|FY-24-Brand Awareness|Training Package|North America|Tyrell Corporation|Frank Wilson|June 18, 2024
85|0|88|216515|In Progress|H2-2024-New Year Promo|Service Plan Basic|United States|Cybertruck Co|David Brown|August 07, 2024
944|311.00|438|1031571|Qualified|H2-23-Holiday Sale|Cloud Storage 5TB|Africa|Cyberdyne Systems|E. Martinez|June 11, 2025
347|79|444|23523|LOST|H1-24-Upsell|ERP Add-on|Middle East|Tyrell Corporation|A. Johnson|June 02, 2025
1877|311|24|901834|Pending|Q3-2023-Webinar Series|Security Bundle|North America|Tyrell Corporation|K. White|July 19, 2025
4177|#REF!|292|-|Lead|Q2-23-Webinar Series|Software License|Europe|Cyberdyne Systems|JOHN SMITH|May 13, 2025
190|335.0|215|253826|Closed Won|Q4-24-Trade Show|Consulting Hours|Asia Pacific|Cybertruck Co|B. Williams|April 17, 2024
-|71|130|80784|Qualified|Q2-2024-New Year Promo|Software Subscription|APAC|Tyrell Corporation|carol davis|September 01, 2025
1628|217|119|602956|in progress|Q1-2023-Brand Awareness|Security Bundle|Africa|Tyrell Corporation|jake thomas|April 11, 2025
887|499|57|2406362|CLOSED LOST|Q1-24-Holiday Sale|Software Subscription|US|Tyrell Corporation|D. Brown|N/A
2904|10.00|279|33359|Closed-Lost|FY-24-Spring Push|Training Package|N. America|Tyrell Corporation|J. Smith|April 28, 2025
2787|63.0|96|76589|Won|Q3-2024-Fall Campaign|Training Package|LATAM|Tyrell Corporation|H. Taylor|May 18, 2024
943|281|292|773826|CL|Q3-24-Spring Push|Security Bundle|APAC|Tyrell Corporation|J. Smith|June 20, 2025
311|399|307|594186|PENDING|H1-23-Cross-sell|Cloud Storage 5TB|UK|Tyrell Corporation|Leo Harris|December 07, 2023
1929|483.0|259|1036904|pending|H1-2023-Cross-sell|Hardware Unit|United Kingdom|Tyrell Corporation|eva martinez|April 17, 2025
4990|258|494|324295|Closed-Won|FY-2024-Brand Awareness|Data Pipeline|North America|Genco Pura|N/A|N/A
488|376|385|1871551|WON|Q2-24-Webinar Series|Consulting Hours|SA|Tyrell Corporation|Jane Doe|March 17, 2024
|219.0|35|570435|WON|Q1-23-Holiday Sale|Support Tier 1|Europe|Tyrell Corporation|leo harris|August 28, 2025
1413|58.00|328|18706|closed won|H1-23-Brand Awareness|Support Tier 2|MEA|Tyrell Corporation|alice johnson|August 21, 2024
4358|-|462|NA|Lost|FY-2024-Fall Campaign|MISC|NA|Tyrell Corporation|F. Wilson|TBD
1458|-|38|78335|PENDING|H2-2023-Trade Show|ERP Add-on|N/A||TBD|April 15, 2025
801|377.00|56|1138193|proposal|Q1-2023-Summer Blitz|Software License|Asia Pacific|Oceanic Airlines|C. Davis|November 05, 2023
1394|27.00|72|1776|closed lost||Gadget Mini|US|Tyrell Corporation|john smith|TBD
4064|370.00|N/A|1746807|Open|FY-2023-Social Push|Cloud Storage 1TB|N/A|Tyrell Corporation|Mia Clark|January 06, 2025
1465|210.00|465|41691|pending||Service Plan Pro|Britain|Tyrell Corporation|H. Taylor|August 25, 2025
1228|87.00|257|342442|CLOSED LOST|FY-2023-Summer Blitz|Software License|ASIAPAC|Bluth Company|Grace Lee|October 25, 2024
19|55.0|46|34592|Negotiation|Q4-2023-Black Friday|CRM Module|Middle East|Tyrell Corporation|Carol Davis|October 05, 2025
3437|365.00|329|865648|Closed-Lost|FY-24-Social Push|Software Subscription|North America|Tyrell Corporation|John Smith|April 17, 2025
1433|179.0|179|3431|pending|Q3-2023-Retention|Gadget X|EU|Tyrell Corporation|JANE DOE|July 16, 2025
911|405.00|238|1904467|Pending|Q3-2024-Holiday Sale|Data Pipeline|NA|Tyrell Corporation|TBD|March 25, 2024
null|61.00|204|284119|Qualified|Q4-23-Webinar Series|Software License|Asia Pacific|Tyrell Corporation|F. Wilson|April 24, 2024
304|396|114|345898|qualified|FY-23-Cross-sell|Support Tier 1|LATAM|PixelForge Studios||July 04, 2024
2182|12|61|51496|qualified|Q1-24-Cross-sell|Marketing Suite|EMEA|Tyrell Corporation|J. Smith|April 03, 2024
923|325.00|250|1045018|closed lost|H2-24-Retention|Training Package|APAC|Tyrell Corporation|A. Johnson|February 28, 2024
3181|95|278|13349|proposal|Q3-2024-Product Launch|Widget B|North America|Tyrell Corporation|H. Taylor|July 11, 2024
243|334.00|26|1364757|Proposal|H2-2023-Product Launch|Hardware Unit|Australia|Tyrell Corporation|jane doe|February 13, 2025
4185|452|359|1091896|Closed Won|FY-2024-Summer Blitz|CRM Module|UK|Tyrell Corporation|iris anderson|November 27, 2023
3974|42.00|336|124927|qualified|Q3-2024-Social Push|Service Plan Pro|US|CloudNine SaaS|K. White|N/A
N/A|13.0|329|43305|CLOSED WON|FY-24-Product Launch|Support Tier 1|MEA|Tyrell Corporation|alice johnson|April 19, 2024
1801|247.00|34|109544|in progress|Q3-23-Email Blast|Gadget X|LATAM|Tyrell Corporation|K. White|August 20, 2024
N/A|316|154|611744|Open|Q3-2024-Product Launch|Hardware Unit|N. America|Planet Express|eva martinez|August 01, 2024
4107|486|22|2244100|closed lost|H1-23-Retention|Service Plan Basic|South America|GreenLeaf Energy|D. Brown|September 03, 2024
77|null|169|73195|In Progress|Q2-2023-Fall Campaign|Cloud Storage 5TB|Australia|Cogswell Cogs|F. Wilson|July 13, 2025
|77|73|229339|in progress|H1-24-Fall Campaign|Support Tier 2|EMEA|Tyrell Corporation|bob williams|August 28, 2025
4551|221|285|11133|CLOSED WON|H1-24-Webinar Series|Consulting Hours|ANZ|Tyrell Corporation|Eva Martinez|December 26, 2024
4524|202|183|615576|Closed-Won||Software Subscription|Europe|Tyrell Corporation|jane doe|September 29, 2025
1142|447.00|459|881828|LOST|Q2-23-Spring Push|Marketing Suite|Middle East|Massive Dynamic|JOHN SMITH|December 20, 2023
|109.0|173|129635|Qualified||Security Bundle|United Kingdom|BlueOcean Retail|frank wilson|April 14, 2024
|420.00|402|383019|Closed-Lost|Q2-23-Fall Campaign|Analytics Dashboard|UK|Globex Industries|A. Johnson|July 19, 2024
96|258.00|124|154828|pending|H2-23-New Year Promo|Software Subscription|ASIAPAC|Tyrell Corporation|John Smith|February 14, 2025
4258|462.0|46|1015448|Proposal||Service Plan Basic|Europe|Bluth Company|E. Martinez|June 18, 2024
76|376.00|296|1067054|in progress|H1-2023-Webinar Series|Consulting Hours|USA|Tyrell Corporation|Leo Harris|August 28, 2025
295|82|270|91344|Lost|H2-23-Email Blast|Widget B|USA|Tyrell Corporation|JANE DOE|August 14, 2025
719||469|240608|Lost|FY-2024-New Year Promo|Hardware Unit|USA|Tyrell Corporation|Iris Anderson|September 15, 2025
107|18|207|78842|CLOSED WON|Q1-24-Spring Push|Support Tier 2|Europe|Tyrell Corporation|N/A|June 23, 2024
N/A|410.00|484|1077972|pending|FY-2024-Spring Push|Software Subscription|Asia|Massive Dynamic|Bob Williams|January 23, 2025
2045|422.00|126|272725|LOST|Q2-2024-Trade Show|Software License|MEA|Tyrell Corporation|Karen White|December 09, 2023
1371|#REF!|-|49429|Qualified|Q3-2024-Email Blast|Support Tier 1|USA|Nakatomi Trading|J. Thomas|March 20, 2025
726|364.0|25|1707338|CLOSED LOST|Q3-23-Retention|API Access|NA|Tyrell Corporation|Karen White|August 03, 2025
3357|200.00|218|247824|CL|Q4-2024-New Year Promo|Gadget X|Middle East|Tyrell Corporation|J. Doe|January 04, 2024
644|30.0|322|47266|Open||Widget B|South America|Tyrell Corporation|bob williams|July 02, 2025
4856|419|351|551433|Lost|H1-2023-Spring Push|Cloud Storage 5TB|Asia Pacific|Tyrell Corporation|JOHN SMITH|December 12, 2024
3069|233.00|24|242161|WON|FY-2023-Upsell|Hardware Unit|SA|Tyrell Corporation|alice johnson|July 05, 2025
3414|193|28|618420|CW||Training Package|APAC|Tyrell Corporation|mia clark|August 06, 2024
4521|264.00|57|248946|negotiation|Q4-24-Upsell|Software Subscription|Britain||Bob Williams|July 21, 2025
342|192.0|26|646200|Closed Won|Q4-23-Product Launch|N/A|United Kingdom|Tyrell Corporation|David Brown|January 27, 2025
2391|13.0|50|1555|closed won|Q4-2023-Upsell|Widget A|Asia|Tyrell Corporation|alice johnson|March 30, 2024
4227|72.00|5|336491|In Progress||Widget Pro|UK|Pinnacle Analytics|Alice Johnson|August 03, 2024
1817|498.0|156|1582629|Qualified|Q4-2024-Product Launch|Widget B|NA|Tyrell Corporation|Leo Harris|August 29, 2025
4589|341|N/A|863490|Qualified||Marketing Suite|EU|SummitView Hotels|David Brown|May 24, 2024
3722|157.00|359|602631|negotiation|Q2-24-Black Friday|CRM Module|South America|Tyrell Corporation|Frank Wilson|February 05, 2024
3142|269.0|192|774531|Proposal|Q2-2023-Cross-sell|Widget B||Tyrell Corporation|karen white|June 27, 2024
3807|282|81|816999|CLOSED WON|Q4-2024-Cross-sell|Data Pipeline|Britain|Tyrell Corporation|N/A|August 29, 2025
2479|100.00|500|178359|Lost||Premium Onboarding|N. America|Tyrell Corporation|Grace Lee|December 30, 2023
1901|161.00|164|669178|Negotiation|H1-23-Spring Push|Support Tier 2|??|Tyrell Corporation|bob williams|August 20, 2025
52|252.0|469|803202|Won|Q4-2024-Fall Campaign|Marketing Suite|Europe|Acme Corp|Alice Johnson|January 21, 2024
2562|388|116|1515442|Closed-Won|FY-2023-Trade Show|Gadget X|EU|Tyrell Corporation|eva martinez|October 15, 2024
2737|205|N/A|238515|PENDING|FY-2023-Trade Show|Widget B|MEA|Soylent Corp|jane doe|April 23, 2024
4927|85.0|209|76946|Qualified|Q1-23-Black Friday|Cloud Storage 5TB|Africa|Tyrell Corporation|A. Johnson|October 25, 2023
null|314|104|1318727|Closed Won|Q2-23-Brand Awareness|Analytics Dashboard|LATAM|Umbrella Ltd|henry taylor|May 13, 2024
2372|259.00||1076393|WON|H2-2023-Email Blast|Analytics Dashboard|North America|Oceanic Airlines|Leo Harris|June 02, 2024
1044|205.0|110|275499|in progress|Q1-2024-Brand Awareness|Cloud Storage 5TB|Latin America|Genco Pura|A. Johnson|October 18, 2025
2684|48|409|178477|CW|Q2-2023-Email Blast|Service Plan Basic|Latin America|Omni Consumer Products|alice johnson|February 08, 2024
-|144|303|222750|Negotiation|Q2-24-Email Blast|Gadget Mini||Tyrell Corporation|Alice Johnson|null
1251|455.0|415|1788923|CLOSED LOST|Q3-2024-Trade Show|Marketing Suite|North America|Tyrell Corporation|J. Thomas|October 22, 2024
3441|447|260|1270110|Qualified|Q2-23-Spring Push|Consulting Hours|ASIAPAC|Tyrell Corporation|G. Lee|July 19, 2024
505|1|122|3123|open|Q2-24-Summer Blitz|Premium Onboarding|South America|Tyrell Corporation|Grace Lee|December 15, 2023
32|121|248|235256|proposal|FY-23-Webinar Series|Widget A||Tyrell Corporation|Grace Lee|December 11, 2024
378|#REF!|66|53429|negotiation|FY-24-Brand Awareness|Data Pipeline|North America|Tyrell Corporation|J. Smith|September 23, 2025
3307|279|493|703894|Proposal|FY-23-Spring Push|Marketing Suite|LATAM|Cyberdyne Systems|leo harris|August 15, 2025
3160|474.0|44|795613|Open|Q1-2023-Email Blast|Premium Onboarding|ANZ|Tyrell Corporation|Grace Lee|September 01, 2024
1306|238.0|107|525487|Negotiation|H2-23-New Year Promo|Cloud Storage 5TB|Middle East|Tyrell Corporation|Leo Harris|N/A
1713|424.0|491|1783407|Open|Q3-2023-Email Blast|Hardware Unit|LATAM|Dharma Initiative|K. White|May 15, 2025
3911|472||28664|LOST|H1-2024-Retention|Support Tier 1|Unknown|Tyrell Corporation|JANE DOE|February 08, 2025
4491|394|116|225691|Negotiation|FY-24-New Year Promo|Widget A|United States|Tyrell Corporation|M. Clark|November 06, 2023
4516|null|-|222693|open|Q1-23-Webinar Series|Cloud Storage 1TB|ASIAPAC|Tyrell Corporation|Alice Johnson|December 23, 2023
2722|253.00|124|278441|Won|H2-2024-Social Push|Training Package||Tyrell Corporation|alice johnson|August 28, 2025
2224|98|228|422477|closed won|H2-24-Social Push|Software Subscription|LATAM|Tyrell Corporation|alice johnson|September 15, 2024
|477|62|1251905|negotiation|Q3-23-Upsell|Marketing Suite|Europe|Tyrell Corporation|leo harris|June 10, 2025
3394|104.0|67|390655|qualified|H1-2023-Upsell|API Access|Africa|Tyrell Corporation|carol davis|September 05, 2025
3680|346|119|1109788|closed lost|Q2-2024-Holiday Sale|Software License|North America|Tyrell Corporation|henry taylor|December 03, 2023
3630|216.0|375|51120|open|Q4-23-Fall Campaign|Marketing Suite|??|Tyrell Corporation|bob williams|December 14, 2024
4793|418|98|705797|proposal||Security Bundle|United States|Tyrell Corporation|john smith|December 09, 2023
4013|102.0|91|356690|negotiation|Q1-23-Summer Blitz|API Access|SA|Nakatomi Trading|John Smith|March 28, 2024
2619|83.0||143720|Lost|H1-24-Fall Campaign|Marketing Suite|LATAM|Tyrell Corporation|alice johnson|April 22, 2024
4806|95.0|136|NA|closed lost|FY-24-Social Push|-|NA||Unassigned|pending
3814|20|409|83363|WON|Q1-23-Retention|MISC|Asia Pacific|Tyrell Corporation|I. Anderson|June 06, 2025
509|78|308|1931|Closed Won|FY-23-Social Push|-||Tyrell Corporation|Grace Lee|December 28, 2023
4376|215.00|N/A|441498|Closed-Won|H1-2024-Cross-sell|Widget B|South America|Tyrell Corporation|frank wilson|December 15, 2024
4175|378.00|174|51646|Pending|H2-2024-Email Blast|Service Plan Enterprise|LATAM|Tyrell Corporation|TBD|August 01, 2025
2442|304.00|248|615508|Proposal|H2-2023-Webinar Series|Marketing Suite|EMEA|Tyrell Corporation|Unassigned|October 10, 2024
873|205.00|22|153489|negotiation|Q2-2023-Retention|Other|NA|Tyrell Corporation|D. Brown|February 08, 2025
609|null|229|236682|qualified|Q2-2024-Webinar Series|Security Bundle|North America|NovaTech Solutions|L. Harris|January 15, 2024
4087|401.00|100|203561|lead|Q4-23-Retention|Widget B|United States|Tyrell Corporation|iris anderson|January 02, 2024
1997|118.00|40|563169|closed won|Q4-2024-Upsell|Support Tier 2|Europe|Tyrell Corporation|henry taylor|TBD
2205|373|218|571760|in progress|H1-2024-Product Launch|Gadget X|United Kingdom|HealthPlus Pharma|frank wilson|August 13, 2024
4573|353.00|N/A|1320343|Negotiation|H2-24-Spring Push|Analytics Dashboard|Asia Pacific|Cybertruck Co|bob williams|June 27, 2024
524|496|142|882369|lead|Q4-2023-Brand Awareness|Widget Pro|ANZ|Tyrell Corporation|J. Smith|January 29, 2024
1420|57.0|490|14227|Closed Won|H1-23-Retention|Gadget X|US|Tyrell Corporation|Frank Wilson|November 06, 2023
3684|128|79|88366|Closed Won|Q4-24-Upsell|Marketing Suite|MEA|Acme Corp|John Smith|April 15, 2024
1112|154.00|N/A|608974|closed lost|Q2-2023-Upsell|Marketing Suite|ANZ|Tyrell Corporation|J. Thomas|May 07, 2024
2594|48.0|71|86023|CL|H1-23-Cross-sell|Support Tier 2|Asia|Tyrell Corporation|John Smith|November 17, 2024
455|293|316|408512|qualified|FY-2024-Product Launch|Premium Onboarding|South America|CloudNine SaaS|carol davis|August 05, 2025
2364|263.0|244|418188|lead|Q3-2023-Black Friday|Security Bundle|-|Tyrell Corporation|Eva Martinez|December 08, 2023
637|6|147|6731|PENDING|Q1-24-Spring Push|Hardware Unit|United Kingdom|Brawndo Corp|Bob Williams|November 25, 2023
4400|null|31|15250|Closed Lost|Q1-2024-Trade Show|Premium Onboarding|MEA|GreenLeaf Energy|john smith|May 11, 2024
100|#REF!|259|13659|CLOSED LOST|Q1-2024-Trade Show|Training Package|Middle East|Tyrell Corporation|A. Johnson|N/A
1533|297|249|1327108|closed won|H1-24-Product Launch|Support Tier 1|EU|Tyrell Corporation|L. Harris|February 07, 2025
-|107|35|469711|Lost|Q2-23-Social Push|Premium Onboarding|Africa|Tyrell Corporation|Karen White|December 03, 2024
1747|500.0|239|697590|WON||Security Bundle|-||H. Taylor|August 06, 2024
622|444|-|188162|lead|H2-24-Social Push|MISC|SA|Nakatomi Trading|jane doe|March 27, 2024
4278|481.00|433|2005616|Lead|Q2-2023-Product Launch|CRM Module|Middle East|Tyrell Corporation|N/A|May 25, 2025
250|5.00|147|12378|Closed Won|Q1-24-Black Friday|Software Subscription|United States|Tyrell Corporation|Karen White|January 09, 2024
941|92|164|449108|closed lost|H1-2023-Summer Blitz|Analytics Dashboard|-|Tyrell Corporation|John Smith|March 24, 2025
4791|123.0|210|251841|open||Gadget X|EMEA||J. Smith|April 16, 2025
3832|273|202|502442|Negotiation|Q3-24-Black Friday|Cloud Storage 5TB|LATAM|Tyrell Corporation|david brown|August 05, 2025
3909|286|250|837096|Closed Won|Q4-2024-Cross-sell|N/A|United States|Tyrell Corporation||February 02, 2025
3083|336.0|269|873277|Closed-Lost||Consulting Hours|ASIAPAC|Vandelay Ind|karen white|March 18, 2025
3930|#REF!|125|missing|In Progress|H2-23-Upsell|Analytics Dashboard|Africa|Tyrell Corporation|J. Smith|December 13, 2024
