Revenue,Campaign,Leads,Product,Date,Conversions,Unit Price,Company,Channel,CUR
"$2,185.62",Q4-2024-Upsell,3396,Software Subscription,2024-07-08,471,$14.97,QuickShip Logistics,ONLINE,EUR
"$295,114.90",Q2-24-Product Launch,4466,Analytics Dashboard,2025-05-05,36,"$4,404.70",QuickShip Logistics,PARTNER,USD
"$1,381,547.44",,4273,Gadget X,2024-06-07,91,"$4,620.56",QuickShip Logistics,Field Sales,AUD
"$305,114.04",Q4-24-Retention,2899,ERP Add-on,2024-10-08,21,"$1,883.42",,Store,CAD  
"$445,431.80",Q3-2023-Email Blast,16,Consulting Hours,2023-08-20,197,"$4,841.65",,retail,AUD
"$74,090.80",H1-2024-Retention,2389,,2024-07-07,34,-,QuickShip Logistics,Social,JPY
"$157,431.15",Q2-2023-Holiday Sale,3907,CRM Module,2025-06-21,447,$552.39,QuickShip Logistics,Social,AUD
"$1,109,726.16",H2-23-Spring Push,4348,ERP Add-on,2024-07-27,278,"$2,795.28",Buy N Large,Email Campaign,JPY
"$551,857.20",,387,Widget Pro,2023-12-29,18,"$4,598.81",QuickShip Logistics,Social,GBP
"$301,416.72",H2-23-New Year Promo,1592,Consulting Hours,2023-07-11,95,$866.14,QuickShip Logistics,Website,EUR
"$174,176.83",H1-2024-Summer Blitz,3345,Widget A,2023-07-15,4,"$2,204.77",QuickShip Logistics,Reseller,USD
"$154,227.83",Q2-2024-Holiday Sale  ,3988,Service Plan Enterprise,2025-03-09,47,"$2,112.71",Acme Corp,,EUR
"$191,612.25  ",Q4-23-Cross-sell,2767,Data Pipeline,2025-03-06,356,$851.61,QuickShip Logistics,e-comm,
"$34,208.63  ",H2-24-Spring Push,1506,Service Plan Pro,2024-12-22,334,NULL,QuickShip Logistics,Social Media,JPY
#N/A,H1-2023-Fall Campaign,4456,Data Pipeline,2024-06-05,495,"$4,176.78  ",Wonka Enterprises,Phone,AUD
"$145,402.40",Q4-2023-Upsell,4655,Gadget Mini,2023-08-29,273,$360.80,QuickShip Logistics,Referral,AUD
"$64,380.87",Q1-2024-Retention,1143,Widget B,2024-07-11,262,"$1,749.35",QuickShip Logistics,affiliate,USD
"$147,635.28",H2-2023-Email Blast,805,CRM Module,2024-10-30,300,"$2,050.49  ",QuickShip Logistics,DIRECT,CAD
"$321,752.97",Q3-2024-New Year Promo,3680,Marketing Suite,2024-07-26,120,"$1,008.63",QuickShip Logistics,Channel Partner,JPY
"$864,273.24",Q2-24-Social Push,1131,Widget B,2024-04-17,51,"$1,778.34  ",Acme Corp,direct,USD
"$522,817.40",Q4-23-New Year Promo,-,Software Subscription,2025-04-02,228,"$1,413.02",QuickShip Logistics,Web,EUR
"$906,099.21",H1-23-Product Launch,-,Training Package,2023-10-19,263,"$3,393.63",Hooli Inc,affiliate,EUR
"$263,481.33",Q4-2023-New Year Promo,4038  ,Service Plan Enterprise,2025-05-07,227,$545.51,QuickShip Logistics,email,
"$64,210.32  ",Q2-24-Webinar Series,3887,Gadget Mini,2024-07-20,43,"$3,567.24",QuickShip Logistics,in-store,USD
"$69,720.91",FY-24-Spring Push,1950,Widget A,null,306,"$4,101.23",QuickShip Logistics,Phone,AUD
NA,Q2-23-Email Blast,336,Security Bundle,2024-03-05,418,"$1,565.18",QuickShip Logistics,online,CAD
"$707,379.18",Q4-2024-Upsell,3244,Cloud Storage 1TB,2023-11-14,82,"$1,932.73",Pinnacle Analytics,Phone,JPY
"$93,552.84",,4470,Analytics Dashboard,2023-11-30,93,"$2,598.69  ",QuickShip Logistics,,
"$761,539.40",Q1-23-Spring Push,4004,Analytics Dashboard,2024-06-24,108,"$3,493.30",QuickShip Logistics,partner,GBP
"$566,429.39",Q2-2024-New Year Promo,3807,CRM Module,2025-04-17,221,"$3,164.41",Planet Express,social,EUR
N/A,Q4-2024-Holiday Sale,912,Widget A,2025-06-09,214,$482.54,QuickShip Logistics,ecommerce,EUR
"$105,531.70",H2-23-Retention,519,Widget A,2024-11-17,402,$555.43,Tyrell Corporation,phone,AUD
"$1,646,699.33",Q4-2024-Fall Campaign,212,Widget Pro,,35,"$3,930.07",QuickShip Logistics,social media,JPY
"$920,040.66",Q1-23-Black Friday,1170,Widget A,2024-05-27,489,"$4,867.94",QuickShip Logistics,,USD
"$205,827.44",H2-2024-Brand Awareness,4449,Support Tier 1,2023-11-23,140,$565.46,QuickShip Logistics,Email Campaign,AUD
"$2,269,104.84",H2-2023-Trade Show,932,Service Plan Enterprise,2024-01-07,25,"$4,668.94",QuickShip Logistics,in-store,CAD
"$515,364.60",FY-2024-Email Blast,16,Widget A,2024-02-14,488,"$1,689.72",QuickShip Logistics,PARTNER,
"$702,590.76",FY-23-Product Launch,,Hardware Unit,2024-07-06,43,"$1,815.48",QuickShip Logistics,referral,USD
"$1,049,461.10",H1-2023-Cross-sell,3791,Hardware Unit,2025-01-04,301,"$3,830.15",QuickShip Logistics,affiliate,
"$773,676.53",Q3-23-Product Launch,4213,API Access,2024-05-18,173,"$2,471.81",QuickShip Logistics  ,Direct,CAD
"$1,989,624.00",Q4-24-Product Launch,267,Security Bundle,2024-07-03,53,"$4,145.05",QuickShip Logistics,social media,CAD
"$24,789.65",,3284,Gadget X,2023-08-06,410,"$4,957.93",Initech Solutions,field,GBP
"$1,214,384.20",FY-2023-Social Push,816,Cloud Storage 1TB,2024-11-26  ,303,"$3,327.08",GreenLeaf Energy,Channel Partner,AUD
"$1,135,132.25",H2-24-Upsell,2274,Data Pipeline,2023-11-16,-,"$3,043.25",,email,GBP
"$1,424,818.56",Q1-24-Social Push,1777,Data Pipeline,2024-04-09,150,"$2,943.84",QuickShip Logistics,social media,GBP
"$1,925,613.90",Q4-2023-Brand Awareness,100,Cloud Storage 1TB,2025-02-07,298  ,"$4,826.10",Dunder Mifflin,PARTNER,EUR
"$14,318.59",Q2-24-Spring Push,2970,Other,2024-08-06,238,$35.53,QuickShip Logistics,Telesales,
"$16,899.41",H1-23-Black Friday,-,Cloud Storage 1TB,2025-06-03,207,"$4,193.43",QuickShip Logistics,Direct,EUR
"$1,019,530.14",Q4-2024-Holiday Sale,3327,Software License,2024-12-30,420,"$3,602.58",Brawndo Corp,field,CAD
"$749,052.36",Q2-23-New Year Promo,4895,Software Subscription,2025-03-19,238,"$1,718.01",QuickShip Logistics  ,Retail,CAD
"$27,806.90",Q4-2024-Fall Campaign,1711,Premium Onboarding,2023-08-24,297,$252.79,Oceanic Airlines,ecommerce,
"$321,749.24",Q1-23-Holiday Sale,1884,Software License,2025-06-10,196,$903.79,QuickShip Logistics,email campaign,JPY
"$54,077.60",H1-2024-Summer Blitz,1215,Premium Onboarding,2024-08-14,42,"$1,175.60",QuickShip Logistics,email campaign,USD
"$630,873.30",FY-24-Summer Blitz,,Consulting Hours,2025-06-14,385,"$2,880.70",Planet Express,phone,GBP
"$1,422,100.88",FY-2023-Fall Campaign,3284,Widget Pro,2023-11-07,29,"$3,210.16",,retail,GBP
"$79,513.53",Q3-2023-Social Push,3459,MISC  ,2024-12-04,137,missing,QuickShip Logistics,Email Campaign,AUD
"$1,160,785.50",Q1-23-Summer Blitz,2671,Marketing Suite,2023-09-03,83,"$4,737.90",QuickShip Logistics,e-comm,  
"$1,496,266.72",FY-24-Retention,188,Analytics Dashboard,2023-11-21,  ,"$4,921.93",DataWave Inc,Retail,JPY
"$658,111.06",H1-24-Product Launch,3723  ,Cloud Storage 1TB,2023-12-05,376,"$4,507.61",QuickShip Logistics,Website,EUR
"$277,022.70",Q2-24-Social Push,null,Support Tier 1,2024-11-17,493,$982.35,QuickShip Logistics,In-Store,JPY
"$158,349.60",FY-2024-Product Launch,3467,Cloud Storage 1TB,2024-11-16,20,"$4,398.60",Spacely Sprockets,Web,AUD
"$675,421.84",,4429,Cloud Storage 5TB,2023-12-29,167,"$3,536.24",Soylent Corp,Phone  ,USD
"$52,542.27",Q3-24-Cross-sell,,Service Plan Pro,2024-09-13,248,$176.91,QuickShip Logistics,,
"$129,258.36",Q4-2024-Black Friday,1531,Software License,2023-09-28,420,"$3,916.92",Oscorp Technologies,,CAD
"$514,317.30",H1-2024-Trade Show,53,ERP Add-on,2025-05-17,377,"$2,449.13  ",QuickShip Logistics,e-comm,USD
"$1,290,286.92",Q1-24-Email Blast,245,Support Tier 1,2025-03-07,167,"$2,893.02",QuickShip Logistics,Web,EUR
"$163,700.53",,4756,ERP Add-on,2023-11-22,42,$497.57,QuickShip Logistics,Online,GBP
"$1,439,103.25",Q3-23-Email Blast,3596,N/A,2024-09-22,123,"$4,428.01",Tyrell Corporation,email,JPY
"$163,522.32",Q4-24-Upsell,13,Analytics Dashboard,null,53,"$1,572.33",QuickShip Logistics,affiliate,
"$404,799.12",Q4-23-Email Blast,1190,Widget B,2025-03-17,351,"$3,748.14",QuickShip Logistics,phone,JPY
"$45,219.44",H2-2023-Holiday Sale,3372,Marketing Suite,2025-04-07,,"$3,229.96",QuickShip Logistics,ecommerce,CAD
"$120,643.22",H1-23-Spring Push,3908,Data Pipeline,2025-06-18,,"$3,548.33",QuickShip Logistics,ONLINE  ,EUR
"$79,040.84",Q4-24-Social Push,176,-,2024-12-26,434,"$1,681.72",QuickShip Logistics,ONLINE  ,
"$281,280.54",H2-23-New Year Promo,,Service Plan Pro,2024-03-19,3,$626.46,QuickShip Logistics,In-Store,AUD
"$2,025,576.04",,137,Premium Onboarding,2024-08-29,250,"$4,228.76",QuickShip Logistics,In-Store  ,AUD
"$1,512,225.00",Q2-2023-Upsell,123,Service Plan Basic,2023-08-04,251,"$3,217.50",Dunder Mifflin,web,EUR
"$812,710.32",Q3-24-Email Blast,1976,Premium Onboarding,2024-01-24,295,"$3,150.04  ",QuickShip Logistics,email,GBP
"$1,314,238.50",Q2-24-Upsell,3240,Training Package,2024-05-11,52,"$4,867.55",QuickShip Logistics,,JPY
"$1,185,782.56",H1-23-Fall Campaign,1265,Support Tier 1,2024-06-05,353  ,"$2,770.52",QuickShip Logistics,ONLINE,GBP
"$280,279.44",Q4-2023-Social Push,1377,Data Pipeline,2025-02-18,,"$1,297.59",QuickShip Logistics,phone,EUR
"$159,679.46",Q4-24-Webinar Series,1772,Cloud Storage 1TB,2023-10-25,500,"$1,506.41",QuickShip Logistics,Social Media,AUD
"$53,161.50",,2422,Software License,2024-09-09,405,"$1,063.23",,ecommerce,JPY
"$240,850.84",Q4-2023-Spring Push,,Service Plan Pro,2025-01-12,246,$774.44  ,QuickShip Logistics,DIRECT,AUD
,,,,,,,,,
,,,,,,,,,
