Exported from Nakatomi Trading CRM on 2026-03-08,,,,,,,,,,,,,,
Leads,Unit Price,Region,Ad Spend,Date,Campaign,Status,Company,Quantity,Revenue,Conversions,Product,Sales Rep,Channel,Waehrung
1756,"229,96",United States,"43560,09",2023/10/05,Q4-2023-New Year Promo,Pending,Nakatomi Trading,148.00,"34034,08",449,Cloud Storage 5TB,frank wilson,DIRECT,CAD
3154,"3937,18",United Kingdom,"22522,85",2024/10/16,FY-24-Email Blast,Qualified,Nakatomi Trading,27,"106303,86",N/A,API Access,frank wilson,Affiliate,JPY
270,"813,01",EMEA,"36705,03",2023/09/15,Q4-2024-Brand Awareness,open,QuickShip Logistics,105.0,"85366,05",325,Service Plan Basic,Jane Doe,Email Campaign,EUR
1177,"2513,83",Australia,"41215,85",2023/10/05,H2-2024-Fall Campaign,in progress,Nakatomi Trading,393,"987935,19",496,Analytics Dashboard,Jake Thomas,,USD
2679,"3517,18",Asia Pacific,"32714,36",2025/02/10,Q2-23-Trade Show,Qualified,Nakatomi Trading,407,"1431492,26",489,Support Tier 1,I. Anderson,ecommerce,JPY
2579,"3741,45",MEA,"16705,03",null,Q3-24-Retention,Lead,Virtucon,140,"523803,00",272,API Access,frank wilson,RETAIL,JPY
2240,"4689,37",EMEA,"17144,40",2024/10/18,Q1-24-Webinar Series,qualified,Nakatomi Trading,106,"497073,22",231,Training Package,JOHN SMITH,Retail,USD
975,,EU,,2025/01/09,FY-24-Brand Awareness,PENDING,Nakatomi Trading,N/A,"101175,17",116,Premium Onboarding,bob williams,field,JPY
2915,"3695,77",Africa,"3534,08",2024/03/24,FY-23-Retention,Closed-Lost,Cyberdyne Systems,308,"1138297,16",302,CRM Module,Henry Taylor,Store,AUD
4737,"2607,65",Latin America,null,2025/03/27,FY-23-Black Friday,Won,Nakatomi Trading,106,"276410,90",N/A,Hardware Unit,J. Doe,online,GBP
,"4091,72",??,"24198,64",2023/07/21,H1-24-Summer Blitz,Closed-Lost,Nakatomi Trading,389,"1591679,08",324,Cloud Storage 5TB,C. Davis,online,CAD
2141,"3813,98",EMEA,"9958,31",TBD,Q3-23-Upsell,Closed-Won,Nakatomi Trading,285,"1086984,30",494,Software License,Carol Davis,In-Store,GBP
1363,"2796,23",SA,"20382,61",2024/03/04,Q3-2023-Cross-sell,negotiation,Nakatomi Trading,132.00,"369102,36",290,Support Tier 1,L. Harris,Direct Sales,CAD
3783,"2848,11",ANZ,"5365,59",2025/01/31,H1-24-Trade Show,CL,Nakatomi Trading,281.0,"800318,91",300,Widget A,grace lee,Direct Sales,AUD
1117,"3954,40",Latin America,"9368,37",2024/11/28,Q2-23-Webinar Series,Open,Nakatomi Trading,72,"284716,80",32,Support Tier 2,david brown,phone,GBP
1758,"619,51",Middle East,"48529,93",2024/06/03,Q1-24-Trade Show,Closed Won,Pinnacle Analytics,411,"254618,61",N/A,Widget B,J. Doe,partner,GBP
3901,"2308,77",South America,"39436,82",2024/05/06,FY-24-Summer Blitz,pending,Nakatomi Trading,91.00,"210098,07",416,Widget A,Leo Harris,DIRECT,EUR
2208,"2238,70",ASIAPAC,"10597,64",2023/08/25,Q3-2024-Product Launch,closed won,Nakatomi Trading,111,"248495,70",240,Premium Onboarding,H. Taylor,social media,AUD
