Exported from Umbrella Ltd CRM on 2026-03-08||||||||
quantity|salesRep|productName|saleDate|salesRegion|unitPrice|campaignName|companyName|totalRevenue
465|A. Johnson|Training Package|2024/05/06|UK|USD 2,752.81|Q4-2024-Trade Show|Umbrella Ltd|USD 1,280,056.65
375.00|L. Harris|Gadget X|2025/05/29|North America|USD 2,822.09|H1-2024-Black Friday|Umbrella Ltd|USD 1,058,283.75
444.0|I. Anderson|Marketing Suite|2025/05/08|United States|USD 50.65|Q4-24-Brand Awareness|Umbrella Ltd|USD 22,488.60
175.0|henry taylor|Analytics Dashboard|2024/09/11|MEA|USD 4,430.16||Genco Pura|USD 775,278.00
275.00|TBD|Training Package|2025/03/06|N. America|USD 3,564.69|FY-24-Brand Awareness|Umbrella Ltd|USD 980,289.75
471|Jane Doe|Widget A|2025/10/06|USA||Q4-23-Summer Blitz|Umbrella Ltd|
420.00|Grace Lee|Hardware Unit|2024/01/30|USA|USD 1,946.26|Q3-2024-New Year Promo|Umbrella Ltd|USD 817,429.20
293|Bob Williams|Marketing Suite|2024/07/24|EU|USD 2,239.63|Q2-23-Email Blast|Wayne Corp|USD 656,211.59
268.00|jake thomas|Analytics Dashboard|2025/11/04|EMEA|USD 4,433.29||Umbrella Ltd|USD 1,188,121.72
235|K. White|Software License|2024/08/17|United States|USD 1,419.95||Umbrella Ltd|USD 333,688.25
366.00|H. Taylor|Gadget X|2025/08/27|North America|USD 1,507.41|H2-23-Fall Campaign|Umbrella Ltd|USD 551,712.06
169|iris anderson|MISC|2025/01/22|USA|USD 1,700.23|Q1-2024-Spring Push|Umbrella Ltd|USD 287,338.87
91|G. Lee|ERP Add-on|2024/08/17|-|USD 401.46|H1-2024-Summer Blitz|Umbrella Ltd|USD 36,532.86
69|jake thomas|Other|2024/06/07|USA|USD 1,649.59|Q2-2023-Fall Campaign|Umbrella Ltd|USD 113,821.71
0|leo harris|Cloud Storage 5TB|2025/01/05|NA|USD 4,795.52|Q1-2024-Product Launch|Umbrella Ltd|NA
427|D. Brown|Cloud Storage 1TB|2024/08/10|N. America|USD 3,919.82|Q4-23-Webinar Series|Umbrella Ltd|USD 1,673,763.14
132.0|leo harris|Service Plan Enterprise|2025/08/07|MEA|USD 57.37|Q3-2024-Webinar Series|Umbrella Ltd|USD 7,572.84
199|frank wilson|CRM Module|2023/12/08|ASIAPAC|USD 991.37||Umbrella Ltd|USD 197,282.63
496.00|Eva Martinez|Software Subscription|pending|ASIAPAC|USD 2,602.47|Q2-24-Summer Blitz|Umbrella Ltd|USD 1,290,825.12
327|N/A|Other|2024/07/09|United States|USD 1,291.63|Q4-23-Summer Blitz|Umbrella Ltd|USD 422,363.01
169.0|Mia Clark|Other|2025/02/19|US|USD 4,534.92|Q4-23-New Year Promo|Umbrella Ltd|USD 766,401.48
107|John Smith|Gadget Mini|2025/08/09|EMEA|USD 3,243.83|H2-23-Brand Awareness|Umbrella Ltd|USD 347,089.81
88.00|G. Lee|API Access|2025/09/24|EMEA|USD 770.85|H1-24-Cross-sell|Umbrella Ltd|USD 67,834.80
348.0|A. Johnson|Hardware Unit|2025/01/24|NA|USD 4,111.60|H2-2023-Black Friday||USD 1,430,836.80
108.0|john smith|Support Tier 2|2025/09/03|Middle East|USD 2,241.56|Q3-2024-Brand Awareness|Umbrella Ltd|USD 242,088.48
353|A. Johnson|Service Plan Pro|2024/11/07|ASIAPAC|USD 2,404.36||Brawndo Corp|USD 848,739.08
152|C. Davis|Service Plan Pro|2025/06/16|Latin America|USD 4,471.69|H1-24-New Year Promo|Umbrella Ltd|USD 679,696.88
153|Alice Johnson|Support Tier 2|2024/02/14|US|USD 1,057.94|Q2-23-Summer Blitz|Umbrella Ltd|USD 161,864.82
204.0|Jane Doe|CRM Module|2025/07/10|Middle East|N/A|H1-24-Social Push|AgriGrow Corp|USD 14,715.71
175.0|carol davis|API Access|2025/05/23|MEA|USD 3,602.44|Q4-2024-Webinar Series|QuickShip Logistics|USD 630,427.00
401|Carol Davis|Gadget Mini|2023/12/31|SA|USD 635.98|Q2-2023-Summer Blitz|Umbrella Ltd|USD 255,027.98
112||Consulting Hours|2025/03/19|United States|USD 2,222.63|Q4-23-Spring Push|Soylent Corp|USD 248,934.56
165|L. Harris|Service Plan Basic|2025/01/24|NA|USD 1,085.34|H1-2024-Social Push|Hooli Inc|USD 179,081.10
65.0|E. Martinez|Support Tier 2|2025/03/10|ANZ|USD 480.62|H2-24-Product Launch|Umbrella Ltd|USD 31,240.30
43|E. Martinez|Support Tier 2|2024/11/26|Asia Pacific|USD 136.66|Q4-2023-Black Friday|Umbrella Ltd|USD 5,876.38
314|J. Smith|Analytics Dashboard|2024/12/08|Latin America|USD 2,630.56|H2-2024-Summer Blitz|Wonka Enterprises|USD 825,995.84
-|J. Thomas|Support Tier 2|2024/01/11|United Kingdom|USD 4,433.52|Q1-2024-Upsell|NovaTech Solutions|USD 6,115.61
335|Frank Wilson|Consulting Hours|2024/02/12|EMEA|USD 4,522.83|Q4-24-Retention|Umbrella Ltd|USD 1,515,148.05
1.00|Leo Harris|API Access|null|EU|USD 4,178.56|H2-2024-Upsell|Umbrella Ltd|USD 4,178.56
295.0|L. Harris|Service Plan Basic||SA|USD 4,838.29||Sterling Cooper|USD 1,427,295.55
259|Eva Martinez|Software Subscription|2025/07/11|-|USD 2,660.83|Q3-2024-Email Blast|Umbrella Ltd|USD 689,154.97
166|E. Martinez|Support Tier 2|2024/12/29|ANZ|USD 4,487.90|H2-2024-Trade Show|QuickShip Logistics|USD 744,991.40
144.00|John Smith|ERP Add-on|2024/06/18|Latin America|USD 2,376.10|Q3-23-Retention|Umbrella Ltd|USD 342,158.40
257.0|Henry Taylor|Service Plan Pro|2024/12/16|Latin America|USD 2,070.10|H2-2023-Retention|Umbrella Ltd|USD 532,015.70
136.0|leo harris|Analytics Dashboard|2024/11/26|??|USD 170.62|H1-2023-Brand Awareness|Umbrella Ltd|USD 23,204.32
337.0|M. Clark|Analytics Dashboard|2024/05/04|Europe|USD 1,882.62|H1-24-Holiday Sale|Soylent Corp|USD 634,442.94
161|carol davis|CRM Module|2024/10/03|North America|USD 2,707.03||Cyberdyne Systems|USD 435,831.83
470|Karen White|Widget A|TBD|UK|USD 2,909.77|Q1-23-Spring Push|Umbrella Ltd|USD 1,367,591.90
162|Jane Doe|Training Package|2024/03/05|North America|USD 4,052.60|Q2-2023-Fall Campaign|Umbrella Ltd|USD 656,521.20
35|Unassigned|Software License|2024/12/20|US|USD 2,333.14|H1-24-Product Launch|Umbrella Ltd|USD 81,659.90
63.00|jane doe|Gadget X|2024/10/15|Middle East|USD 4,514.52|Q3-2024-Cross-sell|Umbrella Ltd|USD 284,414.76
-|Jake Thomas|Widget B|2025/08/09|SA|USD 1,591.15|H2-24-Brand Awareness|Umbrella Ltd|NULL
127.00|B. Williams|Support Tier 2|2024/07/14|Latin America|USD 821.94|Q3-2024-Holiday Sale|Oceanic Airlines|USD 104,386.38
90|Eva Martinez|Widget A|2024/08/10|Africa|USD 3,708.30|Q2-2024-Summer Blitz||USD 333,747.00
150.0|jake thomas|Support Tier 1|2025/09/21|EMEA|USD 1,769.49|H1-24-Upsell|Umbrella Ltd|USD 265,423.50
123.00|J. Thomas|Marketing Suite|2025/09/25|ASIAPAC|USD 115.62|Q3-2024-Brand Awareness|Umbrella Ltd|USD 14,221.26
288|Eva Martinez|Gadget Mini|2024/02/19|Latin America|USD 85.44|Q4-2024-Cross-sell|Umbrella Ltd|USD 24,606.72
488.0|H. Taylor||2024/02/03|EU|USD 3,508.57||Wonka Enterprises|USD 1,712,182.16
109.0|leo harris|API Access|null|Asia Pacific|USD 4,529.67|Q1-2023-Product Launch||USD 493,734.03
414|M. Clark|Widget B|2024/06/21|North America|USD 3,394.96||Umbrella Ltd|USD 1,405,513.44
463|J. Doe|Service Plan Enterprise|2024/04/03|Africa|USD 3,208.91|Q2-2023-Spring Push|Umbrella Ltd|USD 1,485,725.33
65|carol davis|Training Package|2024/11/22|MEA|USD 470.28||Umbrella Ltd|USD 30,568.20
159.0|Frank Wilson|Software Subscription|2025/08/01|United States|USD 3,944.58|H2-23-Spring Push|Umbrella Ltd|USD 627,188.22
22.0|A. Johnson|Cloud Storage 1TB|2024/05/04|N. America|USD 1,152.62|H2-23-New Year Promo|Umbrella Ltd|USD 25,357.64
130.00|M. Clark|Hardware Unit|2024/12/01|ANZ|USD 4,559.98|FY-2023-Email Blast|Umbrella Ltd|USD 592,797.40
30.00|bob williams|Marketing Suite|2024/11/26|LATAM|USD 4,846.17|Q2-2024-Holiday Sale|Wayne Corp|USD 145,385.10
362.00|J. Doe|Widget Pro|2023/12/22|MEA|USD 1,817.11|FY-2024-Fall Campaign|Umbrella Ltd|USD 657,793.82
95.0|jane doe|CRM Module|2025/09/10|??|USD 3,344.44||Virtucon|USD 317,721.80
225.0|TBD|N/A|2025/04/05|EU|USD 4,648.07|Q1-2023-Summer Blitz|Umbrella Ltd|USD 1,045,815.75
340|iris anderson|Premium Onboarding|2023/12/22|N. America|USD 3,854.88|Q4-2023-New Year Promo|Umbrella Ltd|USD 1,310,659.20
57.0|jane doe|Widget A|2025/11/04|South America|USD 4,409.76|Q1-2023-Email Blast|FreshCart|USD 251,356.32
237|H. Taylor|Service Plan Basic|2024/04/28|Unknown|USD 698.89|Q1-23-Retention|Umbrella Ltd|USD 165,636.93
470.0||Widget Pro|2025/11/23|USA|USD 1,181.46|H1-2024-Summer Blitz|Umbrella Ltd|USD 555,286.20
174.00|E. Martinez|Service Plan Enterprise|2025/02/24|United Kingdom|USD 4,817.44|H2-2023-Cross-sell|Umbrella Ltd|USD 838,234.56
212|Jake Thomas|Consulting Hours|2024/10/25|Latin America|USD 2,275.51|FY-2024-Email Blast|TrueNorth Financial|USD 482,408.12
65|K. White|Data Pipeline|2025/02/08|SA|USD 4,539.32|Q2-2024-Brand Awareness|Umbrella Ltd|USD 295,055.80
495|Karen White|ERP Add-on|2025/02/10|United States|USD 194.13|H2-2023-Social Push|AgriGrow Corp|USD 96,094.35
216.0|carol davis|Data Pipeline|2024/07/05|NA|NA||Umbrella Ltd|#N/A
42.00|L. Harris|Cloud Storage 5TB|2024/04/29|NA|USD 4,689.26|FY-2023-Spring Push|Umbrella Ltd|USD 196,948.92
233.0|karen white|Consulting Hours|2025/11/07|EU|USD 2,191.47|Q3-2023-Black Friday|Umbrella Ltd|USD 510,612.51
445.0|Bob Williams|Consulting Hours|2024/07/03|EMEA|USD 4,248.42|Q1-2024-Cross-sell|Acme Corp|USD 1,890,546.90
386|eva martinez|Widget Pro|2025/08/03|ANZ|USD 3,283.97|Q4-2023-Spring Push|Umbrella Ltd|USD 1,267,612.42
236|carol davis|Premium Onboarding|2025/07/25|SA|#N/A|FY-2023-Product Launch|Dunder Mifflin|USD 38,087.17
476.0|H. Taylor|Premium Onboarding|2025/05/16|ANZ||H1-24-New Year Promo|Weyland Corp|USD 53,752.13
null|I. Anderson|API Access|2025/10/28|ANZ|USD 3,597.60|H2-24-Fall Campaign|Umbrella Ltd|USD 66,359.11
226|F. Wilson|Widget A|2025/01/01|Africa|USD 3,566.21|FY-23-Holiday Sale|Umbrella Ltd|USD 805,963.46
470.00|Jake Thomas|Cloud Storage 5TB|2024/01/05|SA|USD 2,968.22|Q2-2024-Brand Awareness|Bluth Company|USD 1,395,063.40
256.0|Karen White|Widget A|2024/05/03|LATAM|USD 3,756.78|H1-2024-Holiday Sale|Umbrella Ltd|USD 961,735.68
83|Alice Johnson|Widget B|2024/10/26|ASIAPAC|-|Q1-2024-Black Friday|Umbrella Ltd|USD 230,373.70
