Sales Channel,Units Sold,Total Amount,Product / Service,Marketing Leads,Company Name,Campaign ID,Price Per Unit,Closed Deals,Transaction Date,Deal Status,Comments
in-store,491,"1,471,664.48 USD",Service Plan Basic,1278,Spacely Sprockets,,"2,997.28 USD",398,"May 23, 2023",negotiation,
RETAIL,41.00,"104,434.79 USD",Software Subscription,2965,Oceanic Airlines,H2-2024-Black Friday,"2,547.19 USD",322,"November 13, 2024",WON,
call center,310,"1,089,860.80 USD",Hardware Unit,4567,Oceanic Airlines,H2-24-Upsell,"3,515.68 USD",483,"October 27, 2023",CLOSED WON,renewal
In-Store,178.00,"783,066.50 USD",Security Bundle,1426,Oceanic Airlines,Q3-2024-Trade Show,"4,399.25 USD",N/A,"December 06, 2023",in progress,bulk order
email,N/A,"244,031.17 USD",Gadget Mini,1997,Wayne Corp,,missing,231,"October 23, 2024",lead,
,375,"749,137.50 USD",Data Pipeline,1442,Oceanic Airlines,H2-2023-Brand Awareness,"1,997.70 USD",300,"March 29, 2024",Lost,NET30 terms
Field Sales,140.0,"222,282.20 USD",Widget B,885,BrightPath Media,Q1-2024-Summer Blitz,"1,587.73 USD",N/A,"April 28, 2024",LOST,
Web,256,"723,886.08 USD",Service Plan Enterprise,3464,Oceanic Airlines,Q1-23-Brand Awareness,"2,827.68 USD",202,"April 23, 2023",pending,
email,325,"224,311.75 USD",Cloud Storage 1TB,2119,Oceanic Airlines,Q1-24-Fall Campaign,690.19 USD,118,"December 10, 2023",LOST,escalated
reseller,415.0,"1,692,179.10 USD",Software Subscription,960,Wonka Enterprises,H2-23-Webinar Series,"4,077.54 USD",-,"August 13, 2024",Lost,
referral,398.0,"684,528.16 USD",Premium Onboarding,null,Oceanic Airlines,H1-2023-New Year Promo,"1,719.92 USD",106,"October 22, 2023",CLOSED WON,follow up needed
partner,41,"199,668.77 USD",Consulting Hours,710,Oceanic Airlines,Q3-2024-Email Blast,"4,869.97 USD",113,"February 12, 2024",closed lost,
Phone,98.0,"251,306.30 USD",Gadget Mini,,Oceanic Airlines,Q3-23-Retention,"2,564.35 USD",192,"September 17, 2024",CLOSED LOST,
online,20,"13,292.60 USD",ERP Add-on,3639,Oceanic Airlines,FY-23-Brand Awareness,664.63 USD,482,"September 06, 2023",lead,
online,376.00,"663,316.64 USD",Widget Pro,4175,Oceanic Airlines,Q1-2024-Social Push,"1,764.14 USD",166,"July 07, 2023",Open,
E-Commerce,22,"9,123.62 USD",,4066,Oceanic Airlines,Q2-23-New Year Promo,414.71 USD,191,"August 20, 2023",Proposal,
direct,143.00,"176,380.49 USD",API Access,1056,Vandelay Ind,Q1-24-Fall Campaign,"1,233.43 USD",N/A,"October 22, 2023",Lost,returned
Direct Sales,441,"777,487.41 USD",Service Plan Pro,1109,Oceanic Airlines,,"1,763.01 USD",372,pending,Qualified,new customer
Email,0,missing,Software Subscription,3014,PixelForge Studios,Q1-24-Social Push,354.30 USD,95,"March 02, 2024",CLOSED LOST,
ecommerce,270,"658,789.20 USD",Support Tier 1,2699,Oceanic Airlines,Q4-2023-Fall Campaign,"2,439.96 USD",N/A,"November 29, 2024",Proposal,CEO referral
,260,"829,478.00 USD",Gadget X,-,Tyrell Corporation,Q2-24-Cross-sell,"3,190.30 USD",203,"May 20, 2023",Qualified,
Telesales,318.0,"1,045,971.96 USD",Software Subscription,2022,Cyberdyne Systems,Q4-2023-Brand Awareness,"3,289.22 USD",372,"December 16, 2024",closed lost,
,309,"158,621.72 USD",N/A,1271,HealthPlus Pharma,H1-2024-Fall Campaign,-,234,"January 08, 2024",Negotiation,
Social Media,432.0,"1,271,095.20 USD",Marketing Suite,1389,,Q3-24-Summer Blitz,"2,942.35 USD",384,null,proposal,
email campaign,439,"533,398.17 USD",CRM Module,3337,Oceanic Airlines,Q1-23-Spring Push,"1,215.03 USD",172,"August 29, 2023",CLOSED WON,
in-store,169.00,"157,161.55 USD",Widget B,788,Buy N Large,Q1-2024-Social Push,929.95 USD,478,"December 19, 2024",open,bulk order
email,31.0,"54,939.75 USD",Security Bundle,176,SummitView Hotels,FY-2024-Spring Push,"1,772.25 USD",402,"January 28, 2025",PENDING,
partner,148,"136,493.00 USD",Security Bundle,3691,Bluth Company,Q3-2023-Brand Awareness,922.25 USD,143,"September 13, 2023",Open,
Referral,106.00,"248,532.90 USD",Service Plan Enterprise,3084,Oceanic Airlines,Q1-2023-Retention,"2,344.65 USD",3,"October 02, 2023",Qualified,pending approval
email,121.0,"78,195.04 USD",Hardware Unit,4239,Oceanic Airlines,H2-2023-Spring Push,646.24 USD,250,"October 09, 2023",Lead,follow up needed
Social,346,"1,316,024.84 USD",N/A,4765,,H2-2023-Summer Blitz,"3,803.54 USD",123,"April 28, 2024",Qualified,
Social,1,484.15 USD,Training Package,3410,Oceanic Airlines,Q2-23-Summer Blitz,484.15 USD,194,"January 03, 2024",Lost,
in-store,253.0,"1,133,407.11 USD",API Access,-,Cyberdyne Systems,Q1-23-Trade Show,"4,479.87 USD",N/A,"June 11, 2023",Negotiation,
call center,203.0,"535,308.97 USD",Widget Pro,2902,Oceanic Airlines,,"2,636.99 USD",363,"September 08, 2024",open,
email campaign,300.0,"334,359.00 USD",Widget B,4412,Cyberdyne Systems,,"1,114.53 USD",-,"December 06, 2024",Lost,
partner,488,"268,780.64 USD",Support Tier 1,2669,Oceanic Airlines,H2-23-Social Push,550.78 USD,0,"July 09, 2023",in progress,new customer
web,200,"125,130.00 USD",Security Bundle,4422,Oceanic Airlines,Q4-24-Fall Campaign,625.65 USD,25,"February 18, 2025",closed won,
Email,344,"255,179.20 USD",Hardware Unit,null,Oceanic Airlines,Q2-2024-Brand Awareness,741.80 USD,,"August 16, 2024",Closed Lost,
in-store,-,"246,902.33 USD",Data Pipeline,2283,Oceanic Airlines,Q1-24-Summer Blitz,998.53 USD,95,"December 25, 2023",Open,CEO referral
online,105.00,"300,090.00 USD",Cloud Storage 1TB,732,,,"2,858.00 USD",424,"October 12, 2024",In Progress,
social media,166,"161,282.28 USD",Software Subscription,2648,Oceanic Airlines,Q3-2024-New Year Promo,971.58 USD,164,"August 24, 2023",closed lost,
Direct,357,"1,331,338.68 USD",Analytics Dashboard,4619,Oceanic Airlines,FY-2024-Email Blast,"3,729.24 USD",404,"August 31, 2023",CLOSED WON,
ecommerce,102,"351,101.34 USD",Support Tier 2,255,Oceanic Airlines,Q2-24-Brand Awareness,"3,442.17 USD",16,N/A,Lost,
Partner,23,"17,881.58 USD",Analytics Dashboard,2763,Oceanic Airlines,Q1-2024-Trade Show,777.46 USD,279,"September 24, 2023",Lost,
