Sales Channel,Account Executive,Geographic Region,Marketing Spend,Marketing Leads,Total Amount,Transaction Date,Deal Status,Campaign ID,Product / Service,Closed Deals,Company Name
Store,leo harris,Middle East,$48551,937,$173982,"August 21, 2024",in progress,H2-2024-Webinar Series,Premium Onboarding,284,AgriGrow Corp
email campaign,mia clark,LATAM,$22916,879,$607655,"September 06, 2023",in progress,Q3-23-Trade Show,Marketing Suite,220,AgriGrow Corp
Social Media,grace lee,Asia,$42320,4911,$638892,N/A,open,H2-2023-Upsell,Software License,6,Krusty Burger LLC
,Eva Martinez,N. America,$16403,4293,$88926,"November 03, 2024",CLOSED WON,Q3-2024-Upsell,CRM Module,177,Bluth Company
,H. Taylor,APAC,,1780,$821034,"September 12, 2024",In Progress,H1-23-Product Launch,Service Plan Pro,12,NovaTech Solutions
Direct Sales,david brown,Australia,$46721,3658,$41761,"September 12, 2023",negotiation,FY-24-Fall Campaign,Service Plan Basic,452,AgriGrow Corp
Store,N/A,United States,$7720,1215,$124416,"February 10, 2025",Closed Won,H2-24-Retention,Widget Pro,,AgriGrow Corp
Web,L. Harris,EMEA,$358,3364,$24636,"January 04, 2025",Negotiation,Q3-23-Holiday Sale,Consulting Hours,243,SummitView Hotels
DIRECT,Frank Wilson,United States,$41663,2870,$382010,"January 16, 2024",Closed-Won,Q3-2024-Webinar Series,Service Plan Enterprise,341,AgriGrow Corp
Social Media,frank wilson,USA,$20447,N/A,$433253,"December 07, 2023",Pending,H2-23-Product Launch,ERP Add-on,30,Stratton Oakmont
web,N/A,Asia Pacific,$32255,3919,$42801,"December 18, 2024",CW,FY-2024-Brand Awareness,Service Plan Basic,54,Planet Express
Social Media,bob williams,EU,$28198,3431,$497874,"August 25, 2024",Lead,Q4-23-Retention,Widget B,316,AgriGrow Corp
RETAIL,alice johnson,UK,$43540,146,$638636,TBD,CW,Q3-23-Holiday Sale,Gadget X,24,AgriGrow Corp
Retail,A. Johnson,UK,$38011,2793,$56267,"July 05, 2025",WON,H2-24-Social Push,Premium Onboarding,50,Stratton Oakmont
in-store,eva martinez,Unknown,$47509,1782,$182360,"December 06, 2023",LOST,FY-23-Social Push,Software License,31,AgriGrow Corp
Social Media,frank wilson,USA,$20447,N/A,$433253,"December 07, 2023",Pending,H2-23-Product Launch,ERP Add-on,30,Stratton Oakmont
e-comm,,ANZ,0,238,$1793192,"September 26, 2023",CW,,Data Pipeline,223,Cyberdyne Systems
email campaign,iris anderson,APAC,$21071,1936,$1266785,"August 26, 2023",Lead,Q3-23-Upsell,Support Tier 1,194,AgriGrow Corp
reseller,Bob Williams,Latin America,$5787,216,NULL,"April 20, 2024",Qualified,Q2-2023-Holiday Sale,Widget A,324,AgriGrow Corp
Social Media,JOHN SMITH,Latin America,$35747,228,$317190,"April 30, 2025",Open,Q4-24-Cross-sell,Cloud Storage 5TB,113,AgriGrow Corp
Affiliate,jake thomas,EU,$42744,null,$1200232,"January 26, 2025",pending,Q4-24-Spring Push,Software Subscription,346,AgriGrow Corp
in-store,David Brown,Asia Pacific,$46395,4987,$804939,"April 27, 2025",qualified,Q1-2023-Email Blast,Gadget Mini,490,Prestige Worldwide
,john smith,Africa,$23761,1671,$938,"January 30, 2024",Proposal,H1-2024-Trade Show,Marketing Suite,297,BlueOcean Retail
Channel Partner,JOHN SMITH,Europe,$18254,45,$26143,"December 13, 2023",Closed-Lost,Q2-2024-Product Launch,Hardware Unit,79,AgriGrow Corp
Channel Partner,iris anderson,Britain,$2865,4231,$70301,"October 10, 2024",CW,Q3-2024-Cross-sell,Widget B,433,AgriGrow Corp
Field Sales,frank wilson,USA,$34506,587,$52835,"May 27, 2024",CLOSED LOST,Q1-24-Upsell,Data Pipeline,195,AgriGrow Corp
partner,D. Brown,Africa,$14983,-,$137575,"July 14, 2025",CLOSED WON,H1-2023-Spring Push,Consulting Hours,186,AgriGrow Corp
reseller,M. Clark,APAC,$19215,4795,$1551032,"July 16, 2025",Proposal,H2-24-Holiday Sale,Consulting Hours,188,AgriGrow Corp
online,Eva Martinez,N. America,$48130,3808,$1198893,"March 20, 2025",Proposal,Q2-2023-Summer Blitz,Widget Pro,51,AgriGrow Corp
direct,Alice Johnson,N. America,$17476,4172,$1089314,"March 10, 2024",In Progress,H1-23-Brand Awareness,Software Subscription,23,Initech Solutions
email,L. Harris,North America,$1107,2798,$69537,"February 13, 2025",Qualified,Q4-2023-New Year Promo,Data Pipeline,134,AgriGrow Corp
referral,D. Brown,SA,$7884,889,$107,"March 29, 2024",Proposal,Q4-2024-Product Launch,Cloud Storage 5TB,319,AgriGrow Corp
,Jane Doe,Australia,-,2473,$27079,"February 16, 2024",open,H2-2024-Upsell,Gadget X,257,
Web,iris anderson,Middle East,$41556,3662,$64541,"March 15, 2025",Closed Lost,Q4-2023-Email Blast,Gadget X,105,Stark Industries
call center,JOHN SMITH,US,,4546,$222945,"November 10, 2024",CW,Q1-24-Upsell,ERP Add-on,373,AgriGrow Corp
reseller,david brown,Australia,$114,1880,$34615,"August 22, 2024",proposal,H1-2024-Retention,Analytics Dashboard,135,AgriGrow Corp
Social,L. Harris,Africa,$426,164,$22586,"November 03, 2023",Lost,H1-2024-Brand Awareness,Security Bundle,,AgriGrow Corp
Email Campaign,Grace Lee,ANZ,$41550,4651,-,"March 03, 2024",Closed Lost,Q2-24-Cross-sell,Widget A,488,Massive Dynamic
Phone,F. Wilson,Latin America,$6920,1977,$2218490,"April 16, 2024",closed lost,Q3-24-Upsell,ERP Add-on,50,AgriGrow Corp
Website,F. Wilson,Europe,$272,3005,$855145,"April 22, 2024",Negotiation,FY-24-Fall Campaign,Analytics Dashboard,156,Tyrell Corporation
affiliate,Grace Lee,Britain,$3194,1124,$225260,"August 05, 2024",negotiation,H2-2023-Fall Campaign,Consulting Hours,23,AgriGrow Corp
call center,E. Martinez,Asia,$32543,4833,$230773,,Closed-Lost,Q2-2024-Social Push,Cloud Storage 5TB,9,AgriGrow Corp
Brick & Mortar,L. Harris,Latin America,$12578,2700,$636837,"December 27, 2024",open,Q2-2024-Email Blast,Software Subscription,403,AgriGrow Corp
email,bob williams,Britain,$32949,2280,$577507,"August 20, 2023",PENDING,H1-24-Holiday Sale,Support Tier 2,161,AgriGrow Corp
email campaign,bob williams,UK,$817,2482,$514198,"November 29, 2024",In Progress,Q2-24-Fall Campaign,Security Bundle,399,AgriGrow Corp
referral,J. Smith,Australia,$2122,2116,$1156314,"April 16, 2025",In Progress,H2-24-Cross-sell,Gadget Mini,5,AgriGrow Corp
Social,L. Harris,Africa,$426,164,$22586,"November 03, 2023",Lost,H1-2024-Brand Awareness,Security Bundle,,AgriGrow Corp
phone,Alice Johnson,N. America,$3828,N/A,$350941,"June 29, 2025",Closed Won,Q1-2023-Holiday Sale,CRM Module,281,AgriGrow Corp
e-comm,mia clark,APAC,$46688,2545,$104189,"January 28, 2025",negotiation,FY-2023-Summer Blitz,Training Package,-,TrueNorth Financial
social,E. Martinez,Europe,$11898,1424,$243980,"September 16, 2023",Lead,Q3-24-Holiday Sale,CRM Module,420,AgriGrow Corp
Social Media,D. Brown,EMEA,,4119,$325971,"August 26, 2024",Closed-Won,FY-2023-New Year Promo,MISC,188,Bluth Company
Affiliate,jake thomas,Latin America,$14881,3678,$204401,pending,CLOSED WON,H2-2023-Spring Push,N/A,10,AgriGrow Corp
Social Media,Grace Lee,NA,$15649,-,$441408,"April 04, 2025",closed won,H1-23-Retention,Software Subscription,54,AgriGrow Corp
Call Center,F. Wilson,United States,$17151,1456,$689803,"July 28, 2025",Qualified,Q1-2023-New Year Promo,Software License,381,AgriGrow Corp
Direct,,UK,null,2573,$773674,"May 04, 2024",Lead,Q4-2024-Social Push,Premium Onboarding,126,AgriGrow Corp
Direct Sales,Eva Martinez,-,$28841,560,$87259,"August 28, 2023",Lost,H2-2024-Fall Campaign,Training Package,209,Dharma Initiative
,carol davis,,$28064,260,$161908,"October 16, 2023",closed lost,,Software License,1,Bluth Company
call center,N/A,Unknown,$18125,9,$1020978,"October 09, 2024",Pending,Q2-23-Product Launch,Other,257,AgriGrow Corp
reseller,david brown,Australia,$114,1880,$34615,"August 22, 2024",proposal,H1-2024-Retention,Analytics Dashboard,135,AgriGrow Corp
in-store,Frank Wilson,Asia Pacific,$11944,1810,$255126,"June 04, 2025",in progress,Q4-2023-Summer Blitz,Gadget X,155,AgriGrow Corp
Direct,karen white,LATAM,$14706,595,$231100,"September 14, 2024",Closed Won,Q4-2024-Webinar Series,Cloud Storage 5TB,135,AgriGrow Corp
email,David Brown,US,null,4299,$37642,"September 08, 2023",closed lost,,Support Tier 1,247,AgriGrow Corp
Referral,Unassigned,Asia Pacific,null,4282,$648364,"February 05, 2025",Open,Q4-2024-Spring Push,,155,AgriGrow Corp
direct,M. Clark,Unknown,$5552,3935,$582365,"February 01, 2025",CLOSED LOST,H1-2023-Retention,Service Plan Enterprise,281,Umbrella Ltd
referral,Eva Martinez,Middle East,$49561,3084,$74810,"July 12, 2025",PENDING,Q1-2023-Fall Campaign,Analytics Dashboard,151,AgriGrow Corp
e-comm,David Brown,Asia Pacific,$23816,2526,$85083,"June 13, 2025",Closed-Lost,Q2-2023-Cross-sell,Cloud Storage 1TB,374,AgriGrow Corp
Partner,frank wilson,Asia Pacific,$9676,4478,$1037637,"September 17, 2024",closed won,H1-24-Cross-sell,Training Package,,AgriGrow Corp
online,john smith,Europe,$7769,1676,$41532,"February 15, 2025",Won,FY-2023-Holiday Sale,Widget A,35,AgriGrow Corp
Social,K. White,Asia,$15055,4660,$1120442,"August 15, 2024",qualified,,Widget A,,AgriGrow Corp
field,frank wilson,North America,$3672,4284,$40074,"August 20, 2023",PENDING,FY-2024-Email Blast,Service Plan Enterprise,274,AgriGrow Corp
web,N/A,North America,$30296,4880,$1746146,"September 03, 2023",CW,,Support Tier 1,145,AgriGrow Corp
DIRECT,N/A,USA,$15715,4357,$816950,"February 09, 2025",CW,Q2-2023-Trade Show,Premium Onboarding,315,NovaTech Solutions
Online,Karen White,North America,$4218,1566,$48722,"February 26, 2025",Pending,FY-2023-Social Push,Cloud Storage 5TB,-,PixelForge Studios
social,Jane Doe,NA,$994,2141,$100609,"July 01, 2025",CL,Q3-24-Fall Campaign,Gadget X,104,AgriGrow Corp
RETAIL,Grace Lee,USA,$9222,2435,$1174115,"October 13, 2023",Proposal,Q4-24-Cross-sell,Widget Pro,201,AgriGrow Corp
partner,iris anderson,USA,$19155,null,$168511,"November 05, 2023",in progress,Q4-24-Product Launch,Cloud Storage 1TB,73,Dunder Mifflin
Referral,eva martinez,SA,$34490,2904,$1166920,"January 09, 2024",in progress,,Consulting Hours,359,AgriGrow Corp
Affiliate,G. Lee,N/A,,2551,$306221,"March 19, 2025",closed lost,Q2-23-Fall Campaign,ERP Add-on,177,AgriGrow Corp
ecommerce,John Smith,??,$33478,1885,$1406623,,Closed-Won,H2-2023-Social Push,API Access,220,AgriGrow Corp
reseller,David Brown,Australia,null,1060,$594150,TBD,Lost,Q1-23-Fall Campaign,Service Plan Basic,299,AgriGrow Corp
Social Media,Eva Martinez,Africa,$29165,3684,$516345,"March 26, 2025",pending,FY-24-Brand Awareness,Data Pipeline,325,AgriGrow Corp
Email Campaign,Karen White,ANZ,$16261,1957,$177742,"October 02, 2024",in progress,H2-2023-Brand Awareness,Data Pipeline,200,Oscorp Technologies
partner,Eva Martinez,ASIAPAC,$15884,3821,$220494,"March 28, 2025",Lead,Q2-23-Holiday Sale,Service Plan Enterprise,167,AgriGrow Corp
PARTNER,leo harris,APAC,$38749,1333,$357665,"February 25, 2025",closed won,Q2-23-Social Push,Widget A,148,AgriGrow Corp
Affiliate,jake thomas,USA,$869,4227,$9860,"May 07, 2025",closed lost,Q3-2023-Social Push,Widget A,454,AgriGrow Corp
partner,iris anderson,USA,$19155,null,$168511,"November 05, 2023",in progress,Q4-24-Product Launch,Cloud Storage 1TB,73,Dunder Mifflin
PARTNER,Alice Johnson,LATAM,$30863,3052,$507918,"August 03, 2025",Proposal,,Cloud Storage 5TB,367,AgriGrow Corp
In-Store,david brown,EU,$4436,1449,$191640,"May 10, 2024",closed lost,FY-2024-Email Blast,Software License,396,AgriGrow Corp
Affiliate,K. White,ASIAPAC,N/A,495,$1079310,"February 27, 2025",closed lost,H2-2024-Cross-sell,Gadget Mini,221,AgriGrow Corp
e-comm,H. Taylor,Middle East,$23458,3383,$454358,"October 07, 2024",closed won,Q2-24-Summer Blitz,Security Bundle,236,AgriGrow Corp
reseller,B. Williams,US,-,3324,$113764,"August 14, 2024",Closed Won,Q1-23-Retention,Data Pipeline,132,AgriGrow Corp
call center,john smith,Australia,$21501,1570,$569250,"October 24, 2023",PENDING,Q4-2024-Fall Campaign,MISC,286,Planet Express
partner,Unassigned,Asia Pacific,$25828,596,$24121,"May 04, 2025",closed won,FY-24-New Year Promo,Cloud Storage 1TB,,
DIRECT,alice johnson,MEA,$7863,785,$95158,"April 02, 2025",In Progress,H1-2024-Fall Campaign,Widget B,324,AgriGrow Corp
ecommerce,Grace Lee,Asia Pacific,$12950,1379,$134471,null,Proposal,H2-24-Social Push,Support Tier 2,162,AgriGrow Corp
,,,,,,,,,,,
,,,,,,,,,,,
