Region,Conversions,Channel,Revenue,Ad Spend,Date,Quantity,Leads,Unit Price,Campaign,Company,Product
ASIAPAC,123,Online,$100618,$18708,04-28-2024,166,4525,$606,FY-2023-Fall Campaign,TrueNorth Financial,
Middle East,339,ONLINE,$2819,$26087,11-16-2024,372.00,484,null,Q2-2024-Webinar Series,QuickShip Logistics,API Access  
South America,343,affiliate,$702983,$45690,12-18-2023,270,,$2604,FY-2023-Summer Blitz,Stark Industries,Software License
US,95,phone,$1366350,$31950,02-19-2024,500,null,$2733,H1-24-Email Blast,QuickShip Logistics,Software Subscription
United States,N/A,Referral,$2378458,null,pending,498.00,1715,$4776,Q3-2024-Webinar Series,QuickShip Logistics,CRM Module
Britain,488,web,$879812,$21711,07-20-2024,189,2478,$4655,H2-24-Product Launch,QuickShip Logistics,Software Subscription
N. America,50,call center,$866418,$18513,04-21-2024,245,4928,$3536,Q2-24-Webinar Series,QuickShip Logistics,CRM Module
SA,399,Call Center,$524384,$37653,09-07-2023,127,2417,$4129,Q2-23-Retention,QuickShip Logistics,Cloud Storage 5TB
United States,170,Direct Sales,$219772,$27231,01-30-2024,45.0,2449,$4884,Q4-23-Summer Blitz,SummitView Hotels,Consulting Hours
Africa,-,,$82412,$39920,05-22-2023,22,2935,$3746,Q3-2023-Fall Campaign,Dharma Initiative,Service Plan Basic
Europe,491,social,$1656598,$41293,07-28-2024,452,416  ,$3665,,QuickShip Logistics,Cloud Storage 1TB
Asia Pacific,373,e-comm,$1131999,$996,01-17-2024,289,3808,$3917,H1-24-Retention,QuickShip Logistics,Training Package
Asia,,affiliate,$669990,$18252,07-25-2023  ,299.0,3754,$2241,H2-23-Webinar Series,QuickShip Logistics,Support Tier 1
N. America,57,,$1135171,$6627,11-15-2024,253.00,2154,$4487,,QuickShip Logistics,Gadget X
United States,,Brick & Mortar,$287508,$11263,05-24-2024,91,3864,$3159,Q4-2024-Summer Blitz,QuickShip Logistics,Premium Onboarding
US,393,e-comm,$1925562,$30501,11-26-2024,391.0,1925  ,$4925,Q3-2023-New Year Promo,QuickShip Logistics,Training Package
