Exported from Cyberdyne Systems CRM on 2026-03-08									
LEADS	CONVERSIONS	DATE	UNIT_PRICE	REVENUE	QTY	CHANNEL	COMPANY	REGION	AD_SPEND
1792	277	09.27.2024	159.38 USD	49,726.56 USD	312	Social Media	GreenLeaf Energy	South America	31,234.45 USD
4137	356	10.15.2024	3,247.51 USD	873,580.19 USD	269	ecommerce	Cyberdyne Systems	Europe	16,306.89 USD
1845	267	09.13.2024	1,052.38 USD	438,842.46 USD	417.0	Channel Partner	Cyberdyne Systems	MEA	42,011.69 USD
16	394	09.09.2024	493.96 USD	39,516.80 USD	80.0	E-Commerce	Prestige Worldwide		5,672.47 USD
2945	28	06.09.2025	3,301.08 USD	680,022.48 USD	206	affiliate	Cyberdyne Systems	ASIAPAC	7,547.50 USD
null	171	03.16.2024	600.24 USD	295,318.08 USD	492	social media	Cyberdyne Systems	Britain	42,306.73 USD
2099	372	08.15.2023	416.18 USD	31,629.68 USD	76	affiliate	Cyberdyne Systems	UK	44,345.54 USD
1607	184	08.28.2023	4,502.32 USD	2,224,146.08 USD	494		MomCorp	N/A	37,573.44 USD
4607	333	04.26.2024	4,341.58 USD	1,493,503.52 USD	344	referral	Cyberdyne Systems	-	14,104.98 USD
null	415	09.23.2024	3,858.61 USD	956,935.28 USD	248.0	Online	Cyberdyne Systems	MEA	24,431.86 USD
3476	222	02.06.2024	3,163.17 USD	1,366,489.44 USD	432	Referral	Globex Industries	Asia	16,708.87 USD
3058	309	07.06.2025	576.46 USD	284,771.24 USD	494.0	Web	Cyberdyne Systems	NA	9,926.11 USD
3085	328	01.16.2024	3,026.98 USD	850,581.38 USD	281	call center	Cyberdyne Systems	EU	40,728.41 USD
4255	158	11.13.2024	1,576.26 USD	249,049.08 USD	158.0		HealthPlus Pharma	N. America	9,396.73 USD
2590	93	06.21.2024	1,192.61 USD	442,458.31 USD	371	Partner	Cyberdyne Systems	Britain	45,641.96 USD
118	165	03.18.2025	971.09 USD	470,978.65 USD	485	phone	Cyberdyne Systems	Australia	19,916.66 USD
3607	276	08.15.2024	2,308.29 USD	542,448.15 USD	235	Social	Cyberdyne Systems	Britain	7,702.22 USD
2076	353	01.18.2025	4,610.12 USD	1,613,542.00 USD	350	Social	Umbrella Ltd	EMEA	39,379.22 USD
1610	31	03.16.2024	2,799.13 USD	127,302.13 USD	#REF!	Referral	Cyberdyne Systems	Australia	31,365.11 USD
3770	342	02.21.2025	1,254.99 USD	387,791.91 USD	309	Telesales	Cyberdyne Systems	NA	39,320.10 USD
3176	193	02.15.2025	529.79 USD	249,001.30 USD	470.00	Brick & Mortar	Cyberdyne Systems	ASIAPAC	41,181.04 USD
32	57	05.24.2024	2,041.91 USD	206,232.91 USD	101	Online	Cyberdyne Systems	Britain	24,898.76 USD
1515	134	05.08.2025	4,371.55 USD	2,059,000.05 USD	471.00	Field Sales	CloudNine SaaS	Latin America	7,097.12 USD
1492	127	10.17.2023	NA	157,509.57 USD	495	Direct	Cyberdyne Systems	SA	41,331.13 USD
1030	203	01.10.2025	3,284.04 USD	210,178.56 USD	64	Direct	Cyberdyne Systems	ANZ	24,786.48 USD
4595	383	10.23.2024	561.52 USD	71,313.04 USD	127.00	Telesales	BrightPath Media	MEA	25,556.59 USD
	370	10.06.2023	4,314.83 USD	21,447.33 USD	N/A	web	Cyberdyne Systems	SA	22,685.28 USD
3689	454	10.02.2023	1,148.81 USD	329,708.47 USD	287	Social Media	Oceanic Airlines	US	30,734.83 USD
	468	08.12.2024	N/A	null	142.00	Call Center	Omni Consumer Products	ANZ	35,141.88 USD
3728	368	08.22.2023	4,481.37 USD	1,313,041.41 USD	293.0	PARTNER	Cyberdyne Systems	Australia	47,868.83 USD
3472	84	01.21.2024	838.36 USD	280,012.24 USD	334	RETAIL	AgriGrow Corp	UK	40,087.63 USD
4114	5	12.31.2024	1,649.33 USD	633,342.72 USD	384	Call Center	Cyberdyne Systems	EU	34,590.22 USD
510	341	11.30.2024	447.73 USD	38,504.78 USD	86	Direct	SummitView Hotels	United Kingdom	960.76 USD
2076	425	08.25.2024	2,448.07 USD	16,890.56 USD	N/A	Social Media	Cyberdyne Systems	South America	5,031.91 USD
4343	294	01.15.2024		49,127.47 USD	35.00	social	Cyberdyne Systems	EMEA	18,253.98 USD
3706	317	09.26.2024	134.42 USD	24,061.18 USD	179.00	Direct Sales	Cyberdyne Systems	LATAM	44,118.05 USD
4831	361	07.31.2024	1,281.97 USD	621,755.45 USD	485.00	call center	Cyberdyne Systems	SA	8,082.11 USD
199	341	10.18.2024	4,811.20 USD	740,924.80 USD	154.0	ONLINE	Massive Dynamic	US	35,652.00 USD
1620	330	01.19.2025	1,407.77 USD	423,738.77 USD	301.00	ecommerce	Cyberdyne Systems	United Kingdom	10,924.79 USD
2389	118	07.02.2024	559.26 USD	227,618.82 USD	407	In-Store	Cyberdyne Systems	EU	12,103.89 USD
3331	29	03.31.2025	961.48 USD	163,451.60 USD	170	email	Cyberdyne Systems	Australia	42,860.98 USD
1130	278	04.27.2025	4,460.85 USD	#N/A		e-comm	Cyberdyne Systems	ASIAPAC	29,136.45 USD
1278	261	02.21.2025	453.08 USD	26,278.64 USD	58	Online	Cyberdyne Systems	Middle East	14,686.61 USD
	0	02.15.2025	1,127.80 USD	546,983.00 USD	485.00	Partner	Cyberdyne Systems	SA	16,230.71 USD
	333	12.09.2024	580.67 USD	140,522.14 USD	242.0	social	Wayne Corp	SA	7,065.78 USD
529	290	01.05.2025	3,878.64 USD	958,024.08 USD	247.00	affiliate	Initech Solutions	USA	4,843.69 USD
86	N/A	07.17.2025	443.71 USD	110,927.50 USD	250.00	ecommerce	Rekall Inc	Australia	42,726.04 USD
62	347	09.26.2023	3,275.20 USD	553,508.80 USD	169.0	Email	Cyberdyne Systems	USA	31,098.13 USD
2595	415	09.13.2024	2,128.92 USD	468,362.40 USD	220	social	Globex Industries	MEA	N/A
3636	395	02.18.2025	4,751.49 USD	731,729.46 USD	154	Social	Cyberdyne Systems	MEA	17,308.07 USD
581	500	10.15.2024	4,422.33 USD	1,901,601.90 USD	430.00	Web	Cyberdyne Systems	North America	41,163.44 USD
3123	44	12.13.2023	114.68 USD	24,082.80 USD	210.00	Website	Cyberdyne Systems	-	5,852.60 USD
1914	344	01.09.2025	3,942.48 USD	39,424.80 USD	10	Retail		ASIAPAC	46,147.07 USD
2670	163	01.31.2025	2,310.90 USD	205,670.10 USD	89.0	partner	Rekall Inc	Asia	4,534.77 USD
1436	274	12.28.2023	3,451.36 USD	924,964.48 USD	268.00	E-Commerce	Cyberdyne Systems	N. America	34,584.07 USD
1517	158	04.15.2025	4,319.18 USD	427,598.82 USD	99.0	call center	Oscorp Technologies	Asia	14,351.13 USD
4692	49	05.02.2024	4,083.44 USD	1,347,535.20 USD	330	web	Cyberdyne Systems	North America	
null	177	07.03.2024	2,518.82 USD	858,917.62 USD	341	Online	Cyberdyne Systems	EMEA	29,598.07 USD
1061	487	04.07.2025	148.63 USD	15,011.63 USD	101	Affiliate	Cyberdyne Systems	EU	15,968.29 USD
2895	399	07.06.2024	3,297.23 USD	1,170,516.65 USD	355	Social	Cyberdyne Systems	United Kingdom	17,031.22 USD
4753	421	04.22.2025	1,756.28 USD	127,523.68 USD	#REF!		Stark Industries	UK	35,729.21 USD
3637	223	11.23.2024	1,600.65 USD	744,302.25 USD	465.00	PARTNER	Cyberdyne Systems		31,641.11 USD
3102	318	11.25.2023	1,905.05 USD	443,876.65 USD	233	email campaign	Cyberdyne Systems	EMEA	30,480.24 USD
null	162	02.28.2024	1,995.41 USD	321,261.01 USD	161.00	field	PixelForge Studios	UK	28,944.34 USD
null	363	02.05.2024	3,063.35 USD	1,439,774.50 USD	470	E-Commerce	Cyberdyne Systems	ANZ	26,434.02 USD
3071	282	null	1,570.51 USD	72,243.46 USD	46.0	Reseller	Cyberdyne Systems	MEA	null
3476	79	01.27.2025	227.10 USD	24,981.00 USD	110	ONLINE	Cogswell Cogs	ANZ	34,882.56 USD
1431	416	09.20.2024	3,717.67 USD	#N/A	#REF!	PARTNER	Tyrell Corporation	NA	38,259.85 USD
3356	49	11.11.2024	774.57 USD	75,907.86 USD	98.00	Online	Cyberdyne Systems	USA	41,316.71 USD
3104	172	09.10.2024	1,942.11 USD	203,921.55 USD	105	Call Center	Cyberdyne Systems	Australia	4,342.19 USD
4386	96	11.20.2023	1,575.57 USD	627,076.86 USD	398.0	RETAIL	Cyberdyne Systems	Middle East	10,138.49 USD
3696	434	04.06.2024	4,634.69 USD	1,951,204.49 USD	421.0	e-comm	Cyberdyne Systems	South America	39,734.30 USD
970	N/A	07.24.2025	3,912.20 USD	692,459.40 USD	177	Email	Cyberdyne Systems	SA	30,563.16 USD
3138	269	10.08.2024	4,994.69 USD	11,323.38 USD	#REF!	In-Store	Cyberdyne Systems	EMEA	37,925.15 USD
									
									
									
