Laeds,Chanell,Untit Price,Converison,Dte,Ad Spned,Reigon,Campagn,Saels Rep,Quatity,Stauts,Revnue,Comapny,Prodcut
4882,Social,"$1,976.49",59,01.04.2024,"$14,759.07",ASIAPAC,H2-23-Brand Awareness,Jake Thomas,227,Lead,"$448,663.23",Oceanic Airlines,CRM Module
3781,Reseller,"$4,787.55",279,05.28.2024,"$45,589.78",Europe,Q2-24-New Year Promo,jane doe,67.0,lead,"$320,765.85",Oceanic Airlines,Service Plan Pro
2074,in-store,"$2,275.58",N/A,09.01.2024,"$32,710.60",UK,H2-2023-Trade Show,John Smith,86,Closed Lost,"$195,699.88",Oceanic Airlines,Security Bundle
3738,in-store,"$1,834.80",481,12.27.2023,,Africa,,Leo Harris,#REF!,Negotiation,"$109,322.09",Oceanic Airlines,Cloud Storage 5TB
1374,Field Sales,"$2,195.36",226,05.23.2024,"$42,272.10",United States,H1-2024-Fall Campaign,Jake Thomas,472.0  ,Lead,"$1,036,209.92",Vandelay Ind,Software Subscription
1622,ecommerce,$715.62  ,320,null,"$19,922.12",Britain,Q3-2023-Black Friday,grace lee,376.00,closed lost,"$269,073.12",Oceanic Airlines,Hardware Unit
127,e-comm,#N/A,318,12.22.2023,"$18,079.44",Britain,Q3-2024-Cross-sell,karen white,138.0  ,WON,"$138,136.02",Prestige Worldwide,API Access
1764,Channel Partner,-,22,10.13.2024,"$23,938.50",Asia Pacific,H1-2023-Fall Campaign,jane doe,,Open,null,Oceanic Airlines,Training Package
2398,phone,"$3,078.41",217,07.17.2024,"$30,399.40",MEA,,bob williams,305.0,Qualified,"$938,915.05",,Data Pipeline
1478,PARTNER,"$4,492.92",95,11.10.2024,"$12,945.47",South America,Q2-23-Fall Campaign,henry taylor,251,closed lost,"$1,127,722.92",Omni Consumer Products,Hardware Unit
2722,RETAIL,"$4,289.49",429,05.25.2023,"$36,580.75",Europe,Q2-2024-Summer Blitz,frank wilson,273,proposal,"$1,171,030.77",Cybertruck Co,Support Tier 1
1266,in-store,"$4,042.78",177,07.23.2024,"$13,922.91",United States,FY-2023-Spring Push,mia clark,76.00,pending,"$307,251.28",Oceanic Airlines,API Access
2501,field,"$4,648.68",305,02.12.2023,-,Unknown  ,FY-2023-Brand Awareness,Carol Davis,397,CLOSED WON,"$1,845,525.96",Oceanic Airlines,Software License
4854,Social,"$3,092.16",384,07.04.2023,"$12,236.75",SA,FY-23-Fall Campaign,Iris Anderson,27,Proposal,"$83,488.32",Oceanic Airlines,-
3975,retail,,411,12.01.2023,0,UK,Q2-24-Black Friday,K. White,354,pending,"$123,964.51",Oceanic Airlines,Gadget X
4181,Online,"$1,720.33",,09.30.2023,"$49,276.50",ANZ,H2-2024-Brand Awareness,bob williams,177.00,Proposal,"$304,498.41",Cybertruck Co,Support Tier 2
3386,Social Media,"$3,859.98",N/A,04.06.2023,"$24,523.44",-,Q1-2024-New Year Promo,eva martinez,-,in progress,NA,Globex Industries,ERP Add-on
2224,phone,"$2,268.19",416,06.13.2024,null,USA,Q1-2023-Email Blast,E. Martinez,14.00,Closed Lost,"$31,754.66  ",Oceanic Airlines,Support Tier 1
4067,Store,"$2,054.58",208,06.19.2024,"$24,943.57",USA,FY-2024-Holiday Sale,I. Anderson,469,Won,"$963,598.02",Oceanic Airlines,Widget A
-,web,"$4,985.37",115,02.06.2023,"$45,164.06",South America,Q4-2023-Webinar Series,karen white,191,In Progress,"$952,205.67",Oceanic Airlines,Widget Pro
4729,Phone,$724.43,244,08.26.2023,"$12,946.10",LATAM,Q3-2024-Cross-sell,C. Davis,476.0,Pending,"$344,828.68",Oceanic Airlines,Widget B
null,social,"$4,883.32",133,07.18.2024,-,Asia,Q2-2023-Spring Push,mia clark,145.0,CW,"$708,081.40",Oceanic Airlines,ERP Add-on
3665,retail,"$1,544.46",412,05.12.2024,0,APAC,H2-2024-New Year Promo,Grace Lee,23,Won,"$35,522.58",QuickShip Logistics,ERP Add-on
3578,social media,$241.11,357,09.18.2023,"$9,012.35",North America,,A. Johnson,127  ,pending,"$30,620.97",Oceanic Airlines,Support Tier 2
1123,Social Media,"$3,957.57",283,12.07.2023,"$43,418.24",Asia Pacific,FY-24-Upsell,I. Anderson,#REF!,Closed Won,"$71,206.11",Oceanic Airlines,Gadget X
2414,Direct,"$2,698.11",161,01.09.2025,"$8,033.30",South America,Q2-2023-Holiday Sale,Jane Doe,,Negotiation,"$97,488.05",Oceanic Airlines,Software License
1247  ,reseller,"$1,505.04",163,08.04.2024,"$26,546.57",Britain,FY-24-Trade Show,Frank Wilson,313,negotiation,"$471,077.52",Oceanic Airlines,Gadget Mini
1740,Brick & Mortar,"$1,399.23",-,06.07.2024  ,"$23,942.97",US,Q3-23-Retention,JOHN SMITH,137.00,PENDING,"$191,694.51",Oceanic Airlines,Support Tier 2
1248,Field Sales,"$2,148.94",392,04.06.2024,"$31,843.63",NA,Q4-2023-Holiday Sale,karen white,,CLOSED WON,-,Buy N Large,Security Bundle
2284,reseller,"$4,844.04",56,01.27.2024,"$27,369.31",UK  ,Q3-2023-Summer Blitz,eva martinez,286.00,Closed-Won,"$1,385,395.44",Oceanic Airlines,Software Subscription
