Deal Status,Price Per Unit,Company Name,Marketing Leads,Product / Service,Total Amount,Geographic Region,Marketing Spend,Closed Deals,Sales Channel,Campaign ID,Transaction Date,Account Executive
open,"4696,04",BlueOcean Retail,1846,Software License,"1563781,32",Asia Pacific,"3262,12",248,ecommerce,H1-24-Brand Awareness,07/13/2024,Mia Clark
CLOSED LOST,"3305,37",BrightPath Media,3985,ERP Add-on,"69412,77",EMEA,"9735,33",303,PARTNER,,06/06/2024,iris anderson
Negotiation,"2727,87",Massive Dynamic,2951,Gadget Mini,"567396,96",Middle East,"678,98",73,affiliate,Q2-2023-Fall Campaign,10/02/2024,Henry Taylor
Closed Lost,"1158,40",Massive Dynamic,null,CRM Module,"360262,40",MEA,"42621,26",70,Store,,07/30/2025,TBD
Closed-Won,"1476,62",AgriGrow Corp,4617,ERP Add-on,"726497,04",United States,"32850,36",377,Direct,Q2-2023-Email Blast,10/16/2024,K. White
qualified,"2011,14",Massive Dynamic,4981,Marketing Suite,"120668,40",Australia,"1225,18",228,Website,Q4-2024-Brand Awareness,04/02/2024,JOHN SMITH
Won,"2429,42",Massive Dynamic,4013,Data Pipeline,"41300,14",NA,"30337,09",,Website,H2-2023-Black Friday,03/23/2024,Grace Lee
Qualified,,Massive Dynamic,4285,Security Bundle,NA,Europe,"1940,20",334,,H1-2023-Holiday Sale,02/14/2025,Bob Williams
open,"2854,58",PixelForge Studios,3952,Data Pipeline,"1187505,28",US,"15089,62",295,Web,Q3-24-Social Push,07/24/2024,JANE DOE
WON,"2499,59",Tyrell Corporation,-,Software Subscription,"32494,67",UK,"37732,67",341,call center,Q4-24-Webinar Series,09/15/2024,john smith
Qualified,"1355,28",Massive Dynamic,1980,Marketing Suite,"596323,20",LATAM,"34544,89",280,,,07/29/2025,I. Anderson
In Progress,"4133,44",Massive Dynamic,319,Analytics Dashboard,"1070560,96",US,N/A,276,Social,H1-23-Black Friday,04/30/2025,G. Lee
Closed-Won,"4227,17",Massive Dynamic,1109,Widget B,"1589415,92",Asia Pacific,"47762,30",N/A,web,FY-2024-Trade Show,03/13/2024,iris anderson
proposal,"62,11",Massive Dynamic,2615,Gadget Mini,"27017,85",Africa,"2620,94",201,email,Q1-2024-Product Launch,07/01/2024,Alice Johnson
proposal,"1631,80",Massive Dynamic,3379,Support Tier 1,"624979,40",N. America,"24271,95",74,Email Campaign,Q4-24-Fall Campaign,10/10/2024,eva martinez
Qualified,"3735,04",Massive Dynamic,1180,API Access,"1023400,96",North America,"27797,98",2,Reseller,Q1-24-Holiday Sale,12/13/2023,eva martinez
WON,"335,73",Massive Dynamic,4376,Marketing Suite,"152757,15",United States,"43243,23",361,ONLINE,Q1-23-Social Push,10/16/2024,david brown
proposal,"3925,80",Massive Dynamic,3953,Gadget Mini,"353322,00",ASIAPAC,"26229,04",73,E-Commerce,H1-2024-Holiday Sale,06/20/2024,M. Clark
Proposal,"2532,26",Massive Dynamic,1956,Widget Pro,"2532,26",Latin America,"9574,49",392,Email Campaign,Q4-24-Summer Blitz,05/19/2025,john smith
closed won,"1049,21",BrightPath Media,718,Data Pipeline,"282237,49",Africa,"30481,35",269,Email Campaign,Q2-23-Retention,10/14/2024,Bob Williams
Closed Won,"12,90",AgriGrow Corp,3396,Consulting Hours,"1922,10",MEA,"32066,85",130,DIRECT,H1-24-Trade Show,TBD,mia clark
in progress,"1341,02",SummitView Hotels,2975,Cloud Storage 5TB,"449241,70",Asia Pacific,"42725,17",120,social media,Q2-2024-Product Launch,07/02/2024,Unassigned
negotiation,"2607,42",Massive Dynamic,1435,Hardware Unit,"537128,52",-,"1777,11",264,Email Campaign,Q1-24-Holiday Sale,12/09/2024,J. Doe
Closed-Lost,"201,06",Massive Dynamic,-,Software Subscription,"40815,18",UK,"21180,86",27,Retail,H2-23-Summer Blitz,07/20/2024,jake thomas
CL,"4716,95",Wonka Enterprises,4181,Gadget Mini,"1641498,60",NA,"27489,37",-,Partner,Q3-2023-Holiday Sale,06/17/2025,karen white
Won,missing,Massive Dynamic,2417,ERP Add-on,"70222,98",United States,"27682,51",210,affiliate,Q2-23-Email Blast,08/14/2024,Unassigned
CLOSED WON,"3790,09",Cogswell Cogs,4013,Hardware Unit,"1303790,96",Asia Pacific,"2187,13",194,Reseller,H2-2023-Retention,01/07/2025,john smith
Negotiation,"4486,39",MomCorp,1863,Marketing Suite,"520421,24",UK,"16531,31",105,Email,FY-2024-Email Blast,06/02/2025,I. Anderson
open,"4561,70",Oscorp Technologies,1465,Widget B,"104919,10",UK,"48052,21",92,e-comm,Q1-24-Spring Push,12/03/2024,iris anderson
Closed-Lost,"4555,38",Massive Dynamic,4381,-,"112836,30",-,,257,Social,Q1-24-Trade Show,06/05/2025,L. Harris
negotiation,"369,04",Massive Dynamic,558,Service Plan Basic,"108497,76",Latin America,"17535,21",339,partner,FY-23-Retention,09/15/2024,John Smith
Lost,"2600,50",Massive Dynamic,2673,Security Bundle,"309459,50",Latin America,"15273,71",404,Direct Sales,Q3-24-Trade Show,12/04/2023,D. Brown
CLOSED LOST,"3560,50",Massive Dynamic,1257,Gadget X,"1128678,50",Unknown,"22100,34",105,ONLINE,Q3-2024-Black Friday,02/20/2025,iris anderson
CL,"2274,70",Massive Dynamic,1522,Widget A,"495884,60",ANZ,"25136,27",279,ONLINE,H1-23-Webinar Series,10/24/2025,Mia Clark
Lost,"1781,34",QuickShip Logistics,643,Premium Onboarding,"639501,06",South America,"40661,27",239,DIRECT,H2-23-Brand Awareness,08/17/2025,K. White
Open,"3927,98",Massive Dynamic,3949,Analytics Dashboard,"1465136,54",Britain,"15211,12",-,Telesales,Q3-2023-Email Blast,01/31/2025,Leo Harris
Qualified,"3830,52",Massive Dynamic,-,Analytics Dashboard,"938477,40",Europe,"36882,18",193,Website,Q2-24-New Year Promo,03/29/2025,David Brown
Closed-Won,"1852,79",Initech Solutions,3081,Widget A,"394644,27",N. America,N/A,361,Direct,FY-23-Webinar Series,08/18/2024,David Brown
proposal,NA,Soylent Corp,1487,Software License,#N/A,US,"35762,66",499,ONLINE,H2-2023-Retention,11/26/2024,F. Wilson
Closed-Won,"2257,17",Hooli Inc,738,Data Pipeline,"455948,34",Africa,"35946,90",58,email campaign,H1-23-Webinar Series,10/24/2025,alice johnson
In Progress,"2622,29",Massive Dynamic,2534,API Access,"26071,71",MEA,"26384,44",17,Field Sales,Q4-24-Retention,05/26/2025,Mia Clark
negotiation,"895,35",Massive Dynamic,3730,Training Package,"152811,33",N. America,"16208,81",419,Channel Partner,Q1-24-Brand Awareness,02/09/2024,David Brown
Closed Won,"4994,76",Massive Dynamic,4672,Widget A,"759203,52",Asia,"43722,53",404,email campaign,H2-2023-Email Blast,06/22/2024,Mia Clark
In Progress,"3436,83",Massive Dynamic,844,Security Bundle,"549892,80",North America,"15675,93",164,Direct,Q3-23-Cross-sell,04/29/2025,David Brown
Closed-Won,"716,56",Hooli Inc,4647,Premium Onboarding,"237181,36",Latin America,"27528,26",34,In-Store,Q4-24-Black Friday,06/15/2024,jane doe
Pending,"574,26",Massive Dynamic,142,Software Subscription,"206733,60",USA,"44497,35",390,RETAIL,Q1-2023-Holiday Sale,05/09/2025,Mia Clark
pending,"2248,77",Massive Dynamic,4922,Marketing Suite,"1090653,45",United States,"25589,16",351,referral,Q1-2024-Product Launch,09/19/2025,B. Williams
in progress,"1451,53",Massive Dynamic,4030,Widget A,"52255,08",Latin America,,64,Online,Q2-2023-Brand Awareness,01/07/2025,henry taylor
Lost,"4586,74",Brawndo Corp,535,Training Package,"921934,74",United States,"17495,91",260,E-Commerce,H2-2023-Trade Show,08/02/2024,jake thomas
open,"1680,41",Massive Dynamic,2239,Analytics Dashboard,"747782,45",South America,"6932,66",195,affiliate,,09/17/2024,david brown
negotiation,"2805,63",,4336,Cloud Storage 1TB,"721046,91",United States,0,154,Phone,Q1-24-Social Push,02/10/2024,J. Smith
In Progress,"1352,60",HealthPlus Pharma,-,Widget B,"205595,20",Middle East,"2672,97",238,partner,H2-2023-Retention,10/17/2024,E. Martinez
closed lost,"4000,39",Massive Dynamic,-,Widget A,"1696165,36",UK,"24296,46",466,in-store,Q2-2024-Trade Show,10/07/2024,I. Anderson
pending,"2410,18",Massive Dynamic,3366,,"409730,60",South America,"31514,07",-,retail,Q2-23-Upsell,07/04/2024,mia clark
pending,"2946,37",Massive Dynamic,53,Analytics Dashboard,"745431,61",MEA,"41280,10",,,Q2-2023-Cross-sell,11/17/2023,E. Martinez
WON,"3957,14",BrightPath Media,2356,Cloud Storage 1TB,"941799,32",MEA,"6055,80",496,partner,H1-23-Email Blast,03/31/2025,Mia Clark
Qualified,"1719,64",Massive Dynamic,N/A,Service Plan Pro,"722248,80",LATAM,"27485,12",72,social,,04/11/2024,john smith
qualified,"974,11",Massive Dynamic,291,Cloud Storage 1TB,"14611,65",Asia,"26894,68",401,Web,Q3-24-Retention,06/16/2025,leo harris
Negotiation,"885,74",Massive Dynamic,1716,Consulting Hours,"413640,58",Australia,"5310,61",-,online,Q1-2023-Social Push,10/13/2025,jake thomas
closed lost,"2210,70",Massive Dynamic,2052,Widget A,"729531,00",USA,"143,30",N/A,social media,Q4-2023-Retention,01/26/2025,H. Taylor
open,"3969,52",Wayne Corp,1806,Service Plan Pro,"42755,28",ANZ,"16279,32",294,Field Sales,FY-2024-Trade Show,N/A,JANE DOE
Closed-Lost,"3237,36",GreenLeaf Energy,384,Support Tier 1,"1434150,48",Middle East,"27651,02",N/A,Referral,H2-24-Trade Show,10/03/2025,B. Williams
In Progress,"3429,12",Massive Dynamic,503,Gadget Mini,"123448,32",Australia,"109,20",76,Direct,H1-23-Holiday Sale,09/22/2024,david brown
lead,"4783,76",Sterling Cooper,3089,Premium Onboarding,"287025,60",United Kingdom,"22996,54",300,Affiliate,Q1-23-Cross-sell,09/08/2024,Mia Clark
pending,"4493,82",Massive Dynamic,4014,Service Plan Basic,"1667207,22",United Kingdom,"13838,69",468,retail,,10/17/2025,carol davis
Open,"2394,21",Massive Dynamic,1431,Gadget X,"646436,70",Asia,"520,09",194,Field Sales,FY-24-Fall Campaign,06/24/2025,H. Taylor
proposal,"2694,50",Massive Dynamic,3661,Support Tier 1,"794877,50",Asia,"7327,93",413,reseller,H1-23-Email Blast,07/24/2025,TBD
Closed-Lost,"4869,59",Massive Dynamic,3531,Support Tier 2,"608698,75",United Kingdom,"11884,10",39,call center,Q1-23-Black Friday,01/08/2025,Bob Williams
Closed-Won,"376,97",Massive Dynamic,-,Gadget Mini,"34304,27",EU,-,79,,H1-2023-Trade Show,05/28/2024,L. Harris
lead,"405,45",Soylent Corp,2260,Gadget Mini,"183668,85",EMEA,"31401,08",496,e-comm,Q4-23-Webinar Series,01/18/2024,Jane Doe
closed lost,"393,80",MomCorp,2826,Cloud Storage 1TB,"131923,00",North America,"7034,52",39,direct,Q2-2024-Black Friday,12/03/2024,L. Harris
Lost,"2431,88",Massive Dynamic,4633,Consulting Hours,"1121096,68",United States,N/A,364,Channel Partner,Q3-2024-Cross-sell,08/29/2024,Henry Taylor
proposal,"4297,46",Massive Dynamic,,ERP Add-on,"1611547,50",Middle East,null,159,field,Q1-23-Brand Awareness,02/01/2024,mia clark
open,"4459,65",Acme Corp,362,MISC,"994501,95",LATAM,null,414,E-Commerce,Q2-2023-Retention,07/21/2024,Grace Lee
lead,"3745,81",Massive Dynamic,2536,Cloud Storage 1TB,"1146217,86",N. America,"18352,59",155,,FY-2024-Black Friday,05/17/2025,Mia Clark
negotiation,"3847,95",Genco Pura,606,Widget B,"1820080,35",United Kingdom,"12986,11",91,affiliate,Q2-23-Fall Campaign,01/28/2024,iris anderson
LOST,"2572,73",Massive Dynamic,2320,Service Plan Basic,N/A,United Kingdom,"2631,24",-,,Q1-23-Product Launch,03/08/2024,jake thomas
CW,"2030,23",Soylent Corp,4502,Analytics Dashboard,"367471,63",Britain,"40794,19",493,Reseller,Q3-2024-Product Launch,08/20/2024,Iris Anderson
Lost,"1744,80",Massive Dynamic,1386,CRM Module,"369897,60",Asia,"22079,12",119,partner,H2-2023-Summer Blitz,02/11/2024,K. White
Closed-Lost,"2141,06",Massive Dynamic,3650,Widget Pro,"162720,56",Asia,"20838,93",83,Channel Partner,Q4-2024-Email Blast,09/24/2025,bob williams
Closed-Won,NA,Massive Dynamic,1934,Cloud Storage 5TB,,N. America,"29817,65",428,reseller,Q2-23-Webinar Series,08/25/2024,mia clark
proposal,"779,18",Massive Dynamic,-,Premium Onboarding,"190119,92",NA,"7780,53",54,Store,H1-24-Trade Show,06/29/2025,J. Smith
Won,"4746,48",Massive Dynamic,4510,Security Bundle,"1086943,92",United States,"31830,24",421,email,Q1-24-Holiday Sale,03/12/2024,mia clark
CLOSED WON,"2440,77",Massive Dynamic,4242,Training Package,"51256,17",Asia,"2091,24",52,phone,Q3-24-Upsell,03/21/2025,Leo Harris
In Progress,"3213,11",Massive Dynamic,3124,Gadget X,"735802,19",Latin America,"1332,82",394,Phone,Q1-24-Social Push,03/08/2024,J. Doe
closed lost,"2743,02",Massive Dynamic,1068,Cloud Storage 1TB,"803704,86",ASIAPAC,"28609,40",376,Brick & Mortar,,10/21/2024,J. Thomas
closed won,"3054,64",DataWave Inc,2467,Widget A,"375720,72",EMEA,null,316,Telesales,Q4-2024-New Year Promo,04/30/2025,A. Johnson
WON,"3094,89",Massive Dynamic,null,Premium Onboarding,"1324612,92",NA,"18622,71",459,call center,Q4-2024-Trade Show,06/10/2024,Carol Davis
negotiation,"1056,61",Massive Dynamic,3692,Gadget Mini,"100377,95",Middle East,"5083,50",120,PARTNER,FY-2024-Brand Awareness,07/31/2025,henry taylor
Pending,"4098,56",Massive Dynamic,4362,Security Bundle,#N/A,USA,"21793,24",408,Social,H1-2023-Summer Blitz,10/30/2024,G. Lee
Lost,"2672,24",Massive Dynamic,4651,,"1162424,40",NA,"12789,06",49,field,Q3-24-Black Friday,,leo harris
CW,"1420,07",Massive Dynamic,N/A,ERP Add-on,"255612,60",US,null,336,Social Media,Q2-2023-Webinar Series,02/26/2024,L. Harris
