Exported from Umbrella Ltd CRM on 2026-03-08,,,,,,,,,
CAMPAIGN,STATUS,UNIT_PRICE,COMPANY,REVENUE,QTY,DATE,REGION,CONVERSIONS,notes
Q4-2024-Upsell,LOST,$290,Tyrell Corporation,$117039,404.00,2024/09/17,United States,29,
FY-23-Upsell,In Progress,$3725,Umbrella Ltd,$502914,135,2024/06/08,LATAM,391,
H2-24-Retention,Closed Won,$2474,Umbrella Ltd,$1222220,494,2024/07/21,US,5,
H2-2024-Brand Awareness,CW,$3854,Planet Express,$1903990,494.0,2025/01/29,United Kingdom,14,discount applied
FY-24-Summer Blitz,Won,$73,Brawndo Corp,$16924,232.0,2023/04/25,APAC,24,
Q1-23-Email Blast,In Progress,$3013,Umbrella Ltd,-,,2024/04/10,Britain,-,
,negotiation,$212,Umbrella Ltd,$28169,133,2023/09/24,USA,114,
Q2-2023-Black Friday,Closed Won,$1579,Umbrella Ltd,$705862,447,2024/07/30,N. America,,
,Closed Won,$1522,Stratton Oakmont,$184661,#REF!,2023/12/06,EU,10,
Q4-2024-Webinar Series,in progress,$1026,Hooli Inc,$233946,228,2024/10/04,Asia Pacific,189,pending approval
Q2-2023-Holiday Sale,closed won,$313,Umbrella Ltd,$74401,238.00,2025/01/14,Africa,150,
Q3-23-Social Push,Negotiation,$1314,Umbrella Ltd,$189193,144,pending,MEA,195,
H1-23-Webinar Series,lead,$1816,Brawndo Corp,$212493,117,2024/08/08,APAC,190,
Q1-2023-New Year Promo,CLOSED WON,,Umbrella Ltd,null,349,2023/05/19,??,,VIP client
Q4-23-Upsell,Closed-Won,$2563,Umbrella Ltd,$215269,84,2023/06/10,Latin America,228,renewal
Q1-24-Retention,open,$2505,Umbrella Ltd,$60126,24.00,2025/01/18,USA,367,
Q4-23-Cross-sell,Lost,N/A,SummitView Hotels,NA,157.00,2025/02/25,Australia,N/A,
H2-23-Brand Awareness,Open,$3971,Umbrella Ltd,$627399,158,2025/02/21,Britain,402,
FY-23-Retention,Won,$1387,Umbrella Ltd,$112847,-,2023/03/04,EU,53,
Q3-2024-Black Friday,Won,$2405,Umbrella Ltd,$699797,291,2023/05/06,EU,351,VIP client
Q1-2023-Spring Push,LOST,$1763,GreenLeaf Energy,$719365,408,2024/08/02,North America,74,
H2-23-Brand Awareness,Closed Won,$4728,Umbrella Ltd,$496437,105,null,United States,122,
H2-2023-Black Friday,CLOSED LOST,NA,Virtucon,$156576,492,2024/07/02,Unknown,368,
,Lost,NULL,PixelForge Studios,NULL,0,2024/11/30,USA,248,
Q2-2024-Webinar Series,Pending,$3058,Umbrella Ltd,$217154,71.00,2024/10/08,ANZ,N/A,
Q4-2023-Social Push,qualified,$3906,Umbrella Ltd,$1445294,370.00,2023/12/19,Africa,466,
H1-2023-Black Friday,Closed Won,$3998,Umbrella Ltd,$599670,150,2023/12/10,Asia,478,
H2-2023-Cross-sell,CW,$4113,Umbrella Ltd,$2011096,489.0,2024/10/12,Britain,313,
Q1-2024-Email Blast,In Progress,$3666,Umbrella Ltd,$150301,41.00,2023/04/28,??,153,
,CLOSED WON,$921,Umbrella Ltd,$184108,200.0,pending,UK,86,
Q1-2023-Trade Show,open,$4532,Umbrella Ltd,NA,#REF!,2024/01/22,Latin America,107,
Q4-2024-Brand Awareness,Lost,$1293,Prestige Worldwide,$445944,345.00,2024/04/26,N. America,309,
H1-24-Black Friday,CLOSED LOST,$2525,Umbrella Ltd,$138866,55,2023/06/21,United States,234,
Q2-2024-Social Push,WON,$1245,Pinnacle Analytics,$390936,314.0,2025/01/26,Britain,357,
,Won,$2594,Umbrella Ltd,$57076,22,2024/12/01,Latin America,487,
H2-24-Cross-sell,CLOSED LOST,$3859,Umbrella Ltd,$154343,40,2024/02/02,Britain,82,discount applied
Q4-2024-Cross-sell,Lost,$3808,Umbrella Ltd,$540712,142,2023/07/02,NA,482,
H2-23-Webinar Series,closed lost,$2741,Umbrella Ltd,$1310341,478.00,2023/10/26,EMEA,128,
H1-23-Trade Show,Qualified,$2643,Umbrella Ltd,$988430,374.0,2023/05/03,United Kingdom,42,
,Closed-Lost,$1604,DataWave Inc,$617413,385.00,2024/09/10,UK,372,
FY-23-Spring Push,pending,$1178,Umbrella Ltd,$302725,257.0,2024/07/31,Asia Pacific,76,
FY-24-Summer Blitz,Lead,$2345,AgriGrow Corp,$1059777,452.0,2024/01/03,APAC,,
Q3-2024-Email Blast,Closed Lost,$800,Globex Industries,$363354,454,2023/08/21,United Kingdom,35,bulk order
FY-24-Email Blast,CLOSED WON,$758,Umbrella Ltd,$163327,#REF!,2023/04/28,United Kingdom,70,
FY-23-Fall Campaign,Open,$4799,Umbrella Ltd,$2092556,436,2024/06/07,MEA,472,bulk order
,Lead,$1035,Buy N Large,$47617,46,2024/10/29,EMEA,59,
,CL,$326,Rekall Inc,$160549,492,2023/05/11,UK,45,VIP client
Q1-23-Holiday Sale,PENDING,$1472,Umbrella Ltd,$425394,289.0,,,220,partial payment
H2-2024-Email Blast,Lost,$3644,Umbrella Ltd,$85658,N/A,2023/06/16,Asia,366,
,open,NA,Genco Pura,$134344,131.00,2024/03/31,Australia,15,
H1-2024-Product Launch,pending,$1351,Umbrella Ltd,$82428,61.0,2023/07/22,Australia,257,
Q1-2023-Email Blast,Lost,$109,Umbrella Ltd,$16969,155.0,2024/12/22,N. America,-,
,Closed-Lost,$2177,Umbrella Ltd,$1022969,470.00,2024/04/09,ASIAPAC,25,partial payment
,proposal,$4976,Umbrella Ltd,$776225,156,2023/10/09,Australia,250,
H1-23-Fall Campaign,qualified,$3477,Umbrella Ltd,$137158,#REF!,2024/03/02,Latin America,46,
H2-2024-Product Launch,closed lost,$1310,Umbrella Ltd,$19650,15.00,2024/06/14,Asia Pacific,411,pending approval
H2-23-Summer Blitz,Pending,$1784,Omni Consumer Products,$114181,64.0,2024/07/01,Latin America,270,NET30 terms
H1-24-Webinar Series,open,$875,BrightPath Media,$100852,0,2024/09/05,Britain,256,
H2-24-Retention,Proposal,$831,Umbrella Ltd,$33231,40,,ASIAPAC,473,
Q4-2023-Social Push,Proposal,$1094,Umbrella Ltd,$269166,246.0,2023/02/28,Middle East,69,
,Lead,$2388,Umbrella Ltd,$835958,350.0,2024/10/19,SA,-,
Q3-24-Brand Awareness,Won,$4218,Brawndo Corp,$615802,146.0,2024/11/03,Europe,,pending approval
H1-2024-New Year Promo,lead,$290,Umbrella Ltd,$141580,489,2024/01/26,South America,323,
,closed lost,$948,Umbrella Ltd,$130795,138,2025/01/12,US,185,
Q4-2024-Spring Push,Proposal,$3917,Umbrella Ltd,$23502,6.0,2024/05/10,Unknown,282,
Q2-24-Email Blast,LOST,$2860,Umbrella Ltd,$227212,null,2024/03/01,Australia,219,follow up needed
Q4-2023-Holiday Sale,Pending,$4242,Umbrella Ltd,$207855,49.00,2024/10/26,EU,215,escalated
Q4-24-Spring Push,CLOSED LOST,$17,Umbrella Ltd,$457,27.0,2025/02/23,SA,301,
H1-24-Summer Blitz,Lead,$1449,Acme Corp,$581033,401.00,2025/01/09,NA,156,
Q3-2023-Webinar Series,CLOSED WON,$4174,Vandelay Ind,$455006,109,2024/07/04,SA,60,bulk order
FY-23-Social Push,Proposal,$964,Virtucon,N/A,N/A,2024/08/24,ANZ,,
Q4-23-Summer Blitz,Closed Lost,$4288,Umbrella Ltd,$471720,110,2024/08/19,ASIAPAC,67,
,Closed Lost,$1644,Umbrella Ltd,$534450,325.00,2024/08/28,United Kingdom,103,
Q1-24-Brand Awareness,closed won,$2740,Umbrella Ltd,$183563,67,2023/10/11,UK,178,
Q2-23-Black Friday,Closed-Lost,$4853,CloudNine SaaS,,N/A,2023/03/02,MEA,166,
Q4-24-Social Push,Closed-Lost,$1932,Umbrella Ltd,$127514,66,2024/01/01,EMEA,132,
Q2-2024-Fall Campaign,negotiation,$3069,Umbrella Ltd,$1516274,494,2023/07/18,Middle East,236,CEO referral
Q2-23-Brand Awareness,Closed-Won,$1028,Umbrella Ltd,$342317,333,2024/01/01,USA,401,
Q2-23-Trade Show,Closed-Lost,$2556,Umbrella Ltd,$720910,282.00,2023/08/16,US,1,pending approval
,Qualified,$2220,Umbrella Ltd,$306382,138,2023/03/17,Britain,328,
Q2-2023-Product Launch,in progress,$2503,Umbrella Ltd,$595624,238.0,2024/03/21,EU,N/A,
H2-2024-Holiday Sale,Lost,$1783,Umbrella Ltd,$210429,118,2023/11/07,SA,113,
,Lost,$36,Umbrella Ltd,$9585,270.0,2024/05/02,US,308,
H1-24-Fall Campaign,Pending,$764,Acme Corp,$170142,#REF!,2023/08/20,N. America,297,
Q4-2024-Black Friday,LOST,$2706,Umbrella Ltd,$906349,335,2024/03/25,ANZ,115,follow up needed
Q1-23-Retention,Qualified,$4575,Initech Solutions,$210450,46,2023/11/05,Middle East,305,CEO referral
Q1-24-Email Blast,pending,$3759,Umbrella Ltd,$1778125,473,2024/04/24,USA,368,
FY-2023-Trade Show,CW,$1357,Umbrella Ltd,$660703,487,2024/08/27,Unknown,,
Q3-24-Social Push,Won,$3840,Hooli Inc,$1194293,311.0,2023/03/26,North America,222,NET30 terms
