product_name	sale_date	campaign_name	total_revenue	num_conversions	unit_price	num_leads	deal_status	ad_spend_usd	rep_name	Currency	notes
CRM Module	22-Dec-2023	Q4-2023-Summer Blitz	missing	356	-	null	CL	null	L. Harris	AUD	CEO referral
CRM Module	28-Aug-2023	Q2-23-Cross-sell	78547,15	-	3105,35	3248	in progress	44417,41	Iris Anderson	GBP	follow up needed
Service Plan Pro	01-Oct-2024	Q4-2024-Holiday Sale	1292406,99	391	3812,41	null	LOST		jane doe		
Training Package	27-Mar-2024		1183659,75	378	3757,65	743	qualified	13257,98	Frank Wilson	EUR	bulk order
Software License	12-Oct-2024	H1-2024-Social Push	16505,93	268	2357,99	1075	Pending	42637,69	carol davis		
Cloud Storage 5TB	TBD	H2-2024-Email Blast	151982,43	69	-	985	Open	22781,24	henry taylor	AUD	VIP client
Consulting Hours	30-Sep-2023		1330386,12	230	3519,54	595	In Progress	38497,29	Leo Harris		
Gadget X	16-Nov-2023	Q2-23-Holiday Sale	1456654,08	67	3874,08	2529	closed lost	40017,54	bob williams	JPY	
Software License	21-Oct-2023	FY-2023-Summer Blitz	36033,90	212	1029,54	2721	Qualified	22764,43	henry taylor	USD	
Gadget Mini	11-Mar-2025	H2-23-Social Push	1175217,14	93	4010,98	327	Won	42066,64	jake thomas	GBP	
Support Tier 1	13-Sep-2023	Q2-23-Holiday Sale	1430773,50	230	3668,65	1121	Proposal	6135,66	C. Davis	AUD	bulk order
Hardware Unit	13-Dec-2023		110296,12	485	4616,77	2390	Proposal	42484,53	Carol Davis	CAD	renewal
Support Tier 1	26-Oct-2023	FY-24-Summer Blitz	191125,05	231		819	CLOSED WON	24433,86	leo harris	JPY	
Support Tier 2	14-Feb-2025	Q4-2023-Spring Push	1482022,80	245	3214,80	null	Pending	null	Bob Williams	EUR	
API Access	07-Dec-2023		2119003,20	483	4414,59	521	CLOSED WON	24012,64	Iris Anderson	USD	CEO referral
Service Plan Pro	27-Nov-2023	Q3-23-Email Blast	44184,36	281	649,77	3637	Lost	37835,28	Bob Williams	GBP	
Consulting Hours	01-Mar-2024	Q1-24-Holiday Sale	1879065,60	28	4369,92	1573	CW	23874,12	jane doe	AUD	
Support Tier 2	06-Dec-2023	H2-23-New Year Promo	82530,00	62	210,00	1440	closed lost	17758,35	Eva Martinez	USD	VIP client
Software License	27-Jan-2024	H1-24-Fall Campaign	55260,60	164	297,10	3170	CLOSED LOST	29301,05	David Brown	GBP	
Gadget X	05-Jun-2023	Q4-2024-Holiday Sale	762692,70	28	1582,35	3291	open	16260,08	Henry Taylor	USD	partial payment
Training Package	15-Sep-2024	Q1-24-Upsell	865994,62	225	2214,82	3369	lead	8212,66	Grace Lee	JPY	
CRM Module	TBD	FY-2023-Summer Blitz	1135629,03	337	4418,79	4719	closed won	33315,49	JOHN SMITH	CAD	
Data Pipeline	01-Sep-2023	H1-2023-Spring Push	10567,25	342	missing	1919	Open	N/A	Leo Harris	EUR	
Hardware Unit	19-Oct-2024	Q3-2023-New Year Promo	924475,20	400	3501,80		Closed-Won	16388,71	J. Thomas	JPY	
CRM Module	02-Mar-2025	Q3-2024-Summer Blitz	1120379,04		4829,22	1999	lead	23600,93	karen white	EUR	
Widget A	22-Dec-2023	Q1-2024-New Year Promo	NULL	297	#N/A	4452	PENDING	5388,82	K. White		
Security Bundle	09-Mar-2025	FY-2023-Retention	650111,28	95	2731,56	4045	closed won	38201,48	TBD	GBP	pending approval
Gadget X	04-Feb-2025	H2-2024-Trade Show	1414217,97	104	3391,41	-	Lost	48760,95	TBD	GBP	
Premium Onboarding	25-Feb-2025		552823,83	298	2332,59	817	Pending	5088,13	iris anderson	EUR	
Cloud Storage 5TB	pending	Q1-2024-Cross-sell	218415,87	6	1315,47	2721	CLOSED LOST	18569,69		USD	
-	15-Aug-2024	H2-24-Social Push	687451,60	472	1494,46	3759	CL	19389,51	alice johnson	AUD	
Support Tier 1	12-Mar-2025	H1-2024-Summer Blitz	2859,84	94	357,48	1817	closed won	46813,84	JOHN SMITH	CAD	
Gadget X	08-Jun-2023	Q1-2024-Trade Show	1021541,02	14	3427,99	1758	Proposal	0	Iris Anderson	GBP	
Service Plan Enterprise	26-Feb-2025	Q3-2024-Trade Show	62788,18		2414,93	3698	PENDING	43374,40	Henry Taylor	EUR	
Software License	15-Apr-2024	Q2-23-Spring Push	167943,30	20	4798,38	2144	negotiation	38193,81	mia clark	USD	new customer
Support Tier 1	26-May-2024	Q3-24-Summer Blitz	151283,92	-	4081,44	1049	LOST	15138,62	Jake Thomas	JPY	
