conv|cmpgn|stat|co|spend|rep|dt|lds|qty|prod|rgn|rev|price|Notes
439|FY-23-Upsell|qualified|NovaTech Solutions|37575|M. Clark|pending|756|462|Support Tier 1|LATAM|22282|48|VIP client
416|Q2-2024-Trade Show|Closed-Won|NovaTech Solutions|32396|frank wilson|25-Apr-2024|238|441|Software Subscription|LATAM|1731881|3927|
295|H1-2023-Retention|Negotiation|NovaTech Solutions|32511|Henry Taylor|08-Nov-2024|2725|93|Security Bundle|USA|29258|314|
367|Q2-23-Webinar Series|Lost|NovaTech Solutions|31131|G. Lee|29-Dec-2023|2348|219|Service Plan Pro|Asia Pacific|246532|1125|
20|Q4-2023-Spring Push|Negotiation|NovaTech Solutions|36275|G. Lee|05-Mar-2025|1298|238|Widget B|Britain|373381|1568|
239|Q3-2023-New Year Promo|qualified|Oscorp Technologies||Iris Anderson|16-Mar-2025|1097|192|Widget B|-|252301|1314|CEO referral
367|Q3-24-Upsell|CW|DataWave Inc|0|leo harris|06-Mar-2025|2106|26.0|API Access||100253|3855|
134|H1-2024-Trade Show|CW||N/A|M. Clark|25-May-2024|104|218.0||UK|330660|1516|
383|Q1-2023-Retention|closed won|NovaTech Solutions|0|Karen White|06-Oct-2024|3420|331.0|Training Package|EMEA|missing|NA|
173|FY-23-Retention|in progress|NovaTech Solutions|21388|Frank Wilson||1113|110|Service Plan Basic|United Kingdom|257149|2337|bulk order
285|H1-2024-Fall Campaign|pending|NovaTech Solutions|42733|frank wilson|16-Apr-2025|1535|489|Support Tier 2|ANZ|1038890|2124|NET30 terms
416|Q2-2024-Trade Show|Closed-Won|NovaTech Solutions|32396|frank wilson|25-Apr-2024|238|441|Software Subscription|LATAM|1731881|3927|
104|Q3-2024-New Year Promo|CLOSED WON|NovaTech Solutions|46832|H. Taylor|04-May-2025|1323|10|Widget B|Africa|39122|3912|
369|Q3-23-Retention|Proposal|NovaTech Solutions|44722|Jane Doe|N/A|4464|387|ERP Add-on|SA|563232|1455|
208|Q4-24-Cross-sell|Closed Won|NovaTech Solutions|N/A|John Smith|26-May-2023|4139|456.0|Software Subscription|N/A|790708|1734|
-|Q3-23-Holiday Sale|proposal|NovaTech Solutions|48679|alice johnson|05-Oct-2024|4968|431|Widget Pro|UK|890071|2065|
-|H1-23-Cross-sell|Lost|NovaTech Solutions|23241|iris anderson|20-Sep-2024|818|30.00|Gadget Mini|United States|120693|4023|
439|H2-24-Social Push|CLOSED WON|NovaTech Solutions||bob williams|30-Oct-2023|2281|476|Gadget Mini|South America|1054811|2215|NET30 terms
133|FY-24-Brand Awareness|CLOSED WON|NovaTech Solutions|8529|john smith|11-Jan-2024|4351|25.0|Analytics Dashboard|USA|103529|4141|
93|Q3-24-Social Push|closed lost|Wonka Enterprises|49959|E. Martinez|18-Nov-2024|2510|204.0|Gadget Mini|Latin America|693055|3397|discount applied
12|Q3-24-Fall Campaign|proposal|NovaTech Solutions|38349|JOHN SMITH|30-Sep-2024|4935|28.0|Gadget Mini|SA|58830|2101|
|H1-2024-Upsell|Won|NovaTech Solutions|43061|Carol Davis|06-Jan-2025|3519|47|Other|EMEA|203362|4326|discount applied
472|H1-24-New Year Promo|LOST|Oscorp Technologies|5788|H. Taylor|15-Dec-2023|1395|357|Marketing Suite|LATAM|1316380|3687|
393||WON|NovaTech Solutions|35698|grace lee|09-Dec-2023|3761|421.00|Cloud Storage 1TB|UK|107001|254|
367|Q3-24-Upsell|CW|DataWave Inc|0|leo harris|06-Mar-2025|2106|26.0|API Access||100253|3855|
29|Q2-23-Fall Campaign|Won|Prestige Worldwide|N/A|eva martinez|31-Mar-2024|3445|298|Software Subscription|South America|1328451|4457|CEO referral
365|Q4-2024-Cross-sell|In Progress|Oceanic Airlines|7561|Karen White|N/A|1552|49|ERP Add-on|US|104160|2125|
244|H1-23-Black Friday|CLOSED LOST|NovaTech Solutions|1236|Henry Taylor|01-Jul-2023|3587|370|Service Plan Pro|United Kingdom|801246|2165|escalated
174|Q2-2024-Summer Blitz|Closed Lost|NovaTech Solutions|43335|JANE DOE|11-Apr-2025|4002|272|Hardware Unit|USA|422951|1554|
416|FY-23-Fall Campaign|proposal|Buy N Large|47168|Eva Martinez|26-Feb-2024|N/A|491|Software Subscription||2442410|4974|
136|H2-2024-Social Push|in progress|CloudNine SaaS|22088|david brown|21-Mar-2024|1859|342|Cloud Storage 1TB|Britain|1326176|3877|NET30 terms
155|Q4-2023-Brand Awareness|Closed Won|NovaTech Solutions|13863|Bob Williams|20-Dec-2023|2317|242|Training Package|South America|87879|363|partial payment
47|Q3-2023-Cross-sell|qualified|Stratton Oakmont|14441|N/A||2870|124.0|Gadget Mini|United Kingdom|33334|268|CEO referral
144|FY-23-Retention|Lead|NovaTech Solutions|-|jake thomas|07-Nov-2023|831|222|Software License|Britain|855501|3853|
289||open|NovaTech Solutions|32162|John Smith|13-Sep-2024|508|306.0|Widget A|Middle East|1365004|4460|returned
364|H2-2024-Trade Show|CLOSED WON|NovaTech Solutions|12672|jane doe|20-Dec-2023|4366|398.0|Training Package|USA|442054|1110|
||WON|NovaTech Solutions|27788|K. White|27-Dec-2024|2261|475.0|Premium Onboarding|APAC|825749|1738|
35|H1-2023-Webinar Series|Lead|NovaTech Solutions|43381|N/A|19-Feb-2024|3961|420|Widget Pro|MEA|1584844|3773|pending approval
237|H2-24-Social Push|open|NovaTech Solutions|21929|Iris Anderson|01-Mar-2024|-|191.00|Widget B|UK|578158|3027|
300|FY-2023-Summer Blitz|Closed Won|NovaTech Solutions|48195|Henry Taylor|17-Nov-2023|N/A|421.00|Marketing Suite|Asia|1598739|3797|
440|Q2-2024-Product Launch|negotiation|NovaTech Solutions|45483|Iris Anderson|25-Jan-2024|2536|276.00|Service Plan Pro|United States|584046|2116|CEO referral
284|H2-24-Webinar Series|CW|FreshCart|40527|I. Anderson|05-May-2024|4911|456.0|Training Package||2139415|4691|
422|H2-2023-Email Blast|Closed-Won|NovaTech Solutions||henry taylor|24-Jul-2023|-|453|API Access|EU|1863628|4113|
29|Q1-24-Cross-sell|Negotiation|HealthPlus Pharma|12109|jane doe|23-Jun-2024|1029|43|Premium Onboarding|APAC|13770|320|
477|H1-24-Trade Show|LOST|NovaTech Solutions|null|iris anderson|03-Nov-2024||437.0|Consulting Hours|NA|605677|1385|
40|Q1-23-Brand Awareness|CLOSED LOST|MomCorp|5065|Iris Anderson|04-Jan-2025|1122|76|MISC|SA|237591|3126|
258|Q4-23-Upsell|qualified|NovaTech Solutions|9768|leo harris|N/A|3974|N/A|Security Bundle|N. America|169917|2144|
111|Q3-2023-Social Push|Lead|NovaTech Solutions|8856|Henry Taylor|02-Dec-2023|4322|188|Gadget Mini|ANZ|910410|4842|
336|H2-2023-Email Blast|Closed Won|NovaTech Solutions||mia clark|11-Jul-2024|1935|200.00|Consulting Hours|US|260776|1303|
82||LOST|NovaTech Solutions|49114|F. Wilson|09-Jan-2024|3924|468|Cloud Storage 5TB|United Kingdom|1048240|2239|
234|Q4-23-Upsell|Won|NovaTech Solutions|9071|E. Martinez|29-Dec-2023|913|441.00|Cloud Storage 5TB|Australia|1529837|3469|
54|Q1-2023-Brand Awareness|Negotiation|NovaTech Solutions|22886|Jake Thomas|22-Mar-2025|3111|0|Data Pipeline|Unknown|237612|4300|
330|FY-23-Black Friday|in progress|NovaTech Solutions|8407|John Smith|25-Dec-2024|2114|143|Data Pipeline|EU|706119|4937|
217||negotiation|NovaTech Solutions|32209|I. Anderson|21-Mar-2024|21|423.00|Data Pipeline|ASIAPAC|2012557|4757|
253|FY-23-Spring Push|open||1961|F. Wilson|15-Dec-2024|3514|14|Widget A|Australia|12587|899|
235||CW|Wonka Enterprises|7166|J. Thomas|10-Jan-2025|3218|29.0|Marketing Suite|Middle East|59408|2048|
3|Q1-2023-Black Friday|Closed Won|NovaTech Solutions|12600|B. Williams|27-Apr-2024|2284|344|Software Subscription|United Kingdom|858651|2496|bulk order
38|H1-24-Social Push|Closed-Lost|NovaTech Solutions|20496|H. Taylor|04-Oct-2024|2422|228.0|Marketing Suite|Middle East|215756|946|discount applied
299|Q4-2024-Upsell|Closed Won|NovaTech Solutions||iris anderson|14-Sep-2023|4445|49|N/A|NA|191538|3908|escalated
363|Q4-2024-Fall Campaign|Proposal|NovaTech Solutions|24896|JANE DOE|22-Nov-2024||42.00|Analytics Dashboard|US|73721|1755|
370|FY-24-Summer Blitz|CLOSED WON|NovaTech Solutions|0|J. Doe|13-Dec-2023|3801|291|Premium Onboarding|South America|995292|3420|
52|Q4-2024-Holiday Sale|Open|NovaTech Solutions|N/A|john smith|30-Aug-2023|4867|262.00|Consulting Hours|ANZ|976256|3726|renewal
370|Q1-24-Spring Push|pending|NovaTech Solutions|1620|M. Clark|24-Mar-2025|null|489.0|Gadget X|Asia Pacific|712717|1457|bulk order
194|Q1-2024-Fall Campaign|closed won|NovaTech Solutions|30685|N/A|25-Nov-2023|723|300.0|Data Pipeline|MEA|1427058|4756|NET30 terms
428|Q1-2024-Fall Campaign|Qualified|NovaTech Solutions|16923|Henry Taylor|30-Aug-2023|403|N/A|ERP Add-on|United Kingdom|32767|669|
114|H1-2024-Summer Blitz|WON|NovaTech Solutions|29227|C. Davis|05-Nov-2023|-|330|Service Plan Pro|UK|1177558|3568|
303|Q3-2023-Product Launch|open|QuickShip Logistics|43347|leo harris|11-Nov-2024|N/A|498|Widget B|North America|93071|186|
416||Negotiation|NovaTech Solutions|16302|D. Brown|16-Feb-2025||155|Software License|MEA|610135|3936|
168|FY-2023-Cross-sell|Closed Lost|NovaTech Solutions|33084|M. Clark|20-Dec-2023|1997|17.00|Hardware Unit|NA|6681|393|
173|H1-2023-Product Launch|Pending|NovaTech Solutions|41668|JANE DOE|14-Aug-2024|2504|284.0|Gadget Mini|Australia|735974|2591|
169|Q1-2023-Product Launch|Won|NovaTech Solutions|14390|jake thomas|28-Mar-2024|951|434.0|Service Plan Basic|SA|1968767|4536|renewal
N/A||Closed Lost|NovaTech Solutions|14260|jane doe|11-Dec-2023|4410|77|Software License|EU|133475|1733|
127|H1-23-Webinar Series|Won|NovaTech Solutions|4810|Jake Thomas|02-May-2025|2842|443|Hardware Unit|ASIAPAC|1314137|2966|VIP client
103||LOST|NovaTech Solutions|9616|I. Anderson|03-Dec-2023|3947|180|Cloud Storage 5TB|Unknown|585959|3255|
384|FY-2023-Product Launch|Lead|NovaTech Solutions|9837|Leo Harris|21-Jul-2024|2251|443|Data Pipeline|Britain|2106137|4754|
28|Q3-2024-Retention|In Progress|NovaTech Solutions|-|A. Johnson|24-May-2023|3949|215|Gadget Mini|Africa|1017223|4731|
161|H2-24-Summer Blitz|CL|NovaTech Solutions|21992|Carol Davis|10-Feb-2024|1558|442.0|Consulting Hours|United Kingdom|720937|1631|
412|H1-2023-Black Friday|Lost|NovaTech Solutions|42660|jane doe|26-Feb-2024|4752|103|Hardware Unit|North America|188260|1827|VIP client
173|H1-2023-Product Launch|Pending|NovaTech Solutions|41668|JANE DOE|14-Aug-2024|2504|284.0|Gadget Mini|Australia|735974|2591|
-|Q4-23-Fall Campaign|Pending|NovaTech Solutions|24504|Henry Taylor|26-Oct-2023|1894|50.00|Analytics Dashboard|Britain|34639|692|
440|H1-2024-Upsell|Closed-Won|NovaTech Solutions|20163|bob williams|TBD|2323|0|ERP Add-on|UK|#N/A|4780|
254|Q1-2023-Social Push|Negotiation|NovaTech Solutions|15503|K. White|02-Jun-2023|4239|287.0|Training Package|South America|948159|3303|
186|Q2-2024-Fall Campaign|Closed Won|Cogswell Cogs|38047|Jane Doe|17-May-2023|285|177.0|Training Package|Middle East|427701|2416|
146|Q4-24-Webinar Series|In Progress|Wonka Enterprises|24649|iris anderson|23-Dec-2023|-|314|Marketing Suite|USA|706500|2250|
103|Q1-24-New Year Promo|Negotiation|Buy N Large|5791|bob williams|28-Jul-2023|null|279|Support Tier 2|Asia Pacific|168365|603|
326|H2-24-Black Friday|Lost|Massive Dynamic|0|Leo Harris|26-Nov-2023|4392|289|Data Pipeline|US|1095821|3791|NET30 terms
291||Lost|NovaTech Solutions|26587|D. Brown|24-Aug-2024|3694|336.00|Support Tier 2|Australia|709181|2110|
48|Q2-2024-Brand Awareness|Qualified|NovaTech Solutions|41023|Karen White|17-Oct-2024|3749|353|Service Plan Pro|Britain|542776|1537|
N/A|Q4-23-Email Blast|in progress|NovaTech Solutions|28149|Karen White|08-Nov-2023|1139|193.0|Widget Pro|Asia Pacific|789931|4092|partial payment
439|H1-2024-Retention|Lead|Pinnacle Analytics||Grace Lee|15-Aug-2024|2078|487|Cloud Storage 5TB|USA|42972|88|renewal
N/A||qualified|NovaTech Solutions|47601|Eva Martinez|26-Sep-2024|1553|210|Hardware Unit|Australia|151609|721|
475|H2-23-Email Blast|CL|NovaTech Solutions|27059|J. Doe|12-Nov-2023|878|255|ERP Add-on|EMEA|938320|3679|
321|FY-2023-Summer Blitz|lead|NovaTech Solutions|22054|grace lee|19-Jun-2023|-|118.00|API Access|UK|468285|3968|
191||Negotiation|NovaTech Solutions|28773|iris anderson|18-Oct-2023|2601|366|Marketing Suite|MEA|1370600|3744|
270|H1-23-Retention|CW|Pinnacle Analytics|11130|eva martinez|28-Nov-2023|1742|205.00|Analytics Dashboard|Britain|630951|3077|
391|Q1-2024-Black Friday|closed won|Oscorp Technologies|10086|leo harris|17-Sep-2023|null|443|Gadget X|Unknown|1200817|2710|
345|H1-24-Spring Push|WON|NovaTech Solutions|0|Unassigned|17-Apr-2024|3177|232.00|Marketing Suite|-|600671|2589|new customer
170|H1-24-New Year Promo|proposal|NovaTech Solutions|10189|Frank Wilson|27-Jun-2023|4393|414|Cloud Storage 5TB|Africa|710175|1715|
151|H1-23-Trade Show|Proposal|NovaTech Solutions|43055|D. Brown|06-Nov-2024|3523|367|Software Subscription|LATAM|1441164|3926|
333|FY-2023-Brand Awareness|open|NovaTech Solutions|49401|D. Brown|03-Jul-2023|719|422.0|Hardware Unit|Latin America|1191960|2824|
253|Q2-2023-Upsell|CL|NovaTech Solutions|1848|D. Brown|12-Sep-2023|3681|458|Cloud Storage 5TB|USA|2158320|4712|
115|Q3-24-Social Push|in progress|Genco Pura|39818|bob williams|24-Oct-2024|4385|63|Software License|MEA|100336|1592|
102|Q2-2023-Social Push|Proposal|Cyberdyne Systems|48814|TBD|06-Sep-2023|2067|338.0|Support Tier 1|ANZ|851465|2519|
99|Q1-24-Webinar Series|Closed-Won|NovaTech Solutions|8371|Grace Lee|14-Dec-2023|3716|104.0|Software License|Latin America|252008|2423|partial payment
414|Q3-2024-New Year Promo|Qualified|NovaTech Solutions|43338|J. Doe|21-Jul-2023|1062|161.00|Support Tier 1|South America|193451|1201|
166|FY-2024-Brand Awareness|Closed Won|NovaTech Solutions|8621|bob williams|16-Dec-2024|3390|413|Marketing Suite|US|1202478|2911|
95|Q3-23-Spring Push|closed won|NovaTech Solutions|N/A|alice johnson|26-Sep-2024|3864|170.00|ERP Add-on|US|205295|-|
362||lead|NovaTech Solutions|4528|Eva Martinez|12-Jun-2023|4178|202.00|ERP Add-on|UK|50399|249|
95|FY-24-Upsell|CLOSED WON|NovaTech Solutions|23694|Jane Doe|21-Jun-2024|3810|357|Cloud Storage 1TB|??|1224199|3429|
397|Q3-24-Spring Push|negotiation|NovaTech Solutions|19551|Jane Doe|01-Apr-2025|3350||Support Tier 1|UK|15163|2488|
|Q2-2023-Social Push|LOST|Oscorp Technologies|5185|Carol Davis|27-Mar-2025|2905|101.00|ERP Add-on|USA|181975|1801|escalated
399|Q2-23-Social Push|open||12571|henry taylor|pending|-|345.0|Support Tier 1|United States|261616|758|
-|Q4-23-Social Push|Closed Lost|NovaTech Solutions|9086|I. Anderson|21-Apr-2025|-|462|Hardware Unit|South America|1199213|2595|CEO referral
76|Q3-2023-Cross-sell|Pending|NovaTech Solutions|14566|K. White|05-Nov-2023|N/A|269.00|Security Bundle|Europe|286885|1066|
434|Q2-23-Webinar Series|CLOSED WON|NovaTech Solutions|32713|Bob Williams|10-Aug-2023|4059|7.0|Software Subscription|EMEA|32514|4644|
307|Q1-23-Summer Blitz|Proposal|NovaTech Solutions|32153|Iris Anderson|29-Jul-2024|1522|494|Cloud Storage 1TB|US|1232609|2495|
403|H2-2023-Fall Campaign|Closed Won|NovaTech Solutions|39645|jane doe|01-Nov-2024|869|53|-|USA|239560|4520|
56|Q1-23-Brand Awareness|Negotiation|NovaTech Solutions|6838|JANE DOE|30-May-2023|3216|498.00|Service Plan Pro|US|709580|1424|
51|Q1-2024-Fall Campaign|closed lost|NovaTech Solutions|11561|Bob Williams|11-Jan-2024|2681|407|Analytics Dashboard|ASIAPAC|29621|72|
254|Q1-2023-Social Push|Negotiation|NovaTech Solutions|15503|K. White|02-Jun-2023|4239|287.0|Training Package|South America|948159|3303|
274|Q2-23-Spring Push|in progress|CloudNine SaaS|1731|Jake Thomas|null|1745|413|Service Plan Basic|US|584374|1414|
